Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Dezembro/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
35;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 642 ; 406.844.121 ; 764 ; 338.745.947 ; 577 ; 1.634.215.325 ; 2.941 ; 1.418.072.867 ; 4.924 ; 3.797.878.260 ; 818 ; 5.334.106.903 ; 868 ; 5.462.394.904 ; 1.686 ; 10.796.501.807 ; 6.610 ; 14.594.380.067 ;
36;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 1.195 ; 822.025.182 ; 6.973 ; 2.352.640.792 ; 461 ; 217.008.727 ; 1.792 ; 230.838.790 ; 10.421 ; 3.622.513.491 ; 1.060 ; 5.705.967.420 ; 921 ; 4.193.968.059 ; 1.981 ; 9.899.935.479 ; 12.402 ; 13.522.448.970 ;
37;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 285 ; 19.046.062 ; 3.835 ; 287.480.821 ; 2.369.880 ; 3.899.823.762 ; 47.287 ; 904.697.748 ; 2.421.287 ; 5.111.048.393 ; 18.114 ; 2.396.555.708 ; 61.187 ; 5.113.904.499 ; 79.301 ; 7.510.460.207 ; 2.500.588 ; 12.621.508.600 ;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 28 ; 156.814.556 ; 9 ; 50.503.124 ; 265 ; 1.596.572.301 ; 1.180 ; 2.310.901.106 ; 1.482 ; 4.114.791.087 ; 173 ; 4.612.813.211 ; 97 ; 2.533.351.008 ; 270 ; 7.146.164.219 ; 1.752 ; 11.260.955.306 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 1.658 ; 2.489.108.681 ; 6.581 ; 385.741.913 ; 92.466 ; 1.526.305.654 ; 255.276 ; 2.258.664.868 ; 355.981 ; 6.659.821.116 ; 1.775 ; 1.313.960.137 ; 2.276 ; 2.653.689.546 ; 4.051 ; 3.967.649.683 ; 360.032 ; 10.627.470.799 ;
40;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 952 ; 3.126.265.136 ; 1.445 ; 4.061.487.639 ; 2.397 ; 7.187.752.775 ; 152 ; 2.154.819.280 ; 125 ; 1.149.798.880 ; 277 ; 3.304.618.160 ; 2.674 ; 10.492.370.935 ;
41;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.894 ; 1.088.266.799 ; 7.273 ; 1.058.236.000 ; 3.677 ; 1.629.623.654 ; 5.282 ; 938.429.514 ; 18.126 ; 4.714.555.967 ; 727 ; 2.348.930.746 ; 732 ; 3.007.139.230 ; 1.459 ; 5.356.069.976 ; 19.585 ; 10.070.625.943 ;
42;07.450.604;BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A;BANK OF CHINA (BRASIL) - PRUDENCIAL; 537 ; 706.803.624 ; 1.527 ; 284.562.475 ; 294 ; 2.093.269.891 ; 1.489 ; 2.215.963.574 ; 3.847 ; 5.300.599.564 ; 474 ; 1.303.238.737 ; 403 ; 1.622.391.336 ; 877 ; 2.925.630.073 ; 4.724 ; 8.226.229.637 ;
43;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 2.231 ; 2.588.258.831 ; 1.767 ; 2.742.295.215 ; 3.998 ; 5.330.554.046 ; 355 ; 1.206.084.520 ; 552 ; 1.052.056.428 ; 907 ; 2.258.140.948 ; 4.905 ; 7.588.694.994 ;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 1.080 ; 152.164.013 ; 910 ; 58.956.531 ; 57.286 ; 3.015.860.199 ; 3.419 ; 374.178.441 ; 62.695 ; 3.601.159.184 ; 1.258 ; 421.155.956 ; 2.707 ; 3.155.989.816 ; 3.965 ; 3.577.145.772 ; 66.660 ; 7.178.304.956 ;
