Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Set/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
38;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 1.066 ; 415.149.322 ; 1.021 ; 137.086.771 ; 500 ; 740.764.522 ; 1.749 ; 258.067.635 ; 4.336 ; 1.551.068.249 ; 215 ; 244.399.418 ; 236 ; 975.693.357 ; 451 ; 1.220.092.775 ; 4.787 ; 2.771.161.024 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.981 ; 744.898.514 ; 10.699 ; 538.795.588 ; 3.293 ; 105.419.368 ; 12.413 ; 297.936.491 ; 33.386 ; 1.687.049.962 ; 295 ; 433.130.150 ; 292 ; 437.640.913 ; 587 ; 870.771.063 ; 33.973 ; 2.557.821.025 ;;;;
40;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 19 ; 5.899.275 ; 3 ; 18.706 ; 1.224 ; 206.103.869 ; 664 ; 458.917.096 ; 1.910 ; 670.938.946 ; 282 ; 982.949.492 ; 336 ; 786.519.347 ; 618 ; 1.769.468.839 ; 2.528 ; 2.440.407.785 ;;;;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 102 ; 272.009.097 ; 182 ; 202.118.965 ; 84 ; 714.615.171 ; 693 ; 246.789.216 ; 1.061 ; 1.435.532.448 ; 85 ; 224.736.172 ; 95 ; 698.615.739 ; 180 ; 923.351.911 ; 1.241 ; 2.358.884.360 ;;;;
42;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 2.030 ; 4.189.039 ; 22.835 ; 107.517.458 ; 24.865 ; 111.706.497 ; 5.446 ; 1.079.136.204 ; 1.117 ; 975.737.537 ; 6.563 ; 2.054.873.741 ; 31.428 ; 2.166.580.238 ;;;;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 438 ; 6.740.504 ; 3.907 ; 89.068.988 ; 6.655 ; 77.033.719 ; 15.946 ; 549.923.343 ; 26.946 ; 722.766.554 ; 27.506 ; 988.778.920 ; 978 ; 433.360.936 ; 28.484 ; 1.422.139.856 ; 55.430 ; 2.144.906.411 ;;;;
44;33.923.798;BANCO MÁXIMA S.A.; 341 ; 7.653.021 ; 2.638 ; 141.001.206 ; 723 ; 192.547.902 ; 2.100 ; 155.542.118 ; 5.802 ; 496.744.247 ; 2.464 ; 840.871.437 ; 12.159 ; 747.518.470 ; 14.623 ; 1.588.389.908 ; 20.425 ; 2.085.134.154 ;;;;
45;58.616.418;BANCO FIBRA S.A.; 783 ; 73.555.578 ; 2.564 ; 173.913.374 ; 702 ; 554.766.566 ; 2.004 ; 680.597.211 ; 6.053 ; 1.482.832.729 ; 311 ; 339.376.531 ; 234 ; 72.593.534 ; 545 ; 411.970.066 ; 6.598 ; 1.894.802.794 ;;;;
46;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 4.832.196 ; 1.153 ; 414.435.135 ; 1.475 ; 566.934.727 ; 2.630 ; 986.202.057 ; 157 ; 526.827.052 ; 301 ; 369.600.000 ; 458 ; 896.427.052 ; 3.088 ; 1.882.629.110 ;;;;
47;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 16 ; 47.445.846 ; 78 ; 9.969.651 ; 203 ; 182.306.676 ; 521 ; 77.391.154 ; 818 ; 317.113.327 ; 228 ; 672.131.014 ; 432 ; 865.989.343 ; 660 ; 1.538.120.357 ; 1.478 ; 1.855.233.684 ;;;;
