Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Mai/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
52;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 219 ; 3.701.426 ; 4.180 ; 109.762.714 ; 3.143 ; 43.847.083 ; 12.459 ; 262.208.992 ; 20.001 ; 419.520.215 ; 4.583 ; 326.240.062 ; 7 ; 1.413.148 ; 4.590 ; 327.653.210 ; 24.591 ; 747.173.425 ;;;;
53;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 53 ; 1.575.120 ; 455 ; 7.829.838 ; 1.755 ; 13.970.092 ; 6.258 ; 101.367.753 ; 8.521 ; 124.742.803 ; 8.054 ; 345.017.764 ; 1.617 ; 251.033.062 ; 9.671 ; 596.050.826 ; 18.192 ; 720.793.629 ;;;;
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 137 ; 2.763.352 ; 735 ; 8.748.360 ; 5.794 ; 48.405.114 ; 30.239 ; 347.311.211 ; 36.905 ; 407.228.036 ; 4.027 ; 305.950.087 ; 52 ; 1.118.821 ; 4.079 ; 307.068.908 ; 40.984 ; 714.296.944 ;;;;
55;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 10 ; 192.313 ; 363 ; 8.574.676 ; 1.103 ; 8.948.194 ; 5.254 ; 57.419.315 ; 6.730 ; 75.134.498 ; 4.459 ; 294.131.128 ; 493 ; 237.283.918 ; 4.952 ; 531.415.046 ; 11.682 ; 606.549.544 ;;;;
56;58.616.418;BANCO FIBRA S.A.; 373 ; 31.211.147 ; 1.380 ; 95.778.463 ; 407 ; 77.250.225 ; 1.057 ; 127.487.801 ; 3.217 ; 331.727.635 ; 187 ; 196.375.131 ; 139 ; 51.112.307 ; 326 ; 247.487.438 ; 3.543 ; 579.215.073 ;;;;
57;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 11 ; 68.801 ; 167 ; 1.570.506 ; 2.278 ; 65.075.047 ; 5.624 ; 255.626.853 ; 8.080 ; 322.341.208 ; 3.302 ; 216.463.789 ; 2.183 ; 24.729.317 ; 5.485 ; 241.193.106 ; 13.565 ; 563.534.314 ;;;;
58;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 404 ; 13.837.039 ; 5.423 ; 152.996.045 ; 4.329 ; 64.093.030 ; 13.332 ; 105.828.611 ; 23.488 ; 336.754.725 ; 3.544 ; 198.471.138 ; 459 ; 17.726.686 ; 4.003 ; 216.197.824 ; 27.491 ; 552.952.550 ;;;;
59;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 657 ; 36.797.911 ; 11.610 ; 11.745.234 ; 20.149 ; 84.937.653 ; 32.416 ; 133.480.798 ; 7.071 ; 257.405.175 ; 414 ; 147.309.887 ; 7.485 ; 404.715.062 ; 39.901 ; 538.195.860 ;;;;
60;59.118.133;BANCO LUSO BRASILEIRO S.A.; 55 ; 15.938.567 ; 2.215 ; 212.686.029 ; 37 ; 32.548.962 ; 500 ; 25.175.684 ; 2.807 ; 286.349.243 ; 1.035 ; 209.949.636 ; 72 ; 20.496.373 ; 1.107 ; 230.446.009 ; 3.914 ; 516.795.252 ;;;;
61;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 41 ; 1.455.533 ; 102 ; 1.853.979 ; 160 ; 196.705.809 ; 669 ; 220.480.452 ; 972 ; 420.495.772 ; 44 ; 53.394.973 ; 24 ; 33.414.979 ; 68 ; 86.809.952 ; 1.040 ; 507.305.724 ;;;;
