Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
25;68.900.810;BANCO RENDIMENTO S.A.; 93 ; 22.410.312 ; 682 ; 126.072.164 ; 266.800 ; 875.236.758 ; 15.875 ; 1.030.183.776 ; 283.450 ; 2.053.903.010 ; 3.347 ; 2.282.536.341 ; 55.169 ; 2.028.640.852 ; 58.516 ; 4.311.177.193 ; 341.966 ; 6.365.080.203 
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.417 ; 64.681.381 ; 8.809 ; 384.492.145 ; 5.654 ; 628.068.200 ; 18.420 ; 760.090.570 ; 34.300 ; 1.837.332.296 ; 5.319 ; 2.288.999.591 ; 48.900 ; 1.842.435.796 ; 54.219 ; 4.131.435.387 ; 88.519 ; 5.968.767.683 
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.104 ; 448.598.276 ; 3.935 ; 812.099.270 ; 2.167 ; 1.096.648.556 ; 3.696 ; 760.903.352 ; 10.902 ; 3.118.249.453 ; 668 ; 1.362.071.444 ; 670 ; 1.332.824.396 ; 1.338 ; 2.694.895.840 ; 12.240 ; 5.813.145.293 
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 143 ; 909.188.643 ; 153 ; 1.658.470.581 ; 296 ; 2.567.659.225 ; 122 ; 1.637.055.619 ; 87 ; 886.812.254 ; 209 ; 2.523.867.873 ; 505 ; 5.091.527.097 
29;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 322 ; 610.210.261 ;;; 542 ; 573.023.510 ; 248 ; 1.599.451.591 ; 1.112 ; 2.782.685.362 ; 71 ; 1.410.467.636 ; 24 ; 446.820.625 ; 95 ; 1.857.288.260 ; 1.207 ; 4.639.973.622 
30;78.632.767;BANCO OURINVEST S.A.; 672 ; 79.473.217 ; 4.093 ; 236.213.741 ; 2.823 ; 414.071.953 ; 7.715 ; 700.108.142 ; 15.303 ; 1.429.867.052 ; 2.912 ; 1.758.070.948 ; 55.822 ; 1.325.989.842 ; 58.734 ; 3.084.060.791 ; 74.037 ; 4.513.927.843 
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 200 ; 313.553.223 ; 187 ; 42.467.950 ; 82 ; 1.384.595.958 ; 446 ; 467.173.967 ; 915 ; 2.207.791.098 ; 42 ; 555.594.524 ; 96 ; 1.679.593.175 ; 138 ; 2.235.187.699 ; 1.053 ; 4.442.978.797 
32;62.232.889;BANCO DAYCOVAL S.A.; 2.724 ; 396.110.510 ; 3.463 ; 233.054.099 ; 3.771 ; 93.162.362 ; 14.605 ; 474.917.738 ; 24.563 ; 1.197.244.709 ; 3.019 ; 1.673.161.902 ; 13.198 ; 1.527.100.075 ; 16.217 ; 3.200.261.977 ; 40.780 ; 4.397.506.686 
33;13.059.145;BEXS BANCO DE CÂMBIO S/A; 157 ; 824.673.309 ; 284 ; 11.617.139 ; 915 ; 171.533.092 ; 2.425 ; 694.707.335 ; 3.781 ; 1.702.530.874 ; 1.055 ; 720.776.770 ; 581 ; 1.010.990.568 ; 1.636 ; 1.731.767.338 ; 5.417 ; 3.434.298.212 
34;00.360.305;CAIXA ECONOMICA FEDERAL; 1.285 ; 472.631.098 ; 912 ; 27.774.222 ; 44.338 ; 435.679.723 ; 10.811 ; 613.917.328 ; 57.346 ; 1.550.002.371 ; 622 ; 759.727.884 ; 686 ; 987.053.438 ; 1.308 ; 1.746.781.322 ; 58.654 ; 3.296.783.692 
35;71.027.866;BANCO BONSUCESSO S.A.; 291 ; 44.865.386 ; 1.143 ; 53.892.395 ; 2.658 ; 392.520.373 ; 5.560 ; 609.926.898 ; 9.652 ; 1.101.205.051 ; 3.612 ; 1.141.765.618 ; 14.793 ; 913.967.335 ; 18.405 ; 2.055.732.954 ; 28.057 ; 3.156.938.005 
36;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 331 ; 21.112.141 ; 2.910 ; 115.534.810 ; 919 ; 226.493.928 ; 206.864 ; 627.205.915 ; 211.024 ; 990.346.794 ; 1.259 ; 1.284.339.385 ; 1.934 ; 785.382.335 ; 3.193 ; 2.069.721.720 ; 214.217 ; 3.060.068.514 
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 351 ; 311.083.092 ; 1.204 ; 201.393.422 ; 542 ; 328.983.814 ; 680 ; 312.877.300 ; 2.777 ; 1.154.337.629 ; 529 ; 757.944.848 ; 541 ; 841.110.603 ; 1.070 ; 1.599.055.451 ; 3.847 ; 2.753.393.080 
38;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 3 ; 1.348.307 ;;; 63 ; 806.097.527 ; 93 ; 543.844.611 ; 159 ; 1.351.290.445 ; 35 ; 552.037.354 ; 39 ; 810.722.099 ; 74 ; 1.362.759.453 ; 233 ; 2.714.049.897 
39;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.013 ; 560.155.607 ; 1.419 ; 465.164.712 ; 2.432 ; 1.025.320.319 ; 104 ; 719.977.982 ; 385 ; 850.590.000 ; 489 ; 1.570.567.982 ; 2.921 ; 2.595.888.301 
40;03.532.415;BANCO ABN AMRO S.A.; 63 ; 282.011.262 ;;; 215 ; 928.182.143 ; 295 ; 935.182.448 ; 573 ; 2.145.375.853 ; 22 ; 37.717.564 ; 71 ; 315.964.507 ; 93 ; 353.682.071 ; 666 ; 2.499.057.924 
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 399 ; 262.369.485 ; 941 ; 96.242.493 ; 82 ; 258.307.516 ; 1.352 ; 572.743.509 ; 2.774 ; 1.189.663.004 ; 195 ; 684.787.093 ; 164 ; 610.874.462 ; 359 ; 1.295.661.555 ; 3.133 ; 2.485.324.558 
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 114 ; 100.106.098 ; 106 ; 69.233.569 ; 116 ; 607.584.949 ; 252 ; 241.221.254 ; 588 ; 1.018.145.870 ; 146 ; 248.267.178 ; 179 ; 645.549.289 ; 325 ; 893.816.467 ; 913 ; 1.911.962.337 
43;03.609.817;BANCO CARGILL S.A.; 73 ; 196.733.550 ; 21 ; 19.299.873 ; 20 ; 35.641.732 ; 152 ; 71.331.559 ; 266 ; 323.006.714 ; 14 ; 529.000.000 ; 27 ; 806.000.000 ; 41 ; 1.335.000.000 ; 307 ; 1.658.006.714 
44;58.616.418;BANCO FIBRA S.A.; 404 ; 246.292.153 ; 2.733 ; 352.977.424 ; 385 ; 224.515.231 ; 1.681 ; 173.281.632 ; 5.203 ; 997.066.441 ; 157 ; 311.626.422 ; 84 ; 231.421.657 ; 241 ; 543.048.079 ; 5.444 ; 1.540.114.520 
45;15.114.366;BANCO BBM S/A; 174 ; 122.242.005 ; 35 ; 3.390.437 ; 128 ; 310.307.088 ; 544 ; 261.035.509 ; 881 ; 696.975.039 ; 56 ; 362.897.343 ; 68 ; 470.715.529 ; 124 ; 833.612.872 ; 1.005 ; 1.530.587.911 
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.808 ; 386.585.422 ; 6.656 ; 306.173.974 ; 2.382 ; 134.810.173 ; 7.636 ; 167.903.172 ; 21.482 ; 995.472.741 ; 248 ; 235.703.187 ; 229 ; 275.491.421 ; 477 ; 511.194.608 ; 21.959 ; 1.506.667.348 
