Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em NOVEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 34 ; 48.149.031 ; 11 ; 11.956.484 ; 94 ; 256.156.302 ; 238 ; 236.942.727 ; 377 ; 553.204.543 ; 25 ; 130.663.674 ; 44 ; 259.147.459 ; 69 ; 389.811.133 ; 446 ; 943.015.677 ;;;;
27;71.027.866;BANCO BONSUCESSO S.A.; 4 ; 185.206 ; 2 ; 168.546 ; 17 ; 109.788 ; 73 ; 4.308.369 ; 96 ; 4.771.909 ; 253 ; 406.992.517 ; 206 ; 400.237.612 ; 459 ; 807.230.129 ; 555 ; 812.002.038 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 216 ; 63.552.611 ; 341 ; 26.345.201 ; 444 ; 25.534.132 ; 1.436 ; 141.827.334 ; 2.437 ; 257.259.279 ; 353 ; 319.705.752 ; 1.397 ; 226.849.860 ; 1.750 ; 546.555.612 ; 4.187 ; 803.814.891 ;;;;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 141 ; 77.827.429 ; 407 ; 46.252.660 ; 341 ; 214.578.236 ; 436 ; 84.245.479 ; 1.325 ; 422.903.805 ; 39 ; 95.999.956 ; 83 ; 258.223.395 ; 122 ; 354.223.352 ; 1.447 ; 777.127.156 ;;;;
30;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 62 ; 30.343.460 ; 387 ; 17.646.649 ; 238 ; 16.652.874 ; 1.212 ; 59.052.985 ; 1.899 ; 123.695.968 ; 1.240 ; 314.322.197 ; 8.335 ; 280.041.583 ; 9.575 ; 594.363.780 ; 11.474 ; 718.059.749 ;;;;
31;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 76 ; 13.265.887 ; 46 ; 4.199.627 ; 12 ; 4.148.063 ; 45 ; 307.406.775 ; 179 ; 329.020.352 ; 12 ; 316.391.240 ; 22 ; 18.476.210 ; 34 ; 334.867.450 ; 213 ; 663.887.802 ;;;;
32;28.195.667;BANCO ABC BRASIL S.A.; 61 ; 16.802.347 ; 80 ; 10.737.980 ; 20 ; 32.557.341 ; 302 ; 162.182.132 ; 463 ; 222.279.800 ; 45 ; 247.732.734 ; 32 ; 46.987.066 ; 77 ; 294.719.801 ; 540 ; 516.999.601 ;;;;
33;03.609.817;BANCO CARGILL S.A.; 37 ; 120.324.787 ; 2 ; 2.146.444 ; 9 ; 117.643.352 ; 19 ; 12.932.540 ; 67 ; 253.047.124 ; 1 ; 2.000.000 ; 17 ; 224.096.687 ; 18 ; 226.096.687 ; 85 ; 479.143.811 ;;;;
34;78.632.767;BANCO OURINVEST S.A.; 11 ; 4.868.387 ; 43 ; 2.466.520 ; 194 ; 3.510.708 ; 461 ; 13.248.035 ; 709 ; 24.093.651 ; 343 ; 221.402.289 ; 5.214 ; 210.681.067 ; 5.557 ; 432.083.356 ; 6.266 ; 456.177.007 ;;;;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 6 ; 22.931.000 ; 10 ; 18.323.979 ; 9 ; 154.795.322 ; 86 ; 36.061.949 ; 111 ; 232.112.250 ; 2 ; 3.074.634 ; 16 ; 170.124.799 ; 18 ; 173.199.433 ; 129 ; 405.311.683 ;;;;
36;68.900.810;BANCO RENDIMENTO S.A.; 6 ; 230.197 ; 76 ; 24.106.222 ; 5.885 ; 77.099.621 ; 1.161 ; 47.547.070 ; 7.128 ; 148.983.110 ; 295 ; 120.133.529 ; 5.402 ; 115.424.535 ; 5.697 ; 235.558.064 ; 12.825 ; 384.541.174 ;;;;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 6 ; 155.600.000 ; 6 ; 155.600.000 ; 7 ; 185.600.000 ; 1 ; 30.000.000 ; 8 ; 215.600.000 ; 14 ; 371.200.000 ;;;;
38;13.059.145;BEXS BANCO DE CÂMBIO S/A; 50 ; 87.772.369 ; 129 ; 3.869.393 ; 175 ; 11.568.649 ; 529 ; 47.579.969 ; 883 ; 150.790.379 ; 194 ; 63.806.087 ; 197 ; 110.968.423 ; 391 ; 174.774.510 ; 1.274 ; 325.564.889 ;;;;
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 25 ; 23.461.671 ; 85 ; 24.154.247 ; 39 ; 61.104.110 ; 56 ; 14.232.396 ; 205 ; 122.952.425 ; 51 ; 74.156.018 ; 55 ; 120.165.002 ; 106 ; 194.321.020 ; 311 ; 317.273.445 ;;;;
40;10.690.848;BANCO DA CHINA BRASIL S.A.; 7 ; 796.047 ; 15 ; 2.969.421 ; 19 ; 66.087.197 ; 66 ; 1.416.165 ; 107 ; 71.268.829 ; 20 ; 55.996.200 ; 25 ; 118.442.000 ; 45 ; 174.438.200 ; 152 ; 245.707.029 ;;;;
41;49.336.860;ING BANK N.V.; 20 ; 43.937.193 ; 3 ; 4.105.528 ; 6 ; 8.194.781 ; 55 ; 12.618.726 ; 84 ; 68.856.227 ; 4 ; 3.378.346 ; 10 ; 142.369.089 ; 14 ; 145.747.434 ; 98 ; 214.603.661 ;;;;
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 876 ; 63.211.701 ; 969 ; 46.067.902 ; 382 ; 5.571.973 ; 1.085 ; 19.236.658 ; 3.312 ; 134.088.234 ; 27 ; 31.803.950 ; 32 ; 35.419.904 ; 59 ; 67.223.853 ; 3.371 ; 201.312.087 ;;;;
43;62.144.175;BANCO PINE S.A.; 11 ; 6.021.210 ; 17 ; 6.114.132 ; 6 ; 658.780 ; 47 ; 19.477.604 ; 81 ; 32.271.726 ; 9 ; 130.000.000 ; 1 ; 10.000.000 ; 10 ; 140.000.000 ; 91 ; 172.271.726 ;;;;
44;59.118.133;BANCO LUSO BRASILEIRO S.A.; 40 ; 13.587.507 ; 457 ; 33.905.617 ; 33 ; 2.704.504 ; 339 ; 19.893.236 ; 869 ; 70.090.864 ; 325 ; 65.373.975 ; 63 ; 27.584.763 ; 388 ; 92.958.737 ; 1.257 ; 163.049.602 ;;;;
