Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JULHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
25;00.360.305;CAIXA ECONOMICA FEDERAL; 314 ; 209.360.628 ; 214 ; 27.806.061 ; 4.771 ; 190.926.751 ; 1.971 ; 213.683.144 ; 7.270 ; 641.776.584 ; 113 ; 160.950.232 ; 139 ; 317.042.550 ; 252 ; 477.992.781 ; 7.522 ; 1.119.769.365 ;;;;
26;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 14 ; 51.000.000 ;;; 21 ; 4.452.644 ; 39 ; 3.520.596 ; 74 ; 58.973.240 ; 93 ; 471.102.810 ; 96 ; 534.774.775 ; 189 ; 1.005.877.585 ; 263 ; 1.064.850.825 ;;;;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 160 ; 59.337.963 ; 453 ; 111.988.097 ; 330 ; 303.337.388 ; 484 ; 78.759.557 ; 1.427 ; 553.423.005 ; 68 ; 128.762.347 ; 101 ; 301.711.738 ; 169 ; 430.474.085 ; 1.596 ; 983.897.090 ;;;;
28;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 74 ; 159.770.549 ; 9 ; 7.196.873 ; 89 ; 222.038.915 ; 347 ; 171.638.998 ; 519 ; 560.645.335 ; 18 ; 137.296.624 ; 19 ; 224.690.628 ; 37 ; 361.987.251 ; 556 ; 922.632.586 ;;;;
29;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 17 ; 378.200.000 ;;; 17 ; 378.200.000 ;;; 17 ; 378.200.000 ; 17 ; 378.200.000 ; 34 ; 756.400.000 ;;;;
30;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 132 ; 28.650.362 ; 96 ; 15.451.167 ; 43 ; 306.803.669 ; 177 ; 117.856.339 ; 448 ; 468.761.537 ; 27 ; 32.782.469 ; 36 ; 234.636.826 ; 63 ; 267.419.295 ; 511 ; 736.180.832 ;;;;
31;49.336.860;ING BANK N.V.; 39 ; 70.685.772 ; 6 ; 13.158.399 ; 12 ; 68.312.470 ; 60 ; 67.472.485 ; 117 ; 219.629.125 ; 18 ; 181.932.492 ; 19 ; 327.368.935 ; 37 ; 509.301.427 ; 154 ; 728.930.552 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 38 ; 250.792.750 ; 107 ; 3.534.037 ; 162 ; 21.306.691 ; 403 ; 45.500.083 ; 710 ; 321.133.561 ; 197 ; 73.288.640 ; 168 ; 296.799.033 ; 365 ; 370.087.673 ; 1.075 ; 691.221.234 ;;;;
33;68.900.810;BANCO RENDIMENTO S.A.; 9 ; 778.219 ; 43 ; 2.029.802 ; 8.679 ; 71.419.875 ; 1.721 ; 84.632.783 ; 10.452 ; 158.860.680 ; 443 ; 273.317.294 ; 7.784 ; 249.571.789 ; 8.227 ; 522.889.083 ; 18.679 ; 681.749.763 ;;;;
34;59.285.411;BANCO PAN S.A.; 5 ; 7.043.498 ;;; 5 ; 106.255 ; 27 ; 297.187.552 ; 37 ; 304.337.305 ; 1 ; 296.575.545 ; 14 ; 19.150.000 ; 15 ; 315.725.545 ; 52 ; 620.062.850 ;;;;
