Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
34;71.027.866;BANCO BS2 S.A.; 149 ; 13.462.516 ; 465 ; 18.630.174 ; 2.284 ; 87.557.842 ; 6.533 ; 57.940.086 ; 9.431 ; 177.590.617 ; 123 ; 104.198.695 ; 1.705 ; 128.360.267 ; 1.828 ; 232.558.962 ; 11.259 ; 410.149.579 ;;;;
35;33.923.798;BANCO MÁXIMA S.A.; 116 ; 68.983.543 ; 232 ; 8.967.912 ; 3.436 ; 90.455.942 ; 24.776 ; 106.658.196 ; 28.560 ; 275.065.593 ; 45 ; 40.544.896 ; 55 ; 82.710.032 ; 100 ; 123.254.928 ; 28.660 ; 398.320.521 ;;;;
36;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 119 ; 20.492.852 ; 512 ; 56.464.361 ; 338 ; 28.245.869 ; 430 ; 39.081.780 ; 1.399 ; 144.284.863 ; 53 ; 179.295.724 ; 44 ; 39.361.338 ; 97 ; 218.657.062 ; 1.496 ; 362.941.925 ;;;;
37;13.059.145;BEXS BANCO DE CÂMBIO S/A; 9 ; 125.358 ; 10 ; 714.660 ; 1.179 ; 21.081.502 ; 6.996 ; 160.319.335 ; 8.194 ; 182.240.855 ; 78 ; 154.594.973 ; 31 ; 13.617.594 ; 109 ; 168.212.567 ; 8.303 ; 350.453.423 ;;;;
38;00.360.305;CAIXA ECONOMICA FEDERAL; 107 ; 21.766.730 ; 43 ; 2.336.704 ; 8.050 ; 23.304.333 ; 1.018 ; 68.740.347 ; 9.218 ; 116.148.114 ; 223 ; 125.581.032 ; 215 ; 84.752.933 ; 438 ; 210.333.964 ; 9.656 ; 326.482.078 ;;;;
39;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 64 ; 52.166.775 ; 160 ; 30.171.604 ; 79 ; 22.390.962 ; 139 ; 15.044.124 ; 442 ; 119.773.465 ; 75 ; 53.012.997 ; 87 ; 128.778.540 ; 162 ; 181.791.537 ; 604 ; 301.565.003 ;;;;
40;10.690.848;BANCO DA CHINA BRASIL S.A.; 13 ; 24.569.231 ; 14 ; 839.596 ; 16 ; 117.252.088 ; 25 ; 7.684.118 ; 68 ; 150.345.033 ; 12 ; 8.099.112 ; 28 ; 141.398.756 ; 40 ; 149.497.868 ; 108 ; 299.842.901 ;;;;
41;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 155 ; 99.262.586 ; 326 ; 81.815.476 ; 481 ; 181.078.062 ; 17 ; 41.650.000 ; 36 ; 59.000.000 ; 53 ; 100.650.000 ; 534 ; 281.728.062 ;;;;
42;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 12 ; 12.251.541 ; 111 ; 5.444.602 ; 13 ; 27.547.793 ; 32 ; 4.464.053 ; 168 ; 49.707.989 ; 42 ; 85.376.635 ; 45 ; 124.472.509 ; 87 ; 209.849.144 ; 255 ; 259.557.133 ;;;;
43;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 65 ; 61.682.000 ; 184 ; 19.836.044 ; 11 ; 43.539.876 ; 171 ; 54.426.958 ; 431 ; 179.484.877 ; 27 ; 19.398.089 ; 27 ; 47.299.347 ; 54 ; 66.697.436 ; 485 ; 246.182.313 ;;;;
