Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
72;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;;34.638;266.038.546;68.377;258.722.596;103.015;524.761.142;196;42.498.274;545;47.622.074;741;90.120.348;103.756;614.881.490
73;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;29;99.780.259;515;82.530.800;20;64.854.288;407;55.018.078;971;302.183.425;41;136.875.705;30;161.704.390;71;298.580.095;1.042;600.763.520
74;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.;35;169.939.599;16;3.567.910;34;90.211.990;124;41.058.522;209;304.778.021;38;32.520.382;95;231.482.648;133;264.003.031;342;568.781.051
75;2.992.317;TREVISO CORRETORA DE CÂMBIO S.A.;565;10.468.866;5.347;128.699.784;4.563;43.372.937;8.903;85.217.387;19.378;267.758.973;9.278;215.541.714;1.559;55.139.585;10.837;270.681.299;30.215;538.440.273
76;92.894.922;BANCO ORIGINAL S.A.;20;8.045.591;47;56.531.659;319;66.799.447;751;126.613.180;1.137;257.989.878;41;145.652.890;35;115.652.992;76;261.305.882;1.213;519.295.760
77;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;89;112.096.575;122;46.960.069;60;76.191.064;356;61.703.571;627;296.951.279;31;83.024.378;35;136.524.259;66;219.548.637;693;516.499.916
78;61.186.680;BANCO BMG S.A.;20;27.649.241;10;9.471.411;89;5.976.691;249;17.205.345;368;60.302.687;17;245.914.610;18;153.727.931;35;399.642.541;403;459.945.228
79;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.;225;7.760.810;4.101;135.952.529;1.423;22.303.278;3.580;48.869.465;9.329;214.886.082;5.530;177.394.885;918;22.646.931;6.448;200.041.816;15.777;414.927.898
80;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;9;18.289.114;29;12.229.560;65;42.253.141;326;58.493.639;429;131.265.454;22;137.146.965;21;120.623.595;43;257.770.560;472;389.036.014
81;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;360;9.640.774;1.720;25.839.639;8.612;73.290.218;14.188;110.864.562;24.880;219.635.193;3.147;81.249.567;484;27.587.942;3.631;108.837.509;28.511;328.472.702
82;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.;659;63.979.175;2.596;79.379.499;2.971;19.424.723;5.058;29.836.470;11.284;192.619.867;2.806;80.277.102;950;54.428.426;3.756;134.705.527;15.040;327.325.395
83;61.024.352;BANCO VOITER S.A.;355;71.369.630;671;42.143.947;262;53.005.362;1.647;67.743.248;2.935;234.262.186;186;37.480.989;21;47.089.738;207;84.570.727;3.142;318.832.914
84;4.062.902;VISION S.A. CORRETORA DE CAMBIO;366;6.593.965;2.351;60.409.614;32.460;41.319.837;14.305;37.001.862;49.482;145.325.277;4.088;88.128.628;1.330;38.625.980;5.418;126.754.608;54.900;272.079.886
