Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Agosto/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 534 ; 126.540.054 ; 2.150 ; 618.835.096 ; 5.559 ; 127.495.344 ; 6.565 ; 203.681.892 ; 14.808 ; 1.076.552.386 ; 153 ; 1.039.821.274 ; 133 ; 452.698.486 ; 286 ; 1.492.519.760 ; 15.094 ; 2.569.072.146 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 47 ; 80.438.290 ; 2 ; 15.504.797 ; 74 ; 259.069.833 ; 196 ; 227.893.206 ; 319 ; 582.906.126 ; 87 ; 1.066.435.400 ; 86 ; 901.474.396 ; 173 ; 1.967.909.796 ; 492 ; 2.550.815.922 ;
26;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 64 ; 130.052.107 ; 233 ; 32.213.346 ; 289 ; 276.016.506 ; 308 ; 199.924.282 ; 894 ; 638.206.241 ; 316 ; 548.533.859 ; 325 ; 902.676.883 ; 641 ; 1.451.210.742 ; 1.535 ; 2.089.416.983 ;
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 671 ; 55.511.693 ; 2.217 ; 82.038.541 ; 4.922 ; 340.197.008 ; 6.347 ; 596.944.644 ; 14.157 ; 1.074.691.886 ; 1.705 ; 623.605.382 ; 4.471 ; 354.671.128 ; 6.176 ; 978.276.510 ; 20.333 ; 2.052.968.396 ;
28;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 7.395 ; 2.285.896 ; 85 ; 141.604 ; 1.197.151 ; 448.889.334 ; 1.637.369 ; 532.460.263 ; 2.842.000 ; 983.777.097 ; 1.050 ; 344.889.762 ; 999 ; 263.521.093 ; 2.049 ; 608.410.855 ; 2.844.049 ; 1.592.187.952 ;
29;00.038.166;BANCO CENTRAL DO BRASIL; ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1.500.000.000 ; 1 ; 1.500.000.000 ; 1 ; 1.500.000.000 ;
30;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 372 ; 91.934.254 ; 1.743 ; 266.553.172 ; 57.380 ; 337.656.580 ; 38.992 ; 245.020.324 ; 98.487 ; 941.164.330 ; 346 ; 346.174.659 ; 2.002 ; 180.575.200 ; 2.348 ; 526.749.859 ; 100.835 ; 1.467.914.189 ;
31;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 74 ; 83.218.431 ; 70 ; 11.886.157 ; 71 ; 74.393.936 ; 254 ; 78.100.861 ; 469 ; 247.599.385 ; 75 ; 494.964.019 ; 76 ; 555.634.127 ; 151 ; 1.050.598.146 ; 620 ; 1.298.197.531 ;
32;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 8 ; 31.247.062 ; 2 ; 1.398.361 ; 24 ; 432.722 ; 56 ; 102.176.550 ; 90 ; 135.254.695 ; 66 ; 574.072.145 ; 60 ; 508.034.212 ; 126 ; 1.082.106.357 ; 216 ; 1.217.361.052 ;
33;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 136 ; 162.486.194 ; 307 ; 202.736.999 ; 5.253 ; 66.365.226 ; 699 ; 39.195.877 ; 6.395 ; 470.784.296 ; 47 ; 360.609.155 ; 58 ; 354.268.088 ; 105 ; 714.877.243 ; 6.500 ; 1.185.661.539 ;
34;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 112 ; 105.493.688 ; 735 ; 199.904.054 ; 37 ; 10.834.710 ; 163 ; 11.593.564 ; 1.047 ; 327.826.016 ; 120 ; 507.878.101 ; 98 ; 301.088.370 ; 218 ; 808.966.471 ; 1.265 ; 1.136.792.487 ;
