Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 48 ; 1.935.269 ; 594 ; 27.244.649 ; 255 ; 67.312.301 ; 32.645 ; 74.356.062 ; 33.542 ; 170.848.281 ; 221 ; 244.260.142 ; 359 ; 211.767.621 ; 580 ; 456.027.763 ; 34.122 ; 626.876.043 
30;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 116 ; 171.207.307 ; 40 ; 22.075.145 ; 80 ; 125.909.023 ; 210 ; 97.163.283 ; 446 ; 416.354.758 ; 15 ; 22.267.377 ; 19 ; 172.334.165 ; 34 ; 194.601.542 ; 480 ; 610.956.300 
31;78.632.767;BANCO OURINVEST S.A.; 102 ; 9.427.147 ; 1.265 ; 67.652.129 ; 535 ; 49.243.399 ; 1.519 ; 70.236.359 ; 3.421 ; 196.559.033 ; 693 ; 221.406.917 ; 8.060 ; 141.034.153 ; 8.753 ; 362.441.070 ; 12.174 ; 559.000.103 
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 19 ; 130.673.292 ; 45 ; 1.144.608 ; 140 ; 14.665.643 ; 369 ; 102.666.502 ; 573 ; 249.150.045 ; 96 ; 95.748.866 ; 50 ; 138.120.217 ; 146 ; 233.869.084 ; 719 ; 483.019.128 
33;62.232.889;BANCO DAYCOVAL S.A.; 488 ; 64.253.582 ; 645 ; 32.552.706 ; 630 ; 6.997.647 ; 2.027 ; 52.667.394 ; 3.790 ; 156.471.329 ; 442 ; 115.879.427 ; 1.909 ; 111.109.628 ; 2.351 ; 226.989.054 ; 6.141 ; 383.460.384 
34;71.027.866;BANCO BONSUCESSO S.A.; 50 ; 2.624.670 ; 254 ; 17.566.509 ; 589 ; 51.972.985 ; 919 ; 46.214.310 ; 1.812 ; 118.378.473 ; 230 ; 134.933.712 ; 1.847 ; 124.452.889 ; 2.077 ; 259.386.602 ; 3.889 ; 377.765.075 
35;03.532.415;BANCO ABN AMRO S.A.; 14 ; 41.000.000 ;;; 58 ; 130.542.424 ; 64 ; 137.021.564 ; 136 ; 308.563.988 ; 5 ; 12.000.000 ; 12 ; 46.500.000 ; 17 ; 58.500.000 ; 153 ; 367.063.988 
36;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 20 ; 40.698.602 ; 28 ; 132.276.198 ; 48 ; 172.974.801 ; 20 ; 132.060.229 ; 16 ; 40.466.963 ; 36 ; 172.527.192 ; 84 ; 345.501.993 
37;15.114.366;BANCO BBM S/A; 14 ; 11.778.535 ; 10 ; 1.726.894 ; 17 ; 103.612.910 ; 95 ; 107.104.367 ; 136 ; 224.222.707 ; 5 ; 2.019.827 ; 10 ; 98.014.259 ; 15 ; 100.034.086 ; 151 ; 324.256.793 
38;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;; 22 ; 14.757.605 ; 6 ; 93.455.034 ; 10 ; 94.326.436 ; 38 ; 202.539.075 ; 12 ; 53.288.755 ; 7 ; 35.841.250 ; 19 ; 89.130.005 ; 57 ; 291.669.080 
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 61 ; 55.565.385 ; 152 ; 28.670.783 ; 5 ; 631.284 ; 215 ; 23.850.952 ; 433 ; 108.718.404 ; 33 ; 58.068.646 ; 22 ; 111.670.541 ; 55 ; 169.739.187 ; 488 ; 278.457.590 
40;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 41 ; 45.283.048 ; 151 ; 36.527.566 ; 82 ; 14.431.569 ; 93 ; 28.900.514 ; 367 ; 125.142.697 ; 94 ; 77.794.488 ; 90 ; 72.308.175 ; 184 ; 150.102.664 ; 551 ; 275.245.361 
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 639 ; 36.900.925 ; 1.120 ; 51.547.631 ; 356 ; 32.069.861 ; 1.097 ; 51.674.954 ; 3.212 ; 172.193.372 ; 60 ; 66.113.930 ; 24 ; 34.760.737 ; 84 ; 100.874.667 ; 3.296 ; 273.068.038 
42;30.723.886;BANCO MODAL S.A.; 11 ; 14.055.588 ; 50 ; 6.071.240 ; 79 ; 40.706.867 ; 84 ; 5.489.498 ; 224 ; 66.323.194 ; 17 ; 51.622.544 ; 21 ; 95.122.978 ; 38 ; 146.745.522 ; 262 ; 213.068.716 
43;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 13 ; 943.924 ; 45 ; 4.195.961 ; 171 ; 17.719.192 ; 419 ; 94.281.264 ; 648 ; 117.140.341 ; 171 ; 85.803.224 ; 26 ; 5.999.287 ; 197 ; 91.802.511 ; 845 ; 208.942.852 
44;03.609.817;BANCO CARGILL S.A.; 38 ; 84.291.535 ; 4 ; 618.760 ; 8 ; 21.448.597 ; 47 ; 11.885.360 ; 97 ; 118.244.251 ;;; 3 ; 82.750.000 ; 3 ; 82.750.000 ; 100 ; 200.994.251 
45;58.616.418;BANCO FIBRA S.A.; 104 ; 26.360.957 ; 435 ; 56.047.279 ; 54 ; 11.549.347 ; 219 ; 30.302.004 ; 812 ; 124.259.587 ; 26 ; 63.272.084 ; 22 ; 8.270.354 ; 48 ; 71.542.438 ; 860 ; 195.802.025 
