Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 707 ; 1.763.861.285 ; 246 ; 237.145.261 ; 533 ; 1.051.612.259 ; 1.797 ; 1.349.023.954 ; 3.283 ; 4.401.642.758 ; 97 ; 848.754.350 ; 135 ; 2.010.363.917 ; 232 ; 2.859.118.267 ; 3.515 ; 7.260.761.025 
26;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.643 ; 75.797.046 ; 10.414 ; 447.564.400 ; 6.562 ; 815.923.012 ; 21.775 ; 997.534.442 ; 40.394 ; 2.336.818.901 ; 6.174 ; 2.713.475.952 ; 57.315 ; 2.165.315.370 ; 63.489 ; 4.878.791.321 ; 103.883 ; 7.215.610.222 
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.251 ; 500.479.541 ; 4.702 ; 941.612.445 ; 2.522 ; 1.197.826.559 ; 4.247 ; 815.171.214 ; 12.722 ; 3.455.089.758 ; 795 ; 1.630.158.045 ; 787 ; 1.465.756.357 ; 1.582 ; 3.095.914.402 ; 14.304 ; 6.551.004.160 
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 171 ; 1.178.092.469 ; 171 ; 1.699.800.745 ; 342 ; 2.877.893.215 ; 136 ; 1.678.356.909 ; 106 ; 1.155.704.836 ; 242 ; 2.834.061.745 ; 584 ; 5.711.954.960 
29;78.632.767;BANCO OURINVEST S.A.; 790 ; 88.064.648 ; 5.096 ; 290.268.213 ; 3.473 ; 501.660.712 ; 9.323 ; 837.132.351 ; 18.682 ; 1.717.125.924 ; 3.588 ; 2.109.236.572 ; 67.374 ; 1.578.539.846 ; 70.962 ; 3.687.776.418 ; 89.644 ; 5.404.902.341 
30;62.232.889;BANCO DAYCOVAL S.A.; 3.245 ; 466.032.637 ; 4.222 ; 279.995.203 ; 4.486 ; 100.993.761 ; 17.033 ; 606.933.310 ; 28.986 ; 1.453.954.911 ; 3.605 ; 2.024.193.207 ; 16.151 ; 1.790.892.957 ; 19.756 ; 3.815.086.163 ; 48.742 ; 5.269.041.074 
31;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 380 ; 696.263.794 ;;; 628 ; 601.275.113 ; 269 ; 1.618.496.372 ; 1.277 ; 2.916.035.279 ; 72 ; 1.421.711.380 ; 38 ; 742.650.461 ; 110 ; 2.164.361.841 ; 1.387 ; 5.080.397.121 
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 212 ; 328.743.919 ; 219 ; 54.889.716 ; 105 ; 1.490.097.586 ; 535 ; 492.836.138 ; 1.071 ; 2.366.567.358 ; 53 ; 617.566.428 ; 108 ; 1.749.567.044 ; 161 ; 2.367.133.472 ; 1.232 ; 4.733.700.830 
33;00.360.305;CAIXA ECONOMICA FEDERAL; 1.483 ; 560.961.533 ; 1.109 ; 34.203.022 ; 51.698 ; 469.580.308 ; 12.558 ; 712.468.469 ; 66.848 ; 1.777.213.332 ; 716 ; 889.236.604 ; 788 ; 1.131.058.648 ; 1.504 ; 2.020.295.252 ; 68.352 ; 3.797.508.584 
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 171 ; 825.821.293 ; 342 ; 13.129.364 ; 1.031 ; 197.049.106 ; 2.851 ; 809.297.321 ; 4.395 ; 1.845.297.084 ; 1.234 ; 837.053.437 ; 653 ; 1.038.715.247 ; 1.887 ; 1.875.768.684 ; 6.282 ; 3.721.065.768 
35;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 381 ; 23.217.722 ; 3.648 ; 146.675.203 ; 1.136 ; 262.421.954 ; 239.475 ; 713.350.612 ; 244.640 ; 1.145.665.491 ; 1.466 ; 1.565.265.320 ; 2.338 ; 984.413.492 ; 3.804 ; 2.549.678.812 ; 248.444 ; 3.695.344.303 
36;71.027.866;BANCO BONSUCESSO S.A.; 337 ; 49.577.904 ; 1.380 ; 65.465.322 ; 3.193 ; 445.337.427 ; 6.532 ; 666.911.240 ; 11.442 ; 1.227.291.893 ; 3.958 ; 1.346.411.516 ; 17.365 ; 1.109.397.160 ; 21.323 ; 2.455.808.676 ; 32.765 ; 3.683.100.568 
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 386 ; 336.400.675 ; 1.373 ; 225.856.542 ; 631 ; 362.720.652 ; 792 ; 438.529.177 ; 3.182 ; 1.363.507.046 ; 607 ; 895.976.169 ; 622 ; 991.617.113 ; 1.229 ; 1.887.593.282 ; 4.411 ; 3.251.100.327 
38;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 1.188 ; 617.150.797 ; 1.739 ; 729.390.151 ; 2.927 ; 1.346.540.948 ; 132 ; 955.397.703 ; 431 ; 928.340.000 ; 563 ; 1.883.737.703 ; 3.490 ; 3.230.278.651 
39;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 46.348.307 ; 26 ; 9.003.227 ; 68 ; 981.244.734 ; 104 ; 637.723.493 ; 202 ; 1.674.319.761 ; 52 ; 570.840.364 ; 57 ; 948.539.357 ; 109 ; 1.519.379.722 ; 311 ; 3.193.699.483 
