Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
35;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 44 ; 2.283.343 ; 328 ; 12.280.371 ; 123 ; 17.173.803 ; 526 ; 60.851.162 ; 1.021 ; 92.588.679 ; 433 ; 262.206.848 ; 388 ; 207.257.821 ; 821 ; 469.464.668 ; 1.842 ; 562.053.347 ;;;;
36;71.027.866;BANCO BONSUCESSO S.A.; 90 ; 8.390.834 ; 97 ; 7.535.304 ; 143 ; 33.580.033 ; 538 ; 23.464.844 ; 868 ; 72.971.016 ; 193 ; 230.890.992 ; 782 ; 247.425.194 ; 975 ; 478.316.186 ; 1.843 ; 551.287.202 ;;;;
37;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 147 ; 204.502.786 ; 146 ; 32.340.337 ; 293 ; 236.843.123 ; 4 ; 32.000.000 ; 83 ; 253.250.000 ; 87 ; 285.250.000 ; 380 ; 522.093.123 ;;;;
38;62.232.889;BANCO DAYCOVAL S.A.; 358 ; 32.238.667 ; 445 ; 26.400.640 ; 520 ; 8.550.641 ; 1.949 ; 54.710.609 ; 3.272 ; 121.900.557 ; 527 ; 212.788.818 ; 2.548 ; 174.438.004 ; 3.075 ; 387.226.822 ; 6.347 ; 509.127.379 ;;;;
39;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 62 ; 38.537.448 ; 100 ; 10.661.848 ; 48 ; 57.943.211 ; 173 ; 89.760.054 ; 383 ; 196.902.561 ; 28 ; 126.123.150 ; 21 ; 87.209.750 ; 49 ; 213.332.900 ; 432 ; 410.235.461 ;;;;
40;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 20 ; 97.700.000 ; 7 ; 500.378 ; 13 ; 76.049.250 ; 25 ; 2.909.969 ; 65 ; 177.159.597 ; 7 ; 3.878.125 ; 73 ; 173.630.585 ; 80 ; 177.508.710 ; 145 ; 354.668.307 ;;;;
41;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 78 ; 22.778.072 ; 85 ; 4.298.906 ; 60 ; 81.352.896 ; 85 ; 1.411.495 ; 308 ; 109.841.368 ; 43 ; 80.429.380 ; 36 ; 113.761.583 ; 79 ; 194.190.963 ; 387 ; 304.032.331 ;;;;
42;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 62 ; 55.438.988 ; 27 ; 4.994.768 ; 13 ; 67.409.603 ; 90 ; 107.676.435 ; 192 ; 235.519.794 ; 6 ; 2.265.176 ; 10 ; 32.255.894 ; 16 ; 34.521.070 ; 208 ; 270.040.863 ;;;;
43;03.609.817;BANCO CARGILL S.A.; 3 ; 28.000.000 ;;; 2 ; 2.638.494 ; 20 ; 4.392.133 ; 25 ; 35.030.627 ; 1 ; 50.000.000 ; 5 ; 173.000.000 ; 6 ; 223.000.000 ; 31 ; 258.030.627 ;;;;
44;15.114.366;BANCO BBM S/A; 26 ; 14.786.899 ; 7 ; 368.748 ; 17 ; 48.590.090 ; 67 ; 58.438.983 ; 117 ; 122.184.721 ; 3 ; 30.000.000 ; 3 ; 70.000.000 ; 6 ; 100.000.000 ; 123 ; 222.184.721 ;;;;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 140 ; 2.825.217 ; 679 ; 16.665.691 ; 1.269 ; 13.681.915 ; 2.313 ; 43.751.226 ; 4.401 ; 76.924.048 ; 2.776 ; 85.417.340 ; 222 ; 41.486.420 ; 2.998 ; 126.903.760 ; 7.399 ; 203.827.808 ;;;;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 887 ; 70.502.245 ; 1.143 ; 40.402.261 ; 392 ; 3.771.928 ; 1.169 ; 17.950.582 ; 3.591 ; 132.627.016 ; 31 ; 20.304.796 ; 43 ; 35.767.039 ; 74 ; 56.071.835 ; 3.665 ; 188.698.851 ;;;;
47;58.616.418;BANCO FIBRA S.A.; 31 ; 31.110.025 ; 384 ; 40.894.287 ; 60 ; 4.282.799 ; 433 ; 33.258.874 ; 908 ; 109.545.985 ; 21 ; 52.667.509 ; 7 ; 12.289.792 ; 28 ; 64.957.300 ; 936 ; 174.503.285 ;;;;
48;59.118.133;BANCO LUSO BRASILEIRO S.A.; 190 ; 28.722.104 ; 188 ; 18.053.049 ; 63 ; 9.833.448 ; 270 ; 26.361.728 ; 711 ; 82.970.328 ; 219 ; 41.206.536 ; 209 ; 35.174.856 ; 428 ; 76.381.392 ; 1.139 ; 159.351.721 ;;;;
49;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 1 ; 151.920.272 ;;; 1 ; 151.920.272 ; 1 ; 151.920.272 ;;;;
50;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 5 ; 3.231.852 ; 6 ; 1.754.000 ; 9 ; 9.644.648 ; 76 ; 32.557.384 ; 96 ; 47.187.883 ; 13 ; 61.077.977 ; 13 ; 41.100.752 ; 26 ; 102.178.729 ; 122 ; 149.366.612 ;;;;
51;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 1 ; 17.640 ; 9 ; 2.405.730 ; 51 ; 59.037.584 ; 51 ; 38.534.041 ; 112 ; 99.994.995 ; 11 ; 15.472.784 ; 17 ; 33.491.916 ; 28 ; 48.964.700 ; 140 ; 148.959.695 ;;;;
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 199 ; 3.893.962 ; 1.681 ; 34.877.274 ; 1.300 ; 14.058.331 ; 3.519 ; 29.716.777 ; 6.699 ; 82.546.344 ; 897 ; 54.452.252 ; 223 ; 7.807.373 ; 1.120 ; 62.259.625 ; 7.819 ; 144.805.969 ;;;;
53;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 12 ; 70.640 ; 47 ; 443.274 ; 576 ; 30.519.797 ; 1.470 ; 66.130.760 ; 2.105 ; 97.164.471 ; 697 ; 38.468.122 ; 281 ; 2.516.436 ; 978 ; 40.984.558 ; 3.083 ; 138.149.029 ;;;;
54;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 47 ; 10.613.753 ; 44 ; 5.870.423 ; 32 ; 11.985.103 ; 86 ; 6.433.761 ; 209 ; 34.903.041 ; 30 ; 45.451.966 ; 38 ; 40.581.076 ; 68 ; 86.033.042 ; 277 ; 120.936.083 ;;;;
55;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 102 ; 154.159 ; 272 ; 922.179 ; 374 ; 1.076.338 ; 520 ; 60.216.766 ; 351 ; 59.456.597 ; 871 ; 119.673.363 ; 1.245 ; 120.749.701 ;;;;
56;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 108 ; 2.480.829 ; 1.282 ; 25.509.677 ; 643 ; 10.271.568 ; 2.233 ; 28.369.785 ; 4.266 ; 66.631.859 ; 1.352 ; 46.111.409 ; 15 ; 5.100.000 ; 1.367 ; 51.211.409 ; 5.633 ; 117.843.268 ;;;;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 27 ; 633.476 ; 159 ; 1.643.926 ; 1.230 ; 7.430.536 ; 5.092 ; 56.516.111 ; 6.508 ; 66.224.048 ; 957 ; 50.030.169 ; 2 ; 130.165 ; 959 ; 50.160.334 ; 7.467 ; 116.384.383 ;;;;
