Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jul/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
24;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 206 ; 330.385.935 ;;; 292 ; 3.734.064.145 ; 417 ; 1.154.112.062 ; 915 ; 5.218.562.141 ; 28 ; 1.104.621.736 ; 55 ; 4.055.817.250 ; 83,0 ; 5.160.438.986 ; 998 ; 10.379.001.127 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 264 ; 1.423.183.704 ; 228 ; 133.541.651 ; 389 ; 927.530.104 ; 1.932 ; 950.695.281 ; 2.813 ; 3.434.950.741 ; 179 ; 1.732.616.991 ; 216 ; 2.994.677.754 ; 395,0 ; 4.727.294.745 ; 3.208 ; 8.162.245.486 ;
26;68.900.810;BANCO RENDIMENTO S.A.; 133 ; 4.851.057 ; 1.007 ; 46.179.588 ; 24.513 ; 406.431.102 ; 21.684 ; 1.299.454.763 ; 47.337 ; 1.756.916.511 ; 2.555 ; 3.237.160.692 ; 46.033 ; 2.236.831.673 ; 48.588,0 ; 5.473.992.365 ; 95.925 ; 7.230.908.876 ;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 811 ; 694.540.844 ; 2.589 ; 970.694.560 ; 2.041 ; 1.585.923.300 ; 3.093 ; 443.291.290 ; 8.534 ; 3.694.449.994 ; 354 ; 1.083.136.717 ; 399 ; 1.931.492.568 ; 753,0 ; 3.014.629.285 ; 9.287 ; 6.709.079.279 ;
28;62.232.889;BANCO DAYCOVAL S.A.; 921 ; 273.272.362 ; 3.153 ; 398.674.760 ; 3.714 ; 649.845.797 ; 22.786 ; 664.977.941 ; 30.574 ; 1.986.770.860 ; 1.978 ; 2.437.206.098 ; 3.649 ; 2.225.437.159 ; 5.627,0 ; 4.662.643.257 ; 36.201 ; 6.649.414.117 ;
29;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 95 ; 531.040.714 ; 68 ; 259.670.067 ; 117 ; 37.494.311 ; 398 ; 349.774.294 ; 678 ; 1.177.979.386 ; 354 ; 2.660.889.449 ; 448 ; 2.628.081.492 ; 802,0 ; 5.288.970.941 ; 1.480 ; 6.466.950.327 ;
30;00.360.305;CAIXA ECONOMICA FEDERAL; 1.039 ; 446.353.331 ; 1.451 ; 60.879.380 ; 32.501 ; 1.019.379.980 ; 41.416 ; 641.903.301 ; 76.407 ; 2.168.515.991 ; 725 ; 1.254.805.484 ; 716 ; 2.003.082.039 ; 1.441,0 ; 3.257.887.523 ; 77.848 ; 5.426.403.515 ;
31;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 86 ; 387.726.391 ; 29 ; 7.234.863 ; 104 ; 361.855.390 ; 349 ; 81.976.163 ; 568 ; 838.792.807 ; 346 ; 1.784.613.528 ; 381 ; 2.499.357.939 ; 727,0 ; 4.283.971.467 ; 1.295 ; 5.122.764.275 ;
32;28.195.667;BANCO ABC BRASIL S.A.; 378 ; 357.535.586 ; 767 ; 108.869.728 ; 174 ; 419.174.106 ; 1.730 ; 360.274.635 ; 3.049 ; 1.245.854.055 ; 115 ; 1.655.091.070 ; 184 ; 2.134.491.879 ; 299,0 ; 3.789.582.949 ; 3.348 ; 5.035.437.004 ;
33;49.336.860;ING BANK N.V.; 189 ; 1.126.141.357 ; 17 ; 47.834.034 ; 79 ; 420.674.944 ; 463 ; 636.658.678 ; 748 ; 2.231.309.013 ; 54 ; 799.020.108 ; 106 ; 1.949.073.473 ; 160,0 ; 2.748.093.581 ; 908 ; 4.979.402.595 ;
34;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 55 ; 1.044.150.000 ; 34 ; 1.166.793.083 ; 89 ; 2.210.943.083 ; 35 ; 1.224.793.083 ; 56 ; 1.102.150.000 ; 91,0 ; 2.326.943.083 ; 180 ; 4.537.886.166 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 849 ; 1.157.001.731 ; 882 ; 448.166.321 ; 1.731 ; 1.605.168.052 ; 60 ; 1.049.190.410 ; 401 ; 1.758.395.382 ; 461,0 ; 2.807.585.791 ; 2.192 ; 4.412.753.843 ;
36;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 8 ; 6.566.644 ; 20 ; 1.099.659 ; 105 ; 44.319.789 ; 237 ; 54.796.745 ; 370 ; 106.782.837 ; 241 ; 1.708.973.450 ; 391 ; 1.739.975.519 ; 632,0 ; 3.448.948.969 ; 1.002 ; 3.555.731.806 ;
37;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 23 ; 11.015.341 ; 4 ; 215.943 ; 950 ; 633.760.825 ; 930 ; 305.778.038 ; 1.907 ; 950.770.147 ; 315 ; 999.770.722 ; 328 ; 1.374.653.153 ; 643,0 ; 2.374.423.875 ; 2.550 ; 3.325.194.022 ;
38;15.114.366;BANCO BBM S/A; 165 ; 116.977.879 ; 18 ; 60.493.773 ; 103 ; 71.524.325 ; 268 ; 118.542.660 ; 554 ; 367.538.636 ; 124 ; 1.302.336.988 ; 157 ; 1.264.833.021 ; 281,0 ; 2.567.170.009 ; 835 ; 2.934.708.645 ;
39;13.059.145;BEXS BANCO DE C∂MBIO S/A; 123 ; 412.592.710 ; 973 ; 49.631.002 ; 920 ; 108.002.065 ; 2.468 ; 151.126.997 ; 4.484 ; 721.352.774 ; 1.965 ; 871.796.339 ; 1.984 ; 1.191.667.560 ; 3.949,0 ; 2.063.463.899 ; 8.433 ; 2.784.816.673 ;
