Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 480 ; 1.496.767.708 ; 233 ; 145.820.520 ; 423 ; 646.173.581 ; 1.163 ; 843.298.494 ; 2.299 ; 3.132.060.304 ; 66 ; 448.971.813 ; 103 ; 1.608.321.736 ; 169 ; 2.057.293.549 ; 2.468 ; 5.189.353.853 ;;;;
26;00.360.305;CAIXA ECONOMICA FEDERAL; 1.647 ; 760.950.027 ; 1.227 ; 43.858.898 ; 35.836 ; 489.557.880 ; 9.515 ; 959.272.987 ; 48.225 ; 2.253.639.791 ; 736 ; 1.294.674.863 ; 949 ; 1.553.390.862 ; 1.685 ; 2.848.065.725 ; 49.910 ; 5.101.705.516 ;;;;
27;68.900.810;BANCO RENDIMENTO S.A.; 162 ; 10.540.204 ; 361 ; 128.194.969 ; 189.013 ; 636.254.432 ; 6.195 ; 784.980.455 ; 195.731 ; 1.559.970.061 ; 3.104 ; 1.849.063.963 ; 56.064 ; 1.599.012.422 ; 59.168 ; 3.448.076.385 ; 254.899 ; 5.008.046.446 ;;;;
28;07.656.500;BANCO KDB DO BRASIL S.A.;;; 2 ; 2.844.356 ; 1.048 ; 1.904.910.254 ; 1.152 ; 469.006.049 ; 2.202 ; 2.376.760.658 ; 51 ; 480.061.589 ; 604 ; 1.963.310.000 ; 655 ; 2.443.371.589 ; 2.857 ; 4.820.132.247 ;;;;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 949 ; 60.213.635 ; 6.733 ; 249.869.294 ; 3.698 ; 345.434.129 ; 14.603 ; 517.992.796 ; 25.983 ; 1.173.509.853 ; 5.752 ; 1.976.100.632 ; 43.807 ; 1.609.861.163 ; 49.559 ; 3.585.961.795 ; 75.542 ; 4.759.471.648 ;;;;
30;78.632.767;BANCO OURINVEST S.A.; 535 ; 133.902.077 ; 2.257 ; 118.348.584 ; 2.396 ; 247.123.635 ; 4.243 ; 306.397.288 ; 9.431 ; 805.771.583 ; 2.017 ; 1.896.377.513 ; 58.049 ; 1.810.874.244 ; 60.066 ; 3.707.251.758 ; 69.497 ; 4.513.023.341 ;;;;
31;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 191 ; 935.735.776 ; 176 ; 1.305.100.885 ; 367 ; 2.240.836.661 ; 123 ; 1.296.638.155 ; 83 ; 926.902.668 ; 206 ; 2.223.540.822 ; 573 ; 4.464.377.483 ;;;;
32;71.027.866;BANCO BONSUCESSO S.A.; 296 ; 34.858.690 ; 442 ; 35.966.583 ; 678 ; 125.602.465 ; 2.647 ; 144.661.049 ; 4.063 ; 341.088.787 ; 1.381 ; 2.012.130.398 ; 5.137 ; 1.997.989.423 ; 6.518 ; 4.010.119.822 ; 10.581 ; 4.351.208.609 ;;;;
33;62.232.889;BANCO DAYCOVAL S.A.; 1.744 ; 290.852.859 ; 2.679 ; 177.620.126 ; 3.068 ; 386.683.144 ; 12.196 ; 352.793.783 ; 19.687 ; 1.207.949.912 ; 3.070 ; 1.480.542.101 ; 13.422 ; 1.627.677.667 ; 16.492 ; 3.108.219.768 ; 36.179 ; 4.316.169.680 ;;;;
34;03.532.415;BANCO ABN AMRO S.A.; 42 ; 169.057.428 ; 24 ; 16.424.459 ; 123 ; 1.491.056.205 ; 279 ; 1.478.990.430 ; 468 ; 3.155.528.523 ; 37 ; 75.565.169 ; 67 ; 239.602.073 ; 104 ; 315.167.242 ; 572 ; 3.470.695.765 ;;;;
