Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
27;31.872.495;BANCO C6 S.A.; 65 ; 54.687.425 ; 549 ; 69.556.817 ; 1.965 ; 125.118.190 ; 17.688 ; 214.945.906 ; 20.267 ; 464.308.339 ; 90 ; 574.956.062 ; 157 ; 500.610.873 ; 247 ; 1.075.566.935 ; 20.514 ; 1.539.875.274 ;
28;10.690.848;BANCO DA CHINA BRASIL S.A.; 16 ; 542.036.667 ; 19 ; 1.809.711 ; 29 ; 16.511.599 ; 53 ; 68.150.075 ; 117 ; 628.508.051 ; 39 ; 182.995.793 ; 43 ; 671.542.956 ; 82 ; 854.538.749 ; 199 ; 1.483.046.800 ;
29;53.518.684;BANCO HSBC S.A.; 25 ; 168.404.327 ; 258 ; 91.137.936 ; 55 ; 78.565.302 ; 155 ; 67.620.510 ; 493 ; 405.728.074 ; 163 ; 459.272.373 ; 162 ; 566.255.094 ; 325 ; 1.025.527.467 ; 818 ; 1.431.255.542 ;
30;68.900.810;BANCO RENDIMENTO S.A.; 67 ; 5.651.908 ; 226 ; 85.665.530 ; 345.480 ; 530.802.768 ; 3.607 ; 67.473.964 ; 349.380 ; 689.594.170 ; 1.592 ; 149.658.100 ; 7.685 ; 537.363.051 ; 9.277 ; 687.021.151 ; 358.657 ; 1.376.615.321 ;
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 11 ; 20.850.000 ; 13 ; 20.677.291 ; 26 ; 517.902.287 ; 135 ; 397.923.492 ; 185 ; 957.353.070 ; 4 ; 71.795.000 ; 19 ; 243.584.600 ; 23 ; 315.379.600 ; 208 ; 1.272.732.670 ;
32;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 86 ; 78.478.298 ; 223 ; 68.026.730 ; 50 ; 74.476.630 ; 170 ; 182.905.375 ; 529 ; 403.887.034 ; 93 ; 510.072.284 ; 87 ; 337.292.975 ; 180 ; 847.365.258 ; 709 ; 1.251.252.292 ;
33;78.632.767;BANCO OURINVEST S.A.; 1.241 ; 132.436.185 ; 2.013 ; 139.914.699 ; 13.851 ; 188.740.074 ; 27.429 ; 293.411.749 ; 44.534 ; 754.502.706 ; 479 ; 249.636.925 ; 5.728 ; 140.218.722 ; 6.207 ; 389.855.647 ; 50.741 ; 1.144.358.353 ;
34;07.679.404;BANCO TOPÁZIO S.A.; 73 ; 26.906.163 ; 26 ; 4.020.657 ; 319 ; 54.060.460 ; 528 ; 324.843.750 ; 946 ; 409.831.030 ; 550 ; 369.754.014 ; 1.195 ; 121.911.992 ; 1.745 ; 491.666.006 ; 2.691 ; 901.497.035 ;
35;58.616.418;BANCO FIBRA S.A.; 98 ; 97.101.647 ; 898 ; 158.261.111 ; 30 ; 19.656.848 ; 184 ; 40.738.386 ; 1.210 ; 315.757.992 ; 95 ; 359.332.636 ; 85 ; 226.143.036 ; 180 ; 585.475.672 ; 1.390 ; 901.233.663 ;
36;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 67 ; 90.166.288 ; 325 ; 72.526.204 ; 37 ; 183.754.798 ; 252 ; 177.492.682 ; 681 ; 523.939.971 ; 34 ; 180.268.790 ; 20 ; 98.674.990 ; 54 ; 278.943.780 ; 735 ; 802.883.751 ;
37;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 52 ; 2.214.354 ; 676 ; 29.275.575 ; 240 ; 16.126.905 ; 10.178 ; 37.685.392 ; 11.146 ; 85.302.226 ; 396 ; 370.514.460 ; 416 ; 323.395.737 ; 812 ; 693.910.197 ; 11.958 ; 779.212.423 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 160 ; 104.858.040 ; 652 ; 116.698.530 ; 352 ; 54.536.090 ; 430 ; 146.442.678 ; 1.594 ; 422.535.338 ; 64 ; 186.521.806 ; 56 ; 91.452.169 ; 120 ; 277.973.975 ; 1.714 ; 700.509.313 ;
39;71.027.866;BANCO BS2 S.A.; 428 ; 48.624.617 ; 1.241 ; 69.445.538 ; 8.493 ; 163.423.687 ; 17.645 ; 123.115.338 ; 27.807 ; 404.609.179 ; 62 ; 28.675.839 ; 60 ; 55.412.158 ; 122 ; 84.087.996 ; 27.929 ; 488.697.175 ;
40;15.114.366;BANCO BOCOM BBM S.A.; 9 ; 22.295.457 ; 157 ; 26.673.863 ; 51 ; 86.632.072 ; 207 ; 55.051.651 ; 424 ; 190.653.043 ; 24 ; 267.421.519 ; 4 ; 425.044 ; 28 ; 267.846.562 ; 452 ; 458.499.605 ;
