Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Dez/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
24;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 173 ; 1.065.489.802 ; 289 ; 954.231.203 ; 237 ; 169.070.863 ; 749 ; 670.113.758 ; 1.448 ; 2.858.905.626 ; 890 ; 6.427.135.501 ; 1.175 ; 6.012.380.931 ; 2.065,0 ; 12.439.516.431 ; 3.513 ; 15.298.422.057 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 559 ; 2.276.533.297 ; 317 ; 210.528.660 ; 744 ; 2.189.110.688 ; 3.609 ; 1.935.900.242 ; 5.229 ; 6.612.072.888 ; 245 ; 2.757.816.942 ; 313 ; 4.913.455.433 ; 558,0 ; 7.671.272.374 ; 5.787 ; 14.283.345.263 ;
26;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 363 ; 584.907.396 ;;; 521 ; 4.726.982.961 ; 763 ; 1.988.599.068 ; 1.647 ; 7.300.489.425 ; 52 ; 1.536.059.447 ; 83 ; 4.925.575.708 ; 135,0 ; 6.461.635.155 ; 1.782 ; 13.762.124.581 ;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.417 ; 1.129.172.681 ; 4.597 ; 1.746.136.016 ; 3.555 ; 2.964.681.475 ; 5.424 ; 812.297.767 ; 14.993 ; 6.652.287.939 ; 630 ; 2.154.517.572 ; 731 ; 3.678.879.145 ; 1.361,0 ; 5.833.396.717 ; 16.354 ; 12.485.684.655 ;
28;68.900.810;BANCO RENDIMENTO S.A.; 206 ; 10.215.360 ; 1.565 ; 101.586.356 ; 45.082 ; 674.357.691 ; 35.285 ; 2.190.571.919 ; 82.138 ; 2.976.731.326 ; 4.402 ; 5.191.452.724 ; 79.136 ; 3.510.119.947 ; 83.538,0 ; 8.701.572.671 ; 165.676 ; 11.678.303.997 ;
29;00.360.305;CAIXA ECONOMICA FEDERAL; 2.003 ; 955.219.227 ; 2.561 ; 145.706.916 ; 58.045 ; 2.361.931.759 ; 53.792 ; 1.601.247.493 ; 116.401 ; 5.064.105.394 ; 1.354 ; 2.252.763.713 ; 1.358 ; 3.797.696.666 ; 2.712,0 ; 6.050.460.379 ; 119.113 ; 11.114.565.774 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 2.066 ; 534.379.993 ; 5.555 ; 601.903.725 ; 6.251 ; 849.058.433 ; 39.450 ; 1.056.428.048 ; 53.322 ; 3.041.770.199 ; 3.498 ; 4.171.596.853 ; 9.362 ; 3.863.560.198 ; 12.860,0 ; 8.035.157.051 ; 66.182 ; 11.076.927.250 ;
31;49.336.860;ING BANK N.V.; 314 ; 1.561.959.304 ; 34 ; 74.560.198 ; 120 ; 554.641.964 ; 866 ; 1.553.974.306 ; 1.334 ; 3.745.135.772 ; 132 ; 2.474.230.313 ; 182 ; 3.241.781.453 ; 314,0 ; 5.716.011.766 ; 1.648 ; 9.461.147.538 ;
32;28.195.667;BANCO ABC BRASIL S.A.; 766 ; 552.339.302 ; 1.422 ; 180.507.590 ; 344 ; 950.270.819 ; 3.088 ; 730.158.307 ; 5.620 ; 2.413.276.018 ; 187 ; 2.745.108.251 ; 314 ; 3.504.599.090 ; 501,0 ; 6.249.707.341 ; 6.121 ; 8.662.983.359 ;
33;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 126 ; 520.953.632 ; 33 ; 10.800.253 ; 177 ; 549.983.099 ; 571 ; 340.991.558 ; 907 ; 1.422.728.542 ; 704 ; 3.180.629.826 ; 734 ; 3.905.853.117 ; 1.438,0 ; 7.086.482.944 ; 2.345 ; 8.509.211.485 ;
34;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 65 ; 1.130.018.703 ; 100 ; 2.720.325.699 ; 165 ; 3.850.344.402 ; 102 ; 2.783.575.699 ; 67 ; 1.193.268.703 ; 169,0 ; 3.976.844.402 ; 334 ; 7.827.188.805 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 3.185.884 ; 1.433 ; 1.628.927.388 ; 1.540 ; 771.755.592 ; 2.974 ; 2.403.868.864 ; 105 ; 1.462.379.518 ; 635 ; 2.417.295.382 ; 740,0 ; 3.879.674.900 ; 3.714 ; 6.283.543.764 ;
36;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 9.652 ; 1.145.639.620 ; 16.106 ; 914.446.774 ; 4.371 ; 891.240.277 ; 17.736 ; 302.013.255 ; 47.865 ; 3.253.339.926 ; 423 ; 705.044.951 ; 451 ; 1.517.477.452 ; 874,0 ; 2.222.522.404 ; 48.739 ; 5.475.862.330 ;
37;13.059.145;BEXS BANCO DE C∂MBIO S/A; 191 ; 805.137.673 ; 1.612 ; 78.380.341 ; 1.769 ; 285.897.425 ; 4.640 ; 348.653.184 ; 8.212 ; 1.518.068.623 ; 3.236 ; 1.550.092.005 ; 3.390 ; 2.213.634.787 ; 6.626,0 ; 3.763.726.791 ; 14.838 ; 5.281.795.415 ;
38;78.632.767;BANCO OURINVEST S.A.; 8 ; 42.124.195 ; 340 ; 36.346.212 ; 1.909 ; 45.549.708 ; 6.508 ; 136.881.847 ; 8.765 ; 260.901.962 ; 3.065 ; 2.396.955.378 ; 37.952 ; 2.284.636.777 ; 41.017,0 ; 4.681.592.155 ; 49.782 ; 4.942.494.118 ;
39;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 14 ; 7.359.205 ; 27 ; 6.674.168 ; 181 ; 119.517.593 ; 458 ; 63.886.750 ; 680 ; 197.437.716 ; 415 ; 2.273.879.531 ; 678 ; 2.375.867.173 ; 1.093,0 ; 4.649.746.704 ; 1.773 ; 4.847.184.420 ;
40;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 39 ; 15.117.389 ; 11 ; 13.134.866 ; 1.605 ; 974.429.438 ; 1.453 ; 894.157.496 ; 3.108 ; 1.896.839.189 ; 469 ; 1.339.106.942 ; 469 ; 1.592.998.507 ; 938,0 ; 2.932.105.449 ; 4.046 ; 4.828.944.638 ;
41;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 2.674 ; 13.030.754 ; 38.406 ; 369.185.788 ; 41.081 ; 382.302.572 ; 8.285 ; 2.241.677.530 ; 1.873 ; 1.885.649.529 ; 10.158,0 ; 4.127.327.060 ; 51.239 ; 4.509.629.632 ;
42;71.027.866;BANCO BONSUCESSO S.A.;;; 8 ; 180.302 ; 466 ; 2.595.074 ; 1.890 ; 45.692.626 ; 2.364 ; 48.468.001 ; 2.196 ; 2.238.477.569 ; 5.086 ; 2.194.342.994 ; 7.282,0 ; 4.432.820.562 ; 9.646 ; 4.481.288.563 ;
43;15.114.366;BANCO BBM S/A; 225 ; 199.641.384 ; 28 ; 91.710.372 ; 157 ; 152.242.986 ; 440 ; 162.824.303 ; 850 ; 606.419.045 ; 178 ; 1.700.318.478 ; 262 ; 1.700.055.301 ; 440,0 ; 3.400.373.779 ; 1.290 ; 4.006.792.824 ;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 543 ; 15.620.636 ; 5.662 ; 143.988.683 ; 7.172 ; 75.258.595 ; 19.981 ; 1.153.498.730 ; 33.358 ; 1.388.366.644 ; 38.163 ; 1.833.117.023 ; 1.512 ; 626.492.384 ; 39.675,0 ; 2.459.609.407 ; 73.033 ; 3.847.976.050 ;
45;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 1.630 ; 786.900.030 ; 2.267 ; 285.650.250 ; 763 ; 146.196.273 ; 3.332 ; 539.029.627 ; 7.992 ; 1.757.776.180 ; 387 ; 780.478.853 ; 354 ; 769.683.362 ; 741,0 ; 1.550.162.215 ; 8.733 ; 3.307.938.395 ;
46;62.144.175;BANCO PINE S.A.; 142 ; 411.486.470 ; 463 ; 279.630.157 ; 89 ; 491.069.894 ; 918 ; 413.246.130 ; 1.612 ; 1.595.432.651 ; 51 ; 754.527.681 ; 51 ; 923.041.859 ; 102,0 ; 1.677.569.540 ; 1.714 ; 3.273.002.191 ;
47;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 173 ; 404.256.311 ; 81 ; 27.933.808 ; 147 ; 488.908.163 ; 252 ; 233.407.564 ; 653 ; 1.154.505.847 ; 273 ; 668.388.273 ; 334 ; 1.261.788.404 ; 607,0 ; 1.930.176.676 ; 1.260 ; 3.084.682.523 ;
48;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.; 4 ; 16.187 ; 78 ; 359.486 ; 12.277 ; 125.370.866 ; 63.756 ; 989.436.350 ; 76.115 ; 1.115.182.890 ; 26.274 ; 1.376.033.831 ; 1.648 ; 510.883.174 ; 27.922,0 ; 1.886.917.006 ; 104.037 ; 3.002.099.896 ;
49;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 115 ; 37.398.733 ; 38 ; 3.305.709 ; 45 ; 137.341 ; 75 ; 1.400.777 ; 273 ; 42.242.560 ; 477 ; 1.433.207.000 ; 559 ; 1.468.460.000 ; 1.036,0 ; 2.901.667.000 ; 1.309 ; 2.943.909.560 ;
