Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;68.900.810;BANCO RENDIMENTO S.A.; 382 ; 25.676.449 ; 1.832 ; 304.793.326 ; 1.081.773 ; 3.191.902.259 ; 53.249 ; 626.963.822 ; 1.137.236 ; 4.149.335.856 ; 12.478 ; 1.537.174.920 ; 68.636 ; 3.871.006.206 ; 81.114 ; 5.408.181.125 ; 1.218.350 ; 9.557.516.981 ;
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 5.457 ; 791.564.700 ; 18.213 ; 684.881.371 ; 14.806 ; 1.113.254.693 ; 29.911 ; 2.125.206.377 ; 68.387 ; 4.714.907.141 ; 13.263 ; 2.387.509.744 ; 44.075 ; 1.482.357.991 ; 57.338 ; 3.869.867.735 ; 125.725 ; 8.584.774.876 ;
28;78.632.767;BANCO OURINVEST S.A.; 4.301 ; 580.793.426 ; 20.707 ; 1.284.079.737 ; 19.672 ; 1.226.689.835 ; 17.864 ; 1.339.545.194 ; 62.544 ; 4.431.108.192 ; 10.759 ; 2.442.144.361 ; 29.048 ; 1.696.755.733 ; 39.807 ; 4.138.900.094 ; 102.351 ; 8.570.008.286 ;
29;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 919 ; 48.459.646 ; 7.089 ; 268.343.569 ; 52.585 ; 1.500.506.722 ; 948.376 ; 1.170.962.906 ; 1.008.969 ; 2.988.272.842 ; 3.088 ; 2.704.238.186 ; 3.887 ; 2.810.912.141 ; 6.975 ; 5.515.150.328 ; 1.015.944 ; 8.503.423.170 ;
30;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 135 ; 406.209.979 ; 204 ; 314.745.836 ; 210 ; 2.176.766.658 ; 1.199 ; 1.197.934.115 ; 1.748 ; 4.095.656.588 ; 127 ; 1.492.960.344 ; 198 ; 2.722.289.920 ; 325 ; 4.215.250.263 ; 2.073 ; 8.310.906.851 ;
31;62.232.889;BANCO DAYCOVAL S.A.; 5.768 ; 810.112.616 ; 6.916 ; 491.320.339 ; 174.772 ; 1.492.808.928 ; 14.766 ; 571.083.270 ; 202.222 ; 3.365.325.154 ; 2.928 ; 1.433.009.883 ; 5.554 ; 2.941.148.441 ; 8.482 ; 4.374.158.324 ; 210.704 ; 7.739.483.479 ;
32;58.616.418;BANCO FIBRA S.A.; 775 ; 679.725.338 ; 6.485 ; 1.092.233.008 ; 512 ; 1.315.882.342 ; 1.687 ; 1.441.448.912 ; 9.459 ; 4.529.289.600 ; 537 ; 1.686.683.714 ; 459 ; 1.283.559.240 ; 996 ; 2.970.242.955 ; 10.455 ; 7.499.532.555 ;
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 581 ; 644.172.687 ; 1.871 ; 334.363.489 ; 871 ; 1.032.551.296 ; 1.550 ; 543.267.853 ; 4.873 ; 2.554.355.324 ; 769 ; 1.508.790.903 ; 821 ; 2.419.138.936 ; 1.590 ; 3.927.929.839 ; 6.463 ; 6.482.285.163 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 176 ; 680.989.617 ; 121 ; 4.477.943 ; 113.531 ; 445.571.744 ; 348.895 ; 2.057.350.351 ; 462.723 ; 3.188.389.655 ; 1.411 ; 1.766.564.450 ; 508 ; 841.221.953 ; 1.919 ; 2.607.786.403 ; 464.642 ; 5.796.176.057 ;
35;71.027.866;BANCO BS2 S.A.; 2.326 ; 531.229.046 ; 8.950 ; 405.996.015 ; 39.508 ; 951.802.028 ; 86.253 ; 725.086.036 ; 137.037 ; 2.614.113.125 ; 1.033 ; 919.578.556 ; 5.857 ; 1.274.189.349 ; 6.890 ; 2.193.767.906 ; 143.927 ; 4.807.881.030 ;
36;10.690.848;BANCO DA CHINA BRASIL S.A.; 203 ; 654.156.311 ; 264 ; 191.128.873 ; 249 ; 1.451.016.116 ; 556 ; 477.384.423 ; 1.272 ; 2.773.685.723 ; 253 ; 204.678.406 ; 399 ; 1.671.322.643 ; 652 ; 1.876.001.049 ; 1.924 ; 4.649.686.772 ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 711 ; 663.627.183 ; 3.041 ; 326.655.520 ; 145 ; 707.235.107 ; 2.225 ; 954.641.381 ; 6.122 ; 2.652.159.192 ; 352 ; 936.900.953 ; 285 ; 943.146.701 ; 637 ; 1.880.047.653 ; 6.759 ; 4.532.206.845 ;
38;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 236 ; 1.102.396.423 ; 141 ; 1.100.409.749 ; 377 ; 2.202.806.172 ; 46 ; 1.047.430.339 ; 112 ; 1.050.303.893 ; 158 ; 2.097.734.232 ; 535 ; 4.300.540.404 ;
39;62.144.175;BANCO PINE S.A.; 236 ; 164.085.805 ; 1.844 ; 192.871.167 ; 85 ; 49.437.017 ; 392 ; 78.409.817 ; 2.557 ; 484.803.806 ; 426 ; 1.867.507.422 ; 1.065 ; 1.775.945.538 ; 1.491 ; 3.643.452.960 ; 4.048 ; 4.128.256.765 ;
40;00.360.305;CAIXA ECONOMICA FEDERAL; 1.223 ; 311.405.177 ; 723 ; 66.707.748 ; 93.806 ; 712.167.289 ; 7.053 ; 593.849.626 ; 102.805 ; 1.684.129.841 ; 2.028 ; 975.215.327 ; 2.145 ; 1.202.693.415 ; 4.173 ; 2.177.908.742 ; 106.978 ; 3.862.038.583 ;
41;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 155 ; 381.664.696 ;;; 209 ; 201.159.025 ; 16 ; 558.120 ; 380 ; 583.381.841 ; 40 ; 939.657.161 ; 92 ; 2.255.370.256 ; 132 ; 3.195.027.416 ; 512 ; 3.778.409.257 ;
42;33.923.798;BANCO MÁXIMA S.A.; 1.522 ; 603.555.447 ; 3.009 ; 225.571.011 ; 66.777 ; 620.899.542 ; 295.278 ; 820.158.455 ; 366.586 ; 2.270.184.455 ; 678 ; 454.590.363 ; 615 ; 645.657.234 ; 1.293 ; 1.100.247.597 ; 367.879 ; 3.370.432.052 ;
43;00.997.185;BANCO B3 S.A.;;;;; 1.728 ; 821.392.821 ; 1.480 ; 1.118.468.690 ; 3.208 ; 1.939.861.511 ; 699 ; 679.936.374 ; 328 ; 382.896.612 ; 1.027 ; 1.062.832.986 ; 4.235 ; 3.002.694.497 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 5.068.046 ; 1.454 ; 434.707.190 ; 3.690 ; 1.085.627.142 ; 5.145 ; 1.525.402.378 ; 411 ; 1.036.061.608 ; 180 ; 310.750.000 ; 591 ; 1.346.811.608 ; 5.736 ; 2.872.213.986 ;
45;07.679.404;BANCO TOPÁZIO S.A.; 203 ; 134.807.047 ; 472 ; 42.700.487 ; 3.765 ; 106.652.254 ; 3.428 ; 731.876.057 ; 7.868 ; 1.016.035.845 ; 3.032 ; 1.128.538.542 ; 6.983 ; 595.072.147 ; 10.015 ; 1.723.610.690 ; 17.883 ; 2.739.646.534 ;
46;30.723.886;BANCO MODAL S.A.; 133 ; 124.664.196 ; 721 ; 65.951.105 ; 1.805 ; 956.189.105 ; 1.306 ; 643.364.364 ; 3.965 ; 1.790.168.770 ; 72 ; 233.691.618 ; 94 ; 603.654.663 ; 166 ; 837.346.281 ; 4.131 ; 2.627.515.050 ;
47;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 45 ; 175.739.192 ; 32 ; 9.175.213 ; 57 ; 23.849.771 ; 2.933 ; 1.048.871.851 ; 3.067 ; 1.257.636.027 ; 180 ; 1.104.270.046 ; 46 ; 260.942.399 ; 226 ; 1.365.212.445 ; 3.293 ; 2.622.848.472 ;
48;33.264.668;BANCO XP S.A.; 87 ; 39.881.620 ; 563 ; 95.203.381 ; 421 ; 569.743.204 ; 865 ; 680.802.808 ; 1.936 ; 1.385.631.013 ; 159 ; 616.065.882 ; 56 ; 444.049.488 ; 215 ; 1.060.115.370 ; 2.151 ; 2.445.746.383 ;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 2.049 ; 38.620.335 ; 7.949 ; 205.752.579 ; 67.615 ; 301.545.689 ; 27.725 ; 310.951.487 ; 105.338 ; 856.870.091 ; 8.286 ; 651.989.953 ; 3.819 ; 475.314.542 ; 12.105 ; 1.127.304.495 ; 117.443 ; 1.984.174.586 ;
50;31.872.495;BANCO C6 S.A.; 101 ; 84.429.066 ; 909 ; 85.981.991 ; 2.117 ; 85.835.974 ; 27.603 ; 303.380.343 ; 30.730 ; 559.627.374 ; 350 ; 817.974.957 ; 792 ; 582.400.371 ; 1.142 ; 1.400.375.328 ; 31.872 ; 1.960.002.701 ;
51;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 183 ; 17.717.303 ; 480 ; 36.643.844 ; 2.063 ; 228.230.138 ; 3.991 ; 864.888.065 ; 6.717 ; 1.147.479.350 ; 484 ; 715.668.481 ; 118 ; 60.145.543 ; 602 ; 775.814.025 ; 7.319 ; 1.923.293.375 ;
52;15.114.366;BANCO BOCOM BBM S.A.; 151 ; 110.796.214 ; 76 ; 6.899.975 ; 231 ; 415.414.337 ; 1.756 ; 515.452.709 ; 2.214 ; 1.048.563.236 ; 51 ; 227.911.052 ; 80 ; 560.630.608 ; 131 ; 788.541.660 ; 2.345 ; 1.837.104.896 ;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 7.114 ; 462.345.625 ; 8.502 ; 373.105.322 ; 4.391 ; 93.057.198 ; 6.871 ; 288.711.125 ; 26.878 ; 1.217.219.269 ; 254 ; 326.971.256 ; 195 ; 203.838.542 ; 449 ; 530.809.798 ; 27.327 ; 1.748.029.068 ;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 2.153 ; 52.494.740 ; 19.324 ; 315.441.105 ; 18.265 ; 175.797.972 ; 37.722 ; 295.286.043 ; 77.464 ; 839.019.860 ; 5.717 ; 645.080.375 ; 1.999 ; 262.556.483 ; 7.716 ; 907.636.858 ; 85.180 ; 1.746.656.718 ;
55;03.609.817;BANCO CARGILL S.A.; 167 ; 307.687.554 ; 5 ; 316.415 ; 47 ; 109.121.609 ; 200 ; 55.455.663 ; 419 ; 472.581.241 ; 11 ; 413.000.000 ; 27 ; 756.500.000 ; 38 ; 1.169.500.000 ; 457 ; 1.642.081.241 ;
56;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 167 ; 180.374.497 ; 793 ; 137.901.489 ; 139 ; 85.933.792 ; 412 ; 100.631.965 ; 1.511 ; 504.841.744 ; 286 ; 514.344.239 ; 283 ; 542.106.342 ; 569 ; 1.056.450.581 ; 2.080 ; 1.561.292.324 ;
57;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 185 ; 20.644.713 ; 343 ; 17.210.351 ; 31.002 ; 605.134.277 ; 2.187 ; 61.761.628 ; 33.717 ; 704.750.970 ; 715 ; 52.405.124 ; 1.271 ; 599.210.872 ; 1.986 ; 651.615.996 ; 35.703 ; 1.356.366.965 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 57 ; 154.917.885 ; 151 ; 12.490.892 ; 154 ; 155.242.417 ; 501 ; 141.681.577 ; 863 ; 464.332.771 ; 94 ; 318.078.005 ; 109 ; 524.036.371 ; 203 ; 842.114.375 ; 1.066 ; 1.306.447.146 ;
59;92.894.922;BANCO ORIGINAL S.A.; 172 ; 271.718.663 ; 100 ; 50.782.777 ; 487 ; 4.281.799 ; 1.235 ; 139.140.159 ; 1.994 ; 465.923.397 ; 49 ; 168.788.932 ; 68 ; 630.790.951 ; 117 ; 799.579.883 ; 2.111 ; 1.265.503.280 ;
60;61.186.680;BANCO BMG S.A.; 43 ; 41.566.524 ; 13 ; 9.170.578 ; 29 ; 9.374.326 ; 399 ; 209.028.211 ; 484 ; 269.139.639 ; 28 ; 505.317.685 ; 24 ; 335.979.161 ; 52 ; 841.296.846 ; 536 ; 1.110.436.486 ;
61;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 46 ; 227.488.319 ; 297 ; 110.975.214 ; 21 ; 46.823.416 ; 1.020 ; 88.678.532 ; 1.384 ; 473.965.482 ; 72 ; 243.260.900 ; 65 ; 310.033.958 ; 137 ; 553.294.858 ; 1.521 ; 1.027.260.340 ;
62;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 111 ; 60.531.947 ; 130 ; 17.371.204 ; 164 ; 373.242.716 ; 458 ; 157.173.050 ; 863 ; 608.318.917 ; 58 ; 73.658.877 ; 89 ; 321.192.746 ; 147 ; 394.851.623 ; 1.010 ; 1.003.170.540 ;
63;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 16 ; 77.238.600 ; 177 ; 85.098.938 ; 475 ; 246.473.306 ; 761 ; 270.631.550 ; 1.429 ; 679.442.393 ; 282 ; 168.851.860 ; 89 ; 136.824.784 ; 371 ; 305.676.645 ; 1.800 ; 985.119.038 ;
64;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 353 ; 366.891.950 ; 625 ; 49.206.893 ; 561 ; 25.929.665 ; 686 ; 52.419.559 ; 2.225 ; 494.448.067 ; 492 ; 97.618.996 ; 363 ; 390.272.779 ; 855 ; 487.891.775 ; 3.080 ; 982.339.841 ;
