Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em MARÇO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
27;49.336.860;ING BANK N.V.; 25 ; 165.275.625 ; 9 ; 53.174.029 ; 13 ; 272.108.382 ; 78 ; 152.330.205 ; 125 ; 642.888.242 ; 12 ; 172.266.525 ; 21 ; 391.445.210 ; 33 ; 563.711.735 ; 158 ; 1.206.599.977 ;;;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 4 ; 43.700.000 ;;; 17 ; 149.330.625 ; 51 ; 22.506.503 ; 72 ; 215.537.128 ; 86 ; 320.748.798 ; 94 ; 479.839.226 ; 180 ; 800.588.023 ; 252 ; 1.016.125.152 ;;;;
29;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 129 ; 134.203.260 ; 469 ; 101.179.289 ; 362 ; 243.326.990 ; 514 ; 88.065.106 ; 1.474 ; 566.774.645 ; 61 ; 110.052.546 ; 85 ; 298.822.280 ; 146 ; 408.874.826 ; 1.620 ; 975.649.472 ;;;;
30;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 37 ; 209.310.379 ; 18 ; 6.008.783 ; 29 ; 139.165.181 ; 47 ; 7.523.573 ; 131 ; 362.007.916 ; 30 ; 66.013.978 ; 48 ; 411.522.806 ; 78 ; 477.536.784 ; 209 ; 839.544.700 ;;;;
31;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 1.215.039 ;;; 182 ; 24.174.372 ; 60 ; 319.238.742 ; 246 ; 344.628.153 ; 29 ; 361.311.930 ; 46 ; 108.512.702 ; 75 ; 469.824.632 ; 321 ; 814.452.784 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 29 ; 126.753.517 ; 124 ; 4.198.873 ; 231 ; 44.575.166 ; 557 ; 63.152.964 ; 941 ; 238.680.520 ; 287 ; 180.768.008 ; 253 ; 284.850.653 ; 540 ; 465.618.661 ; 1.481 ; 704.299.181 ;;;;
33;68.900.810;BANCO RENDIMENTO S.A.; 9 ; 837.016 ; 57 ; 4.423.039 ; 4.743 ; 57.291.074 ; 1.762 ; 104.553.374 ; 6.571 ; 167.104.503 ; 391 ; 270.596.598 ; 6.864 ; 197.427.665 ; 7.255 ; 468.024.262 ; 13.826 ; 635.128.766 ;;;;
34;78.632.767;BANCO OURINVEST S.A.; 18 ; 2.912.751 ; 45 ; 4.714.899 ; 175 ; 4.561.579 ; 603 ; 18.767.669 ; 841 ; 30.956.899 ; 310 ; 282.876.771 ; 5.075 ; 267.085.723 ; 5.385 ; 549.962.494 ; 6.226 ; 580.919.393 ;;;;
35;71.027.866;BANCO BONSUCESSO S.A.; 1 ; 61.978 ; 1 ; 999 ; 22 ; 782.664 ; 84 ; 6.747.413 ; 108 ; 7.593.054 ; 287 ; 285.341.777 ; 244 ; 279.202.897 ; 531 ; 564.544.674 ; 639 ; 572.137.728 ;;;;
36;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 34 ; 129.241.698 ;;; 50 ; 62.834.063 ; 83 ; 325.615.998 ; 167 ; 517.691.759 ; 4 ; 34.992.937 ; 2 ; 13.928.603 ; 6 ; 48.921.540 ; 173 ; 566.613.299 ;;;;
37;28.195.667;BANCO ABC BRASIL S.A.; 49 ; 38.061.016 ; 113 ; 16.124.830 ; 27 ; 166.159.165 ; 332 ; 61.438.538 ; 521 ; 281.783.548 ; 20 ; 47.665.827 ; 24 ; 204.151.615 ; 44 ; 251.817.442 ; 565 ; 533.600.990 ;;;;
38;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 238 ; 222.728 ; 2.731 ; 7.151.685 ; 2.969 ; 7.374.413 ; 655 ; 204.666.631 ; 184 ; 197.880.981 ; 839 ; 402.547.612 ; 3.808 ; 409.922.025 ;;;;
39;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 17 ; 45.114.128 ; 23 ; 26.683.221 ; 6 ; 139.581.202 ; 90 ; 85.533.616 ; 136 ; 296.912.168 ; 17 ; 28.927.065 ; 16 ; 47.837.598 ; 33 ; 76.764.664 ; 169 ; 373.676.831 ;;;;
40;03.609.817;BANCO CARGILL S.A.; 16 ; 100.631.536 ; 2 ; 139.686 ; 3 ; 70.166.250 ; 27 ; 77.954.250 ; 48 ; 248.891.721 ; 4 ; 4.250.000 ; 5 ; 97.750.000 ; 9 ; 102.000.000 ; 57 ; 350.891.721 ;;;;
41;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;;;; 26 ; 27.172.831 ; 75 ; 5.071.097 ; 101 ; 32.243.928 ; 33 ; 113.275.081 ; 75 ; 183.537.064 ; 108 ; 296.812.145 ; 209 ; 329.056.073 ;;;;
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 796 ; 72.153.100 ; 1.281 ; 72.930.013 ; 348 ; 23.525.710 ; 1.377 ; 17.492.124 ; 3.802 ; 186.100.947 ; 44 ; 48.738.599 ; 35 ; 54.328.112 ; 79 ; 103.066.711 ; 3.881 ; 289.167.658 ;;;;
43;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 55 ; 713.306 ; 460 ; 9.977.630 ; 807 ; 8.968.954 ; 1.936 ; 72.609.483 ; 3.258 ; 92.269.373 ; 3.353 ; 124.696.089 ; 113 ; 51.809.113 ; 3.466 ; 176.505.202 ; 6.724 ; 268.774.575 ;;;;
44;33.923.798;BANCO MÁXIMA S.A.; 30 ; 453.655 ; 378 ; 16.821.427 ; 78 ; 13.359.815 ; 276 ; 14.779.241 ; 762 ; 45.414.138 ; 317 ; 107.182.969 ; 1.248 ; 95.916.701 ; 1.565 ; 203.099.670 ; 2.327 ; 248.513.808 ;;;;
45;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 3 ; 59.761 ; 1.230 ; 86.966.101 ; 318 ; 3.582.631 ; 3.189 ; 11.522.505 ; 4.740 ; 102.130.998 ; 968 ; 96.816.348 ; 53 ; 1.776.034 ; 1.021 ; 98.592.382 ; 5.761 ; 200.723.380 ;;;;
46;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 50 ; 280.732 ; 1.000 ; 10.760.450 ; 3.057 ; 55.507.393 ; 4.107 ; 66.548.575 ; 1.723 ; 84.061.528 ; 138 ; 38.892.264 ; 1.861 ; 122.953.791 ; 5.968 ; 189.502.366 ;;;;
47;03.532.415;BANCO ABN AMRO S.A.; 23 ; 82.090.000 ;;; 4 ; 886.403 ; 16 ; 547.512 ; 43 ; 83.523.915 ; 2 ; 3.005.459 ; 51 ; 85.525.435 ; 53 ; 88.530.893 ; 96 ; 172.054.808 ;;;;
48;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 54 ; 992.980 ; 857 ; 23.169.148 ; 627 ; 9.749.429 ; 3.368 ; 54.159.491 ; 4.906 ; 88.071.048 ; 1.028 ; 67.637.905 ; 2 ; 593.721 ; 1.030 ; 68.231.626 ; 5.936 ; 156.302.673 ;;;;
49;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 34 ; 791.348 ; 149 ; 1.675.772 ; 1.309 ; 11.059.224 ; 6.281 ; 69.647.635 ; 7.773 ; 83.173.978 ; 912 ; 60.147.158 ; 16 ; 300.367 ; 928 ; 60.447.525 ; 8.701 ; 143.621.504 ;;;;
50;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 13 ; 380.363 ; 67 ; 850.595 ; 384 ; 3.090.498 ; 1.366 ; 20.644.101 ; 1.830 ; 24.965.556 ; 1.739 ; 65.237.772 ; 336 ; 46.194.811 ; 2.075 ; 111.432.583 ; 3.905 ; 136.398.139 ;;;;
51;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 116 ; 28.629.317 ; 131 ; 18.744.703 ; 65 ; 19.192.359 ; 243 ; 25.612.571 ; 555 ; 92.178.950 ; 23 ; 20.355.718 ; 16 ; 22.558.625 ; 39 ; 42.914.343 ; 594 ; 135.093.293 ;;;;
52;30.723.886;BANCO MODAL S.A.; 17 ; 5.386.469 ; 68 ; 6.980.974 ; 16 ; 14.233.702 ; 58 ; 25.332.988 ; 159 ; 51.934.133 ; 19 ; 48.851.044 ; 18 ; 29.002.650 ; 37 ; 77.853.694 ; 196 ; 129.787.827 ;;;;
53;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 133 ; 39.027.653 ; 163 ; 32.573.512 ; 296 ; 71.601.165 ; 21 ; 21.000.000 ; 35 ; 27.200.000 ; 56 ; 48.200.000 ; 352 ; 119.801.165 ;;;;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 90 ; 3.789.332 ; 1.188 ; 34.101.232 ; 1.068 ; 18.851.176 ; 2.692 ; 22.599.071 ; 5.038 ; 79.340.811 ; 1.041 ; 37.026.826 ; 99 ; 3.262.953 ; 1.140 ; 40.289.779 ; 6.178 ; 119.630.590 ;;;;
55;60.889.128;BANCO SOFISA S.A.; 99 ; 13.266.484 ; 75 ; 5.398.082 ; 26 ; 3.446.001 ; 110 ; 28.348.182 ; 310 ; 50.458.749 ; 17 ; 21.286.959 ; 12 ; 46.196.640 ; 29 ; 67.483.600 ; 339 ; 117.942.349 ;;;;
56;61.024.352;BANCO INDUSVAL S.A.; 58 ; 14.019.091 ; 30 ; 3.830.992 ; 15 ; 672.398 ; 54 ; 7.938.954 ; 157 ; 26.461.436 ; 35 ; 38.407.035 ; 51 ; 47.159.821 ; 86 ; 85.566.856 ; 243 ; 112.028.292 ;;;;
57;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 2 ; 12.207 ; 32 ; 280.693 ; 507 ; 14.670.189 ; 1.118 ; 50.639.782 ; 1.659 ; 65.602.871 ; 732 ; 39.723.141 ; 393 ; 4.562.339 ; 1.125 ; 44.285.481 ; 2.784 ; 109.888.352 ;;;;
58;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO;;; 86 ; 2.153.381 ; 210 ; 2.182.739 ; 1.014 ; 12.861.014 ; 1.310 ; 17.197.134 ; 1.013 ; 52.583.209 ; 95 ; 39.765.995 ; 1.108 ; 92.349.204 ; 2.418 ; 109.546.338 ;;;;
59;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;;; 191 ; 9.761.211 ; 2.843 ; 2.769.582 ; 4.317 ; 16.066.837 ; 7.351 ; 28.597.629 ; 1.490 ; 49.447.286 ; 88 ; 26.188.010 ; 1.578 ; 75.635.297 ; 8.929 ; 104.232.926 ;;;;
60;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 631 ; 28.790.119 ; 259 ; 9.945.225 ; 159 ; 8.142.447 ; 319 ; 6.872.044 ; 1.368 ; 53.749.834 ; 35 ; 11.228.705 ; 86 ; 30.131.182 ; 121 ; 41.359.887 ; 1.489 ; 95.109.721 ;;;;
61;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 15.501 ; 52 ; 39.554.235 ; 24 ; 3.080.959 ; 242 ; 7.182.920 ; 319 ; 49.833.616 ; 34 ; 43.850.000 ; 1 ; 150.000 ; 35 ; 44.000.000 ; 354 ; 93.833.616 ;;;;
