Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
26;58.160.789;BANCO SAFRA S.A.; 204 ; 91.430.652 ; 866 ; 105.291.536 ; 1.148 ; 291.677.024 ; 2.513 ; 257.872.634 ; 4.731 ; 746.271.845 ; 225 ; 197.586.828 ; 214 ; 218.348.334 ; 439 ; 415.935.163 ; 5.170 ; 1.162.207.008 
27;68.900.810;BANCO RENDIMENTO S.A.; 21 ; 1.027.580 ; 132 ; 39.691.236 ; 28.216 ; 127.371.363 ; 6.465 ; 185.226.793 ; 34.834 ; 353.316.972 ; 579 ; 454.359.249 ; 10.612 ; 353.230.042 ; 11.191 ; 807.589.291 ; 46.025 ; 1.160.906.263 
28;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 33 ; 265.146.910 ; 24 ; 269.855.971 ; 57 ; 535.002.881 ; 20 ; 265.737.354 ; 28 ; 261.072.364 ; 48 ; 526.809.718 ; 105 ; 1.061.812.599 
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 240 ; 12.241.688 ; 1.481 ; 61.932.352 ; 934 ; 57.383.324 ; 3.011 ; 98.290.537 ; 5.666 ; 229.847.900 ; 924 ; 370.179.821 ; 8.357 ; 280.484.387 ; 9.281 ; 650.664.209 ; 14.947 ; 880.512.109 
30;78.632.767;BANCO OURINVEST S.A.; 100 ; 5.101.482 ; 884 ; 39.746.981 ; 587 ; 144.477.579 ; 1.495 ; 189.332.089 ; 3.066 ; 378.658.131 ; 559 ; 242.606.458 ; 9.896 ; 173.667.586 ; 10.455 ; 416.274.044 ; 13.521 ; 794.932.175 
31;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 72 ; 4.741.831 ; 500 ; 19.672.831 ; 195 ; 105.155.803 ; 33.395 ; 152.139.592 ; 34.162 ; 281.710.057 ; 206 ; 267.516.584 ; 378 ; 206.731.141 ; 584 ; 474.247.725 ; 34.746 ; 755.957.782 
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 32 ; 47.822.908 ; 23 ; 19.072.906 ; 15 ; 236.966.785 ; 107 ; 35.458.849 ; 177 ; 339.321.449 ; 12 ; 88.074.866 ; 27 ; 328.077.401 ; 39 ; 416.152.266 ; 216 ; 755.473.715 
33;71.027.866;BANCO BONSUCESSO S.A.; 38 ; 2.739.144 ; 156 ; 6.928.623 ; 453 ; 100.719.802 ; 982 ; 123.379.295 ; 1.629 ; 233.766.864 ; 352 ; 213.773.764 ; 2.413 ; 192.238.365 ; 2.765 ; 406.012.129 ; 4.394 ; 639.778.993 
34;62.232.889;BANCO DAYCOVAL S.A.; 445 ; 68.597.451 ; 598 ; 41.276.914 ; 603 ; 6.814.895 ; 2.263 ; 84.563.178 ; 3.909 ; 201.252.438 ; 549 ; 233.033.821 ; 2.958 ; 193.243.581 ; 3.507 ; 426.277.402 ; 7.416 ; 627.529.840 
35;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 67 ; 57.011.101 ; 133 ; 11.723.843 ; 15 ; 18.203.956 ; 203 ; 183.235.910 ; 418 ; 270.174.810 ; 27 ; 185.691.953 ; 36 ; 65.626.203 ; 63 ; 251.318.155 ; 481 ; 521.492.965 
