Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.723 ; 40.014.628 ; 15.033 ; 237.156.613 ; 15.045 ; 141.413.860 ; 30.603 ; 225.815.519 ; 62.404 ; 644.400.620 ; 4.539 ; 515.954.109 ; 1.743 ; 234.365.410 ; 6.282 ; 750.319.519 ; 68.686 ; 1.394.720.139 ;
55;03.609.817;BANCO CARGILL S.A.; 101 ; 205.158.111 ; 4 ; 261.379 ; 39 ; 75.957.034 ; 145 ; 51.264.884 ; 289 ; 332.641.408 ; 11 ; 413.000.000 ; 18 ; 542.500.000 ; 29 ; 955.500.000 ; 318 ; 1.288.141.408 ;
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 139 ; 17.032.964 ; 249 ; 13.445.536 ; 24.618 ; 504.438.231 ; 1.771 ; 52.767.658 ; 26.777 ; 587.684.389 ; 573 ; 45.131.149 ; 1.049 ; 500.388.213 ; 1.622 ; 545.519.362 ; 28.399 ; 1.133.203.751 ;
57;92.894.922;BANCO ORIGINAL S.A.; 158 ; 246.345.032 ; 85 ; 43.480.586 ; 414 ; 4.214.367 ; 1.017 ; 75.089.492 ; 1.674 ; 369.129.477 ; 37 ; 132.614.744 ; 58 ; 630.616.445 ; 95 ; 763.231.189 ; 1.769 ; 1.132.360.666 ;
58;31.872.495;BANCO C6 S.A.; 53 ; 9.745.395 ; 622 ; 67.795.428 ; 1.656 ; 43.784.185 ; 21.757 ; 169.720.115 ; 24.088 ; 291.045.122 ; 221 ; 504.451.734 ; 477 ; 310.806.133 ; 698 ; 815.257.866 ; 24.786 ; 1.106.302.988 ;
59;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 51 ; 153.781.250 ; 122 ; 9.386.747 ; 121 ; 117.594.989 ; 401 ; 97.352.793 ; 695 ; 378.115.779 ; 78 ; 241.656.777 ; 96 ; 450.651.718 ; 174 ; 692.308.495 ; 869 ; 1.070.424.273 ;
60;59.285.411;BANCO PAN S.A.;;;;; 58 ; 716.923 ; 185 ; 481.488.967 ; 243 ; 482.205.889 ; 26 ; 480.905.660 ;;; 26 ; 480.905.660 ; 269 ; 963.111.549 ;
61;61.186.680;BANCO BMG S.A.; 41 ; 35.263.854 ; 12 ; 8.145.519 ; 17 ; 7.634.099 ; 320 ; 204.837.153 ; 390 ; 255.880.625 ; 25 ; 424.317.685 ; 22 ; 275.979.161 ; 47 ; 700.296.846 ; 437 ; 956.177.471 ;
62;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 44 ; 220.394.979 ; 164 ; 82.216.876 ; 19 ; 46.696.383 ; 863 ; 82.753.630 ; 1.090 ; 432.061.868 ; 56 ; 205.440.000 ; 58 ; 304.100.000 ; 114 ; 509.540.000 ; 1.204 ; 941.601.868 ;
63;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 102 ; 55.853.669 ; 106 ; 14.797.431 ; 144 ; 366.575.538 ; 362 ; 99.393.142 ; 714 ; 536.619.781 ; 49 ; 55.337.766 ; 82 ; 319.167.137 ; 131 ; 374.504.903 ; 845 ; 911.124.684 ;
64;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 14 ; 77.120.450 ; 120 ; 67.769.319 ; 381 ; 231.811.178 ; 598 ; 250.819.374 ; 1.113 ; 627.520.320 ; 217 ; 141.057.676 ; 74 ; 131.395.330 ; 291 ; 272.453.006 ; 1.404 ; 899.973.327 ;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 284 ; 309.064.560 ; 507 ; 41.060.820 ; 446 ; 24.974.549 ; 555 ; 40.737.905 ; 1.792 ; 415.837.833 ; 404 ; 77.482.674 ; 296 ; 326.631.327 ; 700 ; 404.114.001 ; 2.492 ; 819.951.834 ;
66;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 22.639 ; 296.653.247 ; 74.836 ; 315.824.936 ; 97.475 ; 612.478.183 ; 682 ; 83.694.713 ; 1.172 ; 67.591.757 ; 1.854 ; 151.286.470 ; 99.329 ; 763.764.653 ;
67;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 5.105 ; 210.955.636 ; 5.270 ; 158.637.668 ; 3.345 ; 71.680.204 ; 2.309 ; 112.045.390 ; 16.029 ; 553.318.899 ; 107 ; 96.811.105 ; 83 ; 105.937.647 ; 190 ; 202.748.753 ; 16.219 ; 756.067.652 ;
68;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 790 ; 13.089.810 ; 8.538 ; 191.021.077 ; 4.778 ; 74.966.472 ; 9.747 ; 100.280.852 ; 23.853 ; 379.358.210 ; 4.406 ; 246.572.708 ; 393 ; 43.446.238 ; 4.799 ; 290.018.947 ; 28.652 ; 669.377.157 ;
