Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
26;62.232.889;BANCO DAYCOVAL S.A.; 521 ; 69.922.128 ; 759 ; 46.941.104 ; 715 ; 7.831.398 ; 2.428 ; 132.015.573 ; 4.423 ; 256.710.202 ; 586 ; 351.031.305 ; 2.953 ; 263.792.882 ; 3.539 ; 614.824.186 ; 7.962 ; 871.534.389 
27;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 89 ; 201.276.092 ; 33 ; 27.250.776 ; 86 ; 170.142.558 ; 376 ; 222.561.113 ; 584 ; 621.230.540 ; 13 ; 13.078.007 ; 17 ; 123.066.166 ; 30 ; 136.144.173 ; 614 ; 757.374.713 
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 147 ; 51.881.265 ; 767 ; 129.513.175 ; 355 ; 101.178.793 ; 551 ; 54.267.863 ; 1.820 ; 336.841.095 ; 127 ; 268.086.601 ; 117 ; 132.931.961 ; 244 ; 401.018.562 ; 2.064 ; 737.859.657 
29;92.894.922;BANCO ORIGINAL S.A.; 24 ; 354.992.561 ; 30 ; 6.388.496 ; 54 ; 145.104 ; 233 ; 7.776.285 ; 341 ; 369.302.446 ; 11 ; 1.196.436 ; 15 ; 318.000.749 ; 26 ; 319.197.184 ; 367 ; 688.499.630 
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 50 ; 2.105.582 ; 738 ; 31.140.393 ; 217 ; 35.928.026 ; 32.610 ; 86.144.697 ; 33.615 ; 155.318.697 ; 207 ; 280.925.936 ; 404 ; 199.031.156 ; 611 ; 479.957.092 ; 34.226 ; 635.275.789 
31;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 175 ; 56.995.190 ; 320 ; 264.225.439 ; 495 ; 321.220.629 ; 28 ; 235.419.720 ; 46 ; 77.750.000 ; 74 ; 313.169.720 ; 569 ; 634.390.349 
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 28 ; 268.903.826 ; 18 ; 41.330.164 ; 46 ; 310.233.990 ; 14 ; 41.301.290 ; 19 ; 268.892.582 ; 33 ; 310.193.872 ; 79 ; 620.427.862 
33;71.027.866;BANCO BONSUCESSO S.A.; 46 ; 4.712.518 ; 237 ; 11.572.927 ; 535 ; 52.817.054 ; 972 ; 56.984.342 ; 1.790 ; 126.086.841 ; 346 ; 204.645.898 ; 2.572 ; 195.429.824 ; 2.918 ; 400.075.722 ; 4.708 ; 526.162.563 
34;00.360.305;CAIXA ECONOMICA FEDERAL; 198 ; 88.330.436 ; 197 ; 6.428.800 ; 7.360 ; 33.900.685 ; 1.747 ; 98.551.141 ; 9.502 ; 227.211.061 ; 94 ; 129.508.720 ; 102 ; 144.005.210 ; 196 ; 273.513.930 ; 9.698 ; 500.724.991 
35;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 35 ; 25.317.583 ; 169 ; 24.463.119 ; 89 ; 33.736.838 ; 112 ; 125.651.876 ; 405 ; 209.169.417 ; 78 ; 138.031.321 ; 81 ; 150.506.510 ; 159 ; 288.537.831 ; 564 ; 497.707.248 
