Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JUNHO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
25;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 4 ; 605.888 ;;; 135 ; 262.549.262 ; 140 ; 107.675.905 ; 279 ; 370.831.055 ; 38 ; 209.773.025 ; 41 ; 360.923.672 ; 79 ; 570.696.697 ; 358 ; 941.527.752 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 118 ; 72.451.710 ; 405 ; 209.160.883 ; 280 ; 207.259.329 ; 400 ; 33.233.941 ; 1.203 ; 522.105.863 ; 51 ; 168.367.987 ; 46 ; 207.129.340 ; 97 ; 375.497.327 ; 1.300 ; 897.603.190 ;;;;
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;;;; 12 ; 446.200.000 ; 12 ; 446.200.000 ; 12 ; 446.200.000 ;;; 12 ; 446.200.000 ; 24 ; 892.400.000 ;;;;
28;68.900.810;BANCO RENDIMENTO S.A.; 3 ; 396.951 ; 142 ; 9.678.871 ; 3.549 ; 75.552.844 ; 2.805 ; 176.542.931 ; 6.499 ; 262.171.597 ; 310 ; 332.767.985 ; 6.022 ; 255.075.208 ; 6.332 ; 587.843.193 ; 12.831 ; 850.014.791 ;;;;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 35 ; 156.469.966 ; 36 ; 19.170.014 ; 50 ; 135.793.675 ; 374 ; 169.233.764 ; 495 ; 480.667.419 ; 13 ; 103.303.414 ; 17 ; 207.287.887 ; 30 ; 310.591.301 ; 525 ; 791.258.720 ;;;;
30;62.232.889;BANCO DAYCOVAL S.A.; 99 ; 19.720.161 ; 430 ; 36.153.215 ; 476 ; 21.214.156 ; 2.978 ; 93.068.203 ; 3.983 ; 170.155.735 ; 256 ; 300.620.016 ; 670 ; 205.022.115 ; 926 ; 505.642.130 ; 4.909 ; 675.797.865 ;;;;
31;28.195.667;BANCO ABC BRASIL S.A.; 40 ; 21.489.726 ; 97 ; 9.251.452 ; 32 ; 25.197.718 ; 273 ; 21.823.183 ; 442 ; 77.762.079 ; 36 ; 414.298.132 ; 33 ; 115.736.565 ; 69 ; 530.034.697 ; 511 ; 607.796.775 ;;;;
32;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.; 4 ; 30.000.000 ; 3 ; 251.288 ; 5 ; 267.981.404 ; 7 ; 1.483.367 ; 19 ; 299.716.059 ; 2 ; 2.800.000 ; 8 ; 297.950.000 ; 10 ; 300.750.000 ; 29 ; 600.466.059 ;;;;
33;30.723.886;BANCO MODAL S.A.; 2 ; 168.817 ; 43 ; 6.460.580 ; 13 ; 212.357.651 ; 52 ; 2.278.665 ; 110 ; 221.265.712 ; 21 ; 84.576.259 ; 32 ; 285.806.217 ; 53 ; 370.382.476 ; 163 ; 591.648.188 ;;;;
34;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 98 ; 136.753.795 ; 119 ; 26.874.313 ; 217 ; 163.628.108 ; 9 ; 128.023.611 ; 48 ; 231.900.000 ; 57 ; 359.923.611 ; 274 ; 523.551.718 ;;;;
35;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 5.500.000 ; 2 ; 43.978 ; 19 ; 5.335.244 ; 32 ; 2.512.034 ; 54 ; 13.391.256 ; 39 ; 223.382.100 ; 57 ; 202.633.020 ; 96 ; 426.015.120 ; 150 ; 439.406.376 ;;;;
36;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 1 ; 10.000.000 ;;; 14 ; 36.632.581 ; 24 ; 10.379.808 ; 39 ; 57.012.390 ; 42 ; 168.357.409 ; 41 ; 192.338.778 ; 83 ; 360.696.187 ; 122 ; 417.708.576 ;;;;
37;13.059.145;BEXS BANCO DE C∂MBIO S/A; 13 ; 73.232.153 ; 131 ; 7.153.790 ; 132 ; 9.371.767 ; 342 ; 14.404.333 ; 618 ; 104.162.043 ; 273 ; 125.175.734 ; 257 ; 186.283.804 ; 530 ; 311.459.537 ; 1.148 ; 415.621.580 ;;;;
38;71.027.866;BANCO BONSUCESSO S.A.;;;;; 24 ; 151.936 ; 115 ; 1.450.052 ; 139 ; 1.601.987 ; 118 ; 205.134.053 ; 422 ; 204.045.129 ; 540 ; 409.179.182 ; 679 ; 410.781.170 ;;;;
39;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 22 ; 29.972.764 ;;; 35 ; 16.712.660 ; 69 ; 258.923.262 ; 126 ; 305.608.687 ; 4 ; 85.826.294 ; 2 ; 11.300.000 ; 6 ; 97.126.294 ; 132 ; 402.734.981 ;;;;
40;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 699 ; 90.381.245 ; 1.281 ; 77.520.653 ; 371 ; 41.608.206 ; 1.298 ; 22.796.045 ; 3.649 ; 232.306.148 ; 39 ; 54.397.492 ; 35 ; 85.212.253 ; 74 ; 139.609.745 ; 3.723 ; 371.915.893 ;;;;
41;15.114.366;BANCO BBM S/A; 32 ; 22.545.729 ;;; 12 ; 583.818 ; 36 ; 3.406.308 ; 80 ; 26.535.856 ; 12 ; 125.811.446 ; 16 ; 147.059.494 ; 28 ; 272.870.940 ; 108 ; 299.406.796 ;;;;
42;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 12 ; 3.831.520 ; 1 ; 41.704 ; 3 ; 12.935 ; 6 ; 72.928 ; 22 ; 3.959.087 ; 42 ; 132.650.000 ; 55 ; 150.740.000 ; 97 ; 283.390.000 ; 119 ; 287.349.087 ;;;;
43;62.144.175;BANCO PINE S.A.; 23 ; 81.159.788 ; 34 ; 19.468.081 ; 6 ; 8.889.305 ; 69 ; 10.199.388 ; 132 ; 119.716.562 ; 4 ; 9.001.094 ; 5 ; 157.000.000 ; 9 ; 166.001.094 ; 141 ; 285.717.656 ;;;;
44;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 192 ; 2.222.953 ; 2.243 ; 24.708.076 ; 2.435 ; 26.931.029 ; 634 ; 137.224.442 ; 151 ; 114.728.737 ; 785 ; 251.953.179 ; 3.220 ; 278.884.208 ;;;;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 31 ; 727.014 ; 479 ; 12.178.388 ; 549 ; 6.180.335 ; 1.566 ; 84.593.691 ; 2.625 ; 103.679.428 ; 2.735 ; 127.779.854 ; 88 ; 37.954.527 ; 2.823 ; 165.734.381 ; 5.448 ; 269.413.809 ;;;;
46;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;;;; 1.059 ; 18.153.774 ; 4.810 ; 81.700.506 ; 5.869 ; 99.854.280 ; 2.053 ; 108.879.566 ; 107 ; 45.895.221 ; 2.160 ; 154.774.786 ; 8.029 ; 254.629.066 ;;;;
