Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
25;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 3.045 ; 561.839.813 ; 5.081 ; 552.065.233 ; 50.465 ; 5.555.334.225 ; 71.960 ; 7.822.375.389 ; 130.551 ; 14.491.614.660 ; 14.310 ; 5.527.699.140 ; 46.006 ; 3.274.930.315 ; 60.316 ; 8.802.629.455 ; 190.867 ; 23.294.244.115 ;;
26;28.195.667;BANCO ABC BRASIL S.A.; 963 ; 740.471.591 ; 3.156 ; 779.856.015 ; 1.570 ; 1.848.804.754 ; 4.697 ; 1.968.508.526 ; 10.386 ; 5.337.640.886 ; 1.123 ; 7.222.419.574 ; 2.063 ; 6.903.453.504 ; 3.186 ; 14.125.873.078 ; 13.572 ; 19.463.513.964 ;;
27;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 61 ; 626.072.052 ; 22 ; 3.863.198 ; 220 ; 858.148.673 ; 392 ; 737.207.192 ; 695 ; 2.225.291.115 ; 666 ; 8.049.757.846 ; 707 ; 8.868.915.971 ; 1.373 ; 16.918.673.817 ; 2.068 ; 19.143.964.932 ;;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 774 ; 1.377.763.991 ; 1.643 ; 501.984.252 ; 713 ; 1.442.006.894 ; 1.543 ; 1.196.803.241 ; 4.673 ; 4.518.558.378 ; 957 ; 6.128.265.568 ; 1.105 ; 7.451.697.444 ; 2.062 ; 13.579.963.012 ; 6.735 ; 18.098.521.390 ;;
29;62.232.889;BANCO DAYCOVAL S.A.; 2.227 ; 596.248.787 ; 6.539 ; 1.230.575.374 ; 429.113 ; 3.472.204.487 ; 425.252 ; 3.506.473.503 ; 863.131 ; 8.805.502.151 ; 3.810 ; 4.493.902.875 ; 15.230 ; 3.681.550.174 ; 19.040 ; 8.175.453.049 ; 882.171 ; 16.980.955.200 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 507 ; 730.319.955 ; 1.978 ; 430.484.419 ; 230 ; 3.520.992.236 ; 1.976 ; 3.428.547.216 ; 4.691 ; 8.110.343.826 ; 474 ; 3.448.053.120 ; 385 ; 3.788.856.929 ; 859 ; 7.236.910.049 ; 5.550 ; 15.347.253.875 ;;
31;58.160.789;BANCO SAFRA S.A.; 2.426 ; 1.215.283.249 ; 4.635 ; 1.100.967.760 ; 205.216 ; 3.349.508.033 ; 168.632 ; 2.456.664.223 ; 380.909 ; 8.122.423.265 ; 2.733 ; 2.814.231.936 ; 2.935 ; 3.883.289.646 ; 5.668 ; 6.697.521.582 ; 386.577 ; 14.819.944.847 ;;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 31 ; 534.733.331 ; 60 ; 190.631.621 ; 176 ; 1.838.212.541 ; 1.069 ; 1.314.015.066 ; 1.336 ; 3.877.592.559 ; 178 ; 3.611.123.187 ; 241 ; 4.473.881.607 ; 419 ; 8.085.004.794 ; 1.755 ; 11.962.597.353 ;;
33;15.114.366;BANCO BOCOM BBM S.A.; 197 ; 103.891.271 ; 335 ; 223.900.977 ; 338 ; 1.255.717.560 ; 2.070 ; 607.405.190 ; 2.940 ; 2.190.914.998 ; 388 ; 4.017.379.264 ; 465 ; 4.093.358.773 ; 853 ; 8.110.738.037 ; 3.793 ; 10.301.653.035 ;;
34;68.900.810;BANCO RENDIMENTO S.A.; 74 ; 30.828.790 ; 1.220 ; 832.097.179 ; 644.260 ; 2.041.049.942 ; 33.469 ; 739.641.215 ; 679.023 ; 3.643.617.126 ; 11.963 ; 3.052.616.477 ; 62.577 ; 3.555.725.450 ; 74.540 ; 6.608.341.927 ; 753.563 ; 10.251.959.053 ;;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 6.809.356 ; 3.018.609.507 ; 7.852.319 ; 3.318.242.210 ; 14.661.675 ; 6.336.851.717 ; 8.610 ; 1.970.930.537 ; 8.583 ; 1.671.303.520 ; 17.193 ; 3.642.234.057 ; 14.678.868 ; 9.979.085.774 ;;
36;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 919 ; 3.052.551.624 ; 1.351 ; 4.048.294.623 ; 2.270 ; 7.100.846.247 ; 143 ; 1.473.644.863 ; 108 ; 443.677.784 ; 251 ; 1.917.322.647 ; 2.521 ; 9.018.168.894 ;;
37;58.616.418;BANCO FIBRA S.A.; 671 ; 634.639.006 ; 3.797 ; 1.296.728.462 ; 427 ; 284.616.964 ; 3.953 ; 210.821.926 ; 8.848 ; 2.426.806.358 ; 838 ; 3.494.772.228 ; 756 ; 2.879.909.972 ; 1.594 ; 6.374.682.200 ; 10.442 ; 8.801.488.558 ;;
38;71.027.866;BANCO BS2 S.A.; 3.229 ; 804.903.617 ; 11.824 ; 1.554.127.494 ; 64.967 ; 1.452.724.355 ; 84.558 ; 1.504.897.372 ; 164.578 ; 5.316.652.838 ; 415 ; 1.834.129.297 ; 348 ; 1.031.604.696 ; 763 ; 2.865.733.993 ; 165.341 ; 8.182.386.831 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 675 ; 810.127.500 ; 1.913 ; 904.081.270 ; 3.631 ; 1.553.182.852 ; 7.924 ; 1.035.785.483 ; 14.143 ; 4.303.177.105 ; 592 ; 1.263.474.920 ; 605 ; 1.737.344.885 ; 1.197 ; 3.000.819.805 ; 15.340 ; 7.303.996.910 ;;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 354 ; 961.410.388 ; 764 ; 140.840.107 ; 117.732 ; 486.101.103 ; 876.540 ; 1.899.060.760 ; 995.390 ; 3.487.412.358 ; 1.694 ; 1.418.066.868 ; 699 ; 820.653.409 ; 2.393 ; 2.238.720.277 ; 997.783 ; 5.726.132.635 ;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 235 ; 1.208.902.361 ; 92 ; 130.569.089 ; 418 ; 935.283.054 ; 785 ; 88.958.027 ; 1.530 ; 2.363.712.531 ; 338 ; 449.133.832 ; 580 ; 2.373.871.329 ; 918 ; 2.823.005.161 ; 2.448 ; 5.186.717.692 ;;
42;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 16 ; 198.600.909 ; -   ; -   ; 16 ; 198.600.909 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 24 ; 4.233.445.284 ;;
43;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 28 ; 12.501.754 ; 1.099 ; 720.080.791 ; 2.715 ; 1.307.308.058 ; 3.844 ; 2.063.890.603 ; 352 ; 1.208.772.137 ; 298 ; 662.340.649 ; 650 ; 1.871.112.786 ; 4.494 ; 3.935.003.389 ;;
44;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION; -   ; -   ; -   ; -   ; 171 ; 254.773.058 ; 359 ; 1.661.431.892 ; 530 ; 1.916.204.950 ; 115 ; 1.627.809.730 ; 32 ; 219.962.038 ; 147 ; 1.847.771.768 ; 677 ; 3.763.976.718 ;;
45;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 1.747 ; 1.427.098.683 ; 1.445 ; 1.485.458.904 ; 3.192 ; 2.912.557.587 ; 274 ; 360.281.833 ; 397 ; 302.029.698 ; 671 ; 662.311.531 ; 3.863 ; 3.574.869.118 ;;
46;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 256 ; 497.640.407 ; -   ; -   ; 311 ; 109.106.575 ; 13 ; 750.959 ; 580 ; 607.497.941 ; 25 ; 780.000.000 ; 56 ; 1.922.911.973 ; 81 ; 2.702.911.973 ; 661 ; 3.310.409.914 ;;
47;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 645 ; 113.834.218 ; 543 ; 37.587.072 ; 36.756 ; 1.374.693.120 ; 2.067 ; 155.314.157 ; 40.011 ; 1.681.428.567 ; 620 ; 136.648.965 ; 1.569 ; 1.432.270.349 ; 2.189 ; 1.568.919.314 ; 42.200 ; 3.250.347.881 ;;
48;62.144.175;BANCO PINE S.A.; 262 ; 280.665.648 ; 1.335 ; 813.634.398 ; 156 ; 218.100.258 ; 2.459 ; 355.420.343 ; 4.212 ; 1.667.820.647 ; 190 ; 1.049.490.569 ; 118 ; 351.098.175 ; 308 ; 1.400.588.744 ; 4.520 ; 3.068.409.391 ;;
49;00.360.305;CAIXA ECONOMICA FEDERAL; 987 ; 379.691.987 ; 771 ; 32.130.037 ; 65.892 ; 493.057.229 ; 28.151 ; 636.761.748 ; 95.801 ; 1.541.641.001 ; 1.367 ; 658.164.302 ; 1.469 ; 861.040.039 ; 2.836 ; 1.519.204.341 ; 98.637 ; 3.060.845.342 ;;
50;33.923.798;BANCO MASTER S/A; 657 ; 452.407.218 ; 1.437 ; 247.784.926 ; 24.122 ; 438.217.610 ; 3.203 ; 259.141.331 ; 29.419 ; 1.397.551.085 ; 168 ; 448.546.288 ; 248 ; 774.725.950 ; 416 ; 1.223.272.238 ; 29.835 ; 2.620.823.323 ;;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.588 ; 48.372.095 ; 14.661 ; 352.173.356 ; 18.177 ; 494.266.662 ; 40.773 ; 685.526.139 ; 75.199 ; 1.580.338.252 ; 4.271 ; 712.446.438 ; 1.067 ; 217.419.393 ; 5.338 ; 929.865.831 ; 80.537 ; 2.510.204.083 ;;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 36 ; 436.451.209 ; 66 ; 28.510.357 ; 23 ; 8.948.018 ; 104 ; 2.936.598 ; 229 ; 476.846.182 ; 70 ; 778.966.612 ; 103 ; 1.181.688.223 ; 173 ; 1.960.654.835 ; 402 ; 2.437.501.017 ;;
53;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 6 ; 577.186 ; 104 ; 5.096.617 ; 6.473 ; 704.722.822 ; 35.154 ; 944.692.304 ; 41.737 ; 1.655.088.929 ; 5.014 ; 349.842.126 ; 438 ; 105.762.850 ; 5.452 ; 455.604.976 ; 47.189 ; 2.110.693.905 ;;
54;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 7.689 ; 399.014.495 ; 9.606 ; 416.879.972 ; 7.421 ; 296.711.139 ; 4.024 ; 311.518.401 ; 28.740 ; 1.424.124.007 ; 164 ; 319.436.187 ; 71 ; 292.049.456 ; 235 ; 611.485.643 ; 28.975 ; 2.035.609.650 ;;
55;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 3.042 ; 630.024.542 ; 3.222 ; 269.000.396 ; 4.853 ; 159.055.313 ; 5.864 ; 151.965.687 ; 16.981 ; 1.210.045.938 ; 253 ; 204.337.142 ; 464 ; 563.841.404 ; 717 ; 768.178.546 ; 17.698 ; 1.978.224.484 ;;
