Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;78.632.767;BANCO OURINVEST S.A.; 1.064 ; 113.478.410 ; 2.735 ; 159.620.167 ; 19.914 ; 205.908.904 ; 9.236 ; 434.960.708 ; 32.949 ; 913.968.189 ; 791 ; 517.185.697 ; 13.298 ; 299.485.265 ; 14.089 ; 816.670.962 ; 47.038 ; 1.730.639.150 ;
27;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 133 ; 349.500.831 ; 714 ; 70.204.034 ; 338 ; 129.462.418 ; 443 ; 99.996.085 ; 1.628 ; 649.163.367 ; 77 ; 367.081.158 ; 92 ; 687.152.704 ; 169 ; 1.054.233.862 ; 1.797 ; 1.703.397.230 ;
28;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 15 ; 55.864.585 ; 3 ; 896.260 ; 16 ; 283.903.677 ; 135 ; 345.786.589 ; 169 ; 686.451.111 ; 28 ; 356.760.540 ; 48 ; 526.263.144 ; 76 ; 883.023.684 ; 245 ; 1.569.474.795 ;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 6 ; 19.698.220 ; 2 ; 660.000 ; 28 ; 5.343.299 ; 41 ; 31.569.830 ; 77 ; 57.271.350 ; 90 ; 721.591.262 ; 86 ; 708.631.244 ; 176 ; 1.430.222.506 ; 253 ; 1.487.493.855 ;
30;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 145 ; 474.951.379 ; 182 ; 617.807.364 ; 327 ; 1.092.758.743 ; 17 ; 121.697.799 ; 17 ; 121.702.865 ; 34 ; 243.400.664 ; 361 ; 1.336.159.407 ;
31;58.160.789;BANCO SAFRA S.A.; 356 ; 85.066.309 ; 1.112 ; 130.101.726 ; 1.032 ; 197.887.793 ; 2.121 ; 356.833.735 ; 4.621 ; 769.889.563 ; 319 ; 334.994.954 ; 313 ; 128.209.780 ; 632 ; 463.204.734 ; 5.253 ; 1.233.094.297 ;
32;62.232.889;BANCO DAYCOVAL S.A.; 527 ; 98.979.589 ; 1.669 ; 139.720.007 ; 13.542 ; 212.219.644 ; 3.311 ; 176.468.770 ; 19.049 ; 627.388.011 ; 429 ; 263.605.558 ; 1.444 ; 231.236.019 ; 1.873 ; 494.841.577 ; 20.922 ; 1.122.229.588 ;
33;68.900.810;BANCO RENDIMENTO S.A.; 50 ; 4.282.257 ; 242 ; 43.919.841 ; 116.200 ; 277.522.598 ; 2.274 ; 85.461.196 ; 118.766 ; 411.185.892 ; 1.380 ; 266.283.326 ; 9.165 ; 417.326.334 ; 10.545 ; 683.609.660 ; 129.311 ; 1.094.795.552 ;
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 76 ; 86.387.473 ; 199 ; 45.646.907 ; 85 ; 44.686.705 ; 123 ; 102.852.613 ; 483 ; 279.573.698 ; 84 ; 344.513.930 ; 106 ; 348.439.663 ; 190 ; 692.953.594 ; 673 ; 972.527.292 ;
35;58.616.418;BANCO FIBRA S.A.; 127 ; 150.360.602 ; 795 ; 113.322.177 ; 39 ; 89.239.377 ; 248 ; 10.668.105 ; 1.209 ; 363.590.261 ; 76 ; 215.271.154 ; 85 ; 324.276.697 ; 161 ; 539.547.851 ; 1.370 ; 903.138.112 ;
36;10.690.848;BANCO DA CHINA BRASIL S.A.; 15 ; 349.789.065 ; 28 ; 12.376.516 ; 29 ; 5.209.990 ; 92 ; 25.638.956 ; 164 ; 393.014.528 ; 52 ; 56.382.300 ; 48 ; 373.311.472 ; 100 ; 429.693.772 ; 264 ; 822.708.300 ;
37;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 5.177 ; 190.678.936 ; 432.829 ; 264.761.934 ; 438.006 ; 455.440.870 ; 983 ; 197.312.493 ; 964 ; 123.122.506 ; 1.947 ; 320.434.999 ; 439.953 ; 775.875.869 ;
38;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 3 ; 67.934.420 ; 12 ; 818.561 ; 2 ; 26.868 ; 259 ; 158.886.963 ; 276 ; 227.666.813 ; 23 ; 309.522.356 ; 11 ; 209.412.036 ; 34 ; 518.934.392 ; 310 ; 746.601.205 ;
39;71.027.866;BANCO BS2 S.A.; 370 ; 146.965.747 ; 1.477 ; 70.377.200 ; 8.141 ; 118.745.486 ; 13.603 ; 164.364.751 ; 23.591 ; 500.453.184 ; 44 ; 60.794.983 ; 54 ; 105.600.783 ; 98 ; 166.395.766 ; 23.689 ; 666.848.950 ;
40;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 85 ; 93.451.497 ; 328 ; 47.536.220 ; 24 ; 80.833.308 ; 211 ; 43.710.572 ; 648 ; 265.531.596 ; 41 ; 120.123.811 ; 24 ; 135.672.356 ; 65 ; 255.796.166 ; 713 ; 521.327.763 ;
41;13.059.145;BEXS BANCO DE CÂMBIO S/A; 48 ; 100.402.729 ; 232 ; 9.693.855 ; 12.258 ; 33.723.848 ; 70.613 ; 90.798.947 ; 83.151 ; 234.619.378 ; 335 ; 77.728.495 ; 35 ; 111.523.901 ; 370 ; 189.252.396 ; 83.521 ; 423.871.774 ;
42;00.997.185;BANCO B3 S.A.;;;;; 201 ; 146.022.019 ; 185 ; 161.151.304 ; 386 ; 307.173.323 ; 37 ; 43.901.535 ; 44 ; 28.820.811 ; 81 ; 72.722.345 ; 467 ; 379.895.668 ;
43;15.114.366;BANCO BOCOM BBM S.A.; 25 ; 34.219.017 ; 80 ; 11.020.658 ; 38 ; 75.089.448 ; 220 ; 48.036.876 ; 363 ; 168.365.999 ; 31 ; 99.249.544 ; 32 ; 85.352.043 ; 63 ; 184.601.588 ; 426 ; 352.967.587 ;
44;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 10.000.000 ; 8 ; 1.158.862 ; 79 ; 33.300.392 ; 398 ; 111.651.241 ; 486 ; 156.110.495 ; 77 ; 93.000.794 ; 16 ; 63.550.000 ; 93 ; 156.550.794 ; 579 ; 312.661.289 ;
45;00.360.305;CAIXA ECONOMICA FEDERAL; 122 ; 40.635.449 ; 86 ; 2.203.517 ; 7.756 ; 47.464.134 ; 909 ; 71.035.255 ; 8.873 ; 161.338.354 ; 167 ; 66.935.635 ; 196 ; 81.117.240 ; 363 ; 148.052.874 ; 9.236 ; 309.391.228 ;
46;30.723.886;BANCO MODAL S.A.; 3 ; 107.300 ; 8 ; 639.887 ; 140 ; 107.461.998 ; 159 ; 71.502.160 ; 310 ; 179.711.346 ; 10 ; 25.106.243 ; 18 ; 73.756.073 ; 28 ; 98.862.316 ; 338 ; 278.573.661 ;
47;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 83 ; 11.011.660 ; 76 ; 2.582.025 ; 4.122 ; 122.196.269 ; 191 ; 6.897.895 ; 4.472 ; 142.687.848 ; 72 ; 5.758.797 ; 190 ; 129.486.722 ; 262 ; 135.245.519 ; 4.734 ; 277.933.367 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 204 ; 6.328.786 ; 1.813 ; 40.570.942 ; 1.988 ; 29.705.195 ; 4.388 ; 83.274.870 ; 8.393 ; 159.879.793 ; 533 ; 99.019.008 ; 82 ; 11.005.763 ; 615 ; 110.024.771 ; 9.008 ; 269.904.564 ;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 169 ; 4.821.647 ; 971 ; 30.981.711 ; 4.079 ; 28.813.727 ; 3.448 ; 62.286.324 ; 8.667 ; 126.903.409 ; 2.129 ; 82.773.306 ; 110 ; 23.114.171 ; 2.239 ; 105.887.476 ; 10.906 ; 232.790.885 ;
