Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em JUNHO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
54;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 135 ; 72.604.038 ; 115 ; 12.494.422 ; 250 ; 85.098.460 ; 5 ; 4.200.000 ; 55 ; 63.800.000 ; 60 ; 68.000.000 ; 310 ; 153.098.460 ;;;;
55;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 15 ; 354.768 ; 109 ; 2.045.764 ; 328 ; 2.448.402 ; 1.345 ; 20.363.634 ; 1.797 ; 25.212.568 ; 1.838 ; 72.592.333 ; 344 ; 53.074.683 ; 2.182 ; 125.667.016 ; 3.979 ; 150.879.584 ;;;;
56;03.609.817;BANCO CARGILL S.A.; 6 ; 41.195.762 ; 6 ; 30.895.637 ;;; 13 ; 7.036.675 ; 25 ; 79.128.073 ; 5 ; 33.000.000 ; 4 ; 36.000.000 ; 9 ; 69.000.000 ; 34 ; 148.128.073 ;;;;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 55 ; 1.207.319 ; 944 ; 23.954.057 ; 680 ; 12.403.015 ; 2.084 ; 41.534.565 ; 3.763 ; 79.098.956 ; 1.040 ; 50.826.432 ; 2 ; 145.224 ; 1.042 ; 50.971.656 ; 4.805 ; 130.070.612 ;;;;
58;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 2 ; 100.859 ; 82 ; 1.131.132 ; 200 ; 1.360.651 ; 1.015 ; 10.305.646 ; 1.299 ; 12.898.289 ; 980 ; 59.541.936 ; 83 ; 49.530.148 ; 1.063 ; 109.072.084 ; 2.362 ; 121.970.373 ;;;;
59;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO;;; 1 ; 153 ; 114 ; 11.233.653 ; 74 ; 13.021.343 ; 189 ; 24.255.149 ; 29 ; 47.858.909 ; 28 ; 45.850.831 ; 57 ; 93.709.739 ; 246 ; 117.964.888 ;;;;
60;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 89 ; 2.548.780 ; 1.073 ; 29.075.351 ; 890 ; 8.677.339 ; 2.908 ; 23.218.142 ; 4.960 ; 63.519.612 ; 583 ; 45.406.397 ; 104 ; 4.247.650 ; 687 ; 49.654.047 ; 5.647 ; 113.173.659 ;;;;
61;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 6 ; 65.338 ; 28 ; 264.238 ; 445 ; 13.872.224 ; 983 ; 52.630.092 ; 1.462 ; 66.831.892 ; 815 ; 42.202.009 ; 355 ; 3.039.822 ; 1.170 ; 45.241.831 ; 2.632 ; 112.073.723 ;;;;
62;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 7 ; 151.216 ; 642 ; 20.846.901 ; 176 ; 1.997.443 ; 778 ; 25.082.822 ; 1.603 ; 48.078.382 ; 1.318 ; 49.806.517 ; 155 ; 6.034.233 ; 1.473 ; 55.840.750 ; 3.076 ; 103.919.132 ;;;;
63;92.894.922;BANCO ORIGINAL S.A.; 6 ; 13.941.266 ; 151 ; 22.204.439 ; 5 ; 18.133.099 ; 134 ; 11.418.500 ; 296 ; 65.697.305 ; 11 ; 18.846.865 ; 4 ; 18.000.315 ; 15 ; 36.847.180 ; 311 ; 102.544.485 ;;;;
