Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2019;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
36;13.059.145;BEXS BANCO DE CÂMBIO S/A; 14 ; 86.106.608 ; 39 ; 1.761.178 ; 181 ; 16.778.403 ; 466 ; 158.390.758 ; 700 ; 263.036.947 ; 106 ; 152.627.716 ; 50 ; 95.497.045 ; 156 ; 248.124.761 ; 856 ; 511.161.708 
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 59 ; 99.157.492 ; 238 ; 16.653.683 ; 10 ; 4.597.067 ; 218 ; 95.558.607 ; 525 ; 215.966.849 ; 27 ; 100.940.178 ; 23 ; 182.489.447 ; 50 ; 283.429.625 ; 575 ; 499.396.474 
38;30.723.886;BANCO MODAL S.A.; 11 ; 6.522.620 ; 64 ; 7.106.991 ; 150 ; 113.313.981 ; 173 ; 144.120.805 ; 398 ; 271.064.396 ; 36 ; 118.115.230 ; 14 ; 92.787.500 ; 50 ; 210.902.730 ; 448 ; 481.967.126 
39;71.027.866;BANCO BS2 S.A.; 58 ; 7.817.011 ; 404 ; 23.487.800 ; 756 ; 47.493.654 ; 1.315 ; 50.132.286 ; 2.533 ; 128.930.751 ; 187 ; 155.990.015 ; 2.428 ; 131.248.947 ; 2.615 ; 287.238.962 ; 5.148 ; 416.169.713 
40;58.616.418;BANCO FIBRA S.A.; 75 ; 92.706.827 ; 447 ; 52.116.883 ; 41 ; 34.292.139 ; 205 ; 13.341.877 ; 768 ; 192.457.728 ; 23 ; 75.019.989 ; 29 ; 142.702.508 ; 52 ; 217.722.497 ; 820 ; 410.180.225 
41;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;;; 18 ; 9.142.832 ; 15 ; 91.797.461 ; 18 ; 21.397.763 ; 51 ; 122.338.056 ; 20 ; 85.186.889 ; 23 ; 149.495.236 ; 43 ; 234.682.125 ; 94 ; 357.020.182 
42;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 7 ; 614.600 ; 23 ; 2.102.693 ; 187 ; 16.342.797 ; 570 ; 165.682.094 ; 787 ; 184.742.185 ; 87 ; 154.978.421 ; 13 ; 4.360.966 ; 100 ; 159.339.387 ; 887 ; 344.081.571 
43;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 39 ; 9.640.298 ; 182 ; 38.114.982 ; 89 ; 52.333.807 ; 130 ; 75.655.490 ; 440 ; 175.744.576 ; 101 ; 117.773.158 ; 87 ; 33.129.992 ; 188 ; 150.903.150 ; 628 ; 326.647.727 
44;10.690.848;BANCO DA CHINA BRASIL S.A.; 1 ; 110.000.000 ; 15 ; 1.827.306 ; 16 ; 8.075.006 ; 64 ; 43.260.420 ; 96 ; 163.162.732 ; 34 ; 44.911.811 ; 13 ; 117.933.325 ; 47 ; 162.845.136 ; 143 ; 326.007.868 
45;00.997.185;BANCO B3 S.A.;;;;; 163 ; 84.575.467 ; 140 ; 137.656.920 ; 303 ; 222.232.387 ; 32 ; 69.777.000 ; 29 ; 16.674.670 ; 61 ; 86.451.670 ; 364 ; 308.684.057 
46;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 157 ; 3.182.458 ; 814 ; 22.203.028 ; 1.806 ; 19.900.879 ; 3.203 ; 56.672.521 ; 5.980 ; 101.958.886 ; 2.918 ; 92.638.142 ; 263 ; 36.679.448 ; 3.181 ; 129.317.590 ; 9.161 ; 231.276.476 
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 700 ; 44.273.066 ; 1.159 ; 55.993.772 ; 438 ; 7.774.306 ; 1.245 ; 47.458.211 ; 3.542 ; 155.499.354 ; 47 ; 62.432.226 ; 22 ; 11.670.600 ; 69 ; 74.102.826 ; 3.611 ; 229.602.181 
48;33.923.798;BANCO MÁXIMA S.A.; 39 ; 18.555.065 ; 118 ; 3.600.287 ; 542 ; 15.862.789 ; 10.369 ; 97.205.230 ; 11.068 ; 135.223.371 ; 52 ; 77.170.346 ; 12 ; 7.957.765 ; 64 ; 85.128.112 ; 11.132 ; 220.351.483 
49;03.609.817;BANCO CARGILL S.A.; 24 ; 4.662.491 ; 4 ; 2.388.593 ; 2 ; 162.647 ; 23 ; 4.617.357 ; 53 ; 11.831.088 ; 1 ; 50.000.000 ; 3 ; 130.000.000 ; 4 ; 180.000.000 ; 57 ; 191.831.088 
