Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Março/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
36;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 1.320 ; 231.014.043 ; 5.972 ; 220.650.861 ; 16.385 ; 575.281.981 ; 15.617 ; 760.833.976 ; 39.294 ; 1.787.780.861 ; 6.244 ; 1.042.003.174 ; 10.775 ; 846.917.373 ; 17.019 ; 1.888.920.547 ; 56.313 ; 3.676.701.408 ;
37;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 314 ; 212.782.489 ; 1.907 ; 331.530.431 ; 183 ; 87.808.287 ; 1.785 ; 319.499.007 ; 4.189 ; 951.620.214 ; 358 ; 1.644.686.518 ; 454 ; 1.057.965.916 ; 812 ; 2.702.652.434 ; 5.001 ; 3.654.272.648 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 474 ; 466.804.227 ; 1.938 ; 198.874.869 ; 912 ; 377.952.377 ; 1.225 ; 478.374.919 ; 4.549 ; 1.522.006.392 ; 235 ; 940.741.328 ; 241 ; 1.147.333.269 ; 476 ; 2.088.074.597 ; 5.025 ; 3.610.080.989 ;
39;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 433 ; 721.040.227 ; 1.862 ; 106.179.685 ; 53.879 ; 168.263.151 ; 88.847 ; 780.702.231 ; 145.021 ; 1.776.185.294 ; 2.876 ; 745.883.008 ; 2.942 ; 759.876.952 ; 5.818 ; 1.505.759.960 ; 150.839 ; 3.281.945.254 ;
40;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 172 ; 8.946.126 ; 1.553 ; 72.968.321 ; 545.760 ; 962.508.803 ; 15.483 ; 309.594.049 ; 562.968 ; 1.354.017.299 ; 3.879 ; 603.465.332 ; 14.611 ; 1.213.848.940 ; 18.490 ; 1.817.314.272 ; 581.458 ; 3.171.331.571 ;
41;33.987.793;BANCO DE INVESTIMENTOS UBS (BRASIL) S.A.;UBS (BRASIL) - PRUDENCIAL; -   ; -   ; -   ; -   ; 143 ; 709.458.571 ; 548 ; 1.069.161.092 ; 691 ; 1.778.619.663 ; 57 ; 750.556.297 ; 49 ; 455.548.385 ; 106 ; 1.206.104.682 ; 797 ; 2.984.724.345 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 1 ; 15.000.000 ; 20 ; 12.365.369 ; 459 ; 423.790.987 ; 802 ; 472.406.162 ; 1.282 ; 923.562.518 ; 190 ; 896.248.213 ; 230 ; 803.200.000 ; 420 ; 1.699.448.213 ; 1.702 ; 2.623.010.731 ;
43;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 542 ; 793.003.308 ; 482 ; 812.567.548 ; 1.024 ; 1.605.570.856 ; 108 ; 410.433.231 ; 130 ; 390.865.262 ; 238 ; 801.298.493 ; 1.262 ; 2.406.869.349 ;
44;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 28 ; 2.092.395 ; 98 ; 5.960.501 ; 1.181 ; 196.935.062 ; 1.822 ; 776.091.975 ; 3.129 ; 981.079.933 ; 194 ; 938.785.084 ; 63 ; 361.015.683 ; 257 ; 1.299.800.767 ; 3.386 ; 2.280.880.700 ;
45;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 122 ; 218.409.248 ; 1.600 ; 307.948.406 ; 90 ; 60.192.302 ; 1.390 ; 118.219.114 ; 3.202 ; 704.769.070 ; 78 ; 482.452.304 ; 47 ; 343.840.250 ; 125 ; 826.292.554 ; 3.327 ; 1.531.061.624 ;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 1.546 ; 446.528.069 ; 2.698 ; 176.329.001 ; 1.007 ; 132.207.992 ; 1.295 ; 59.732.936 ; 6.546 ; 814.797.998 ; 112 ; 140.228.009 ; 256 ; 482.547.731 ; 368 ; 622.775.740 ; 6.914 ; 1.437.573.738 ;
47;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 285 ; 24.729.538 ; 204 ; 15.447.566 ; 15.421 ; 589.730.666 ; 875 ; 40.000.699 ; 16.785 ; 669.908.469 ; 299 ; 90.520.765 ; 702 ; 649.598.989 ; 1.001 ; 740.119.754 ; 17.786 ; 1.410.028.223 ;
