Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Dez/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;49.336.860;ING BANK N.V.; 326 ; 1.540.197.132 ; 76 ; 89.354.354 ; 148 ; 497.731.418 ; 866 ; 608.003.392 ; 1.416 ; 2.735.286.295 ; 204 ; 3.711.395.512 ; 246 ; 5.106.733.081 ; 450 ; 8.818.128.593 ; 1.866 ; 11.553.414.888 ;
26;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 99 ; 651.777.347 ; 6 ; 15.762.372 ; 398 ; 835.659.225 ; 578 ; 256.340.692 ; 1.081 ; 1.759.539.636 ; 713 ; 4.000.789.836 ; 792 ; 5.224.522.226 ; 1.505 ; 9.225.312.062 ; 2.586 ; 10.984.851.698 ;
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 126 ; 244.958.903 ; 319 ; 5.056.938.345 ; 445 ; 5.301.897.248 ; 281 ; 5.045.399.458 ; 66 ; 232.522.720 ; 347 ; 5.277.922.178 ; 792 ; 10.579.819.426 ;
28;71.027.866;BANCO BONSUCESSO S.A.; 221 ; 23.851.421 ; 213 ; 14.688.437 ; 988 ; 408.473.846 ; 2.544 ; 196.337.388 ; 3.966 ; 643.351.091 ; 2.683 ; 4.716.478.602 ; 6.484 ; 4.931.359.067 ; 9.167 ; 9.647.837.669 ; 13.133 ; 10.291.188.760 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 786 ; 1.993.941.120 ; 228 ; 175.582.857 ; 983 ; 2.127.783.835 ; 2.679 ; 1.846.528.347 ; 4.676 ; 6.143.836.160 ; 177 ; 682.993.561 ; 268 ; 2.896.453.239 ; 445 ; 3.579.446.800 ; 5.121 ; 9.723.282.960 ;
30;68.900.810;BANCO RENDIMENTO S.A.; 196 ; 15.314.044 ; 754 ; 187.534.318 ; 193.256 ; 1.864.587.149 ; 16.615 ; 1.112.950.404 ; 210.821 ; 3.180.385.914 ; 4.913 ; 2.859.925.577 ; 105.206 ; 3.487.000.237 ; 110.119 ; 6.346.925.813 ; 320.940 ; 9.527.311.727 ;
31;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 1.014 ; 42.173.014 ; 10.266 ; 470.049.628 ; 6.036 ; 781.363.776 ; 20.261 ; 795.486.993 ; 37.577 ; 2.089.073.411 ; 14.031 ; 3.823.718.635 ; 96.254 ; 3.385.534.647 ; 110.285 ; 7.209.253.282 ; 147.862 ; 9.298.326.693 ;
32;78.632.767;BANCO OURINVEST S.A.; 590 ; 219.523.782 ; 4.213 ; 172.352.447 ; 6.495 ; 1.446.605.494 ; 8.453 ; 458.296.661 ; 19.751 ; 2.296.778.385 ; 3.650 ; 2.538.597.117 ; 87.624 ; 3.557.782.112 ; 91.274 ; 6.096.379.229 ; 111.025 ; 8.393.157.614 ;
33;62.232.889;BANCO DAYCOVAL S.A.; 3.094 ; 463.026.683 ; 4.445 ; 295.576.496 ; 6.067 ; 422.831.251 ; 18.799 ; 1.091.909.168 ; 32.405 ; 2.273.343.597 ; 5.136 ; 3.087.878.576 ; 17.369 ; 2.614.853.522 ; 22.505 ; 5.702.732.098 ; 54.910 ; 7.976.075.695 ;
34;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 1.051 ; 397.016.871 ; 849 ; 157.024.796 ; 447 ; 1.730.527.885 ; 2.238 ; 787.461.981 ; 4.585 ; 3.072.031.533 ; 266 ; 1.245.226.742 ; 338 ; 2.413.257.838 ; 604 ; 3.658.484.580 ; 5.189 ; 6.730.516.114 ;
35;28.195.667;BANCO ABC BRASIL S.A.; 884 ; 345.073.794 ; 1.461 ; 140.046.563 ; 318 ; 1.243.822.984 ; 2.827 ; 878.057.630 ; 5.490 ; 2.607.000.971 ; 467 ; 1.959.458.582 ; 516 ; 2.076.756.725 ; 983 ; 4.036.215.307 ; 6.473 ; 6.643.216.278 ;
36;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 506 ; 429.077.644 ; 1.520 ; 196.580.067 ; 696 ; 917.315.465 ; 880 ; 541.877.123 ; 3.602 ; 2.084.850.298 ; 1.070 ; 1.879.800.963 ; 1.102 ; 2.486.131.048 ; 2.172 ; 4.365.932.011 ; 5.774 ; 6.450.782.310 ;
37;13.059.145;BEXS BANCO DE CÂMBIO S/A; 401 ; 1.402.195.945 ; 1.205 ; 35.228.181 ; 1.968 ; 362.130.437 ; 5.036 ; 844.610.515 ; 8.610 ; 2.644.165.078 ; 2.619 ; 949.285.501 ; 2.910 ; 1.834.229.556 ; 5.529 ; 2.783.515.057 ; 14.139 ; 5.427.680.135 ;
38;10.690.848;BANCO DA CHINA BRASIL S.A.; 99 ; 491.331.286 ; 114 ; 19.841.509 ; 159 ; 1.505.564.802 ; 556 ; 1.217.811.551 ; 928 ; 3.234.549.148 ; 223 ; 384.938.250 ; 247 ; 1.094.144.140 ; 470 ; 1.479.082.390 ; 1.398 ; 4.713.631.538 ;
39;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 33 ; 160.864.238 ; 790 ; 186.083.173 ; 110 ; 1.856.743.949 ; 246 ; 1.673.310.406 ; 1.179 ; 3.877.001.767 ; 251 ; 188.631.063 ; 102 ; 353.689.368 ; 353 ; 542.320.431 ; 1.532 ; 4.419.322.198 ;
40;61.146.577;BANCO BARCLAYS S.A.;;; 1 ; 39.012.310 ; 244 ; 726.425.434 ; 295 ; 1.039.102.352 ; 540 ; 1.804.540.096 ; 226 ; 1.022.675.532 ; 237 ; 679.096.143 ; 463 ; 1.701.771.675 ; 1.003 ; 3.506.311.771 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 363 ; 554.214.554 ; 322 ; 278.253.262 ; 125 ; 659.998.196 ; 1.056 ; 724.082.663 ; 1.866 ; 2.216.548.675 ; 49 ; 382.992.469 ; 86 ; 759.988.662 ; 135 ; 1.142.981.132 ; 2.001 ; 3.359.529.807 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 334.848 ; 1.355 ; 828.039.095 ; 2.185 ; 487.125.820 ; 3.541 ; 1.315.499.763 ; 182 ; 822.016.829 ; 496 ; 1.111.736.679 ; 678 ; 1.933.753.508 ; 4.219 ; 3.249.253.271 ;
43;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 233 ; 79.533.350 ; 1.018 ; 111.627.122 ; 876 ; 1.300.892.372 ; 924 ; 944.745.830 ; 3.051 ; 2.436.798.674 ; 700 ; 201.359.246 ; 401 ; 525.941.884 ; 1.101 ; 727.301.130 ; 4.152 ; 3.164.099.804 ;
44;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 10.558 ; 807.592.089 ; 11.562 ; 510.869.296 ; 4.265 ; 273.622.925 ; 13.489 ; 367.987.413 ; 39.874 ; 1.960.071.723 ; 332 ; 362.243.350 ; 390 ; 558.873.768 ; 722 ; 921.117.118 ; 40.596 ; 2.881.188.841 ;
45;58.616.418;BANCO FIBRA S.A.; 1.381 ; 313.522.050 ; 4.254 ; 350.892.432 ; 549 ; 373.626.449 ; 2.662 ; 681.923.605 ; 8.846 ; 1.719.964.536 ; 158 ; 667.666.113 ; 92 ; 308.336.593 ; 250 ; 976.002.706 ; 9.096 ; 2.695.967.242 ;
46;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 1.129 ; 26.087.723 ; 6.477 ; 147.709.914 ; 13.915 ; 155.991.325 ; 24.958 ; 577.486.873 ; 46.479 ; 907.275.834 ; 33.437 ; 1.074.180.066 ; 3.017 ; 531.025.221 ; 36.454 ; 1.605.205.287 ; 82.933 ; 2.512.481.120 ;
47;03.609.817;BANCO CARGILL S.A.; 205 ; 769.536.214 ; 23 ; 39.493.448 ; 61 ; 250.602.830 ; 253 ; 195.538.873 ; 542 ; 1.255.171.364 ; 17 ; 135.889.716 ; 54 ; 1.043.500.000 ; 71 ; 1.179.389.716 ; 613 ; 2.434.561.080 ;
48;30.723.886;BANCO MODAL S.A.; 81 ; 27.457.135 ; 502 ; 44.774.128 ; 1.002 ; 976.149.961 ; 973 ; 178.493.682 ; 2.558 ; 1.226.874.905 ; 49 ; 77.749.095 ; 103 ; 852.239.476 ; 152 ; 929.988.572 ; 2.710 ; 2.156.863.477 ;
49;33.923.798;BANCO MÁXIMA S.A.; 287 ; 4.384.075 ; 1.226 ; 38.483.653 ; 375 ; 17.699.599 ; 866 ; 15.597.015 ; 2.754 ; 76.164.342 ; 1.126 ; 1.054.998.116 ; 1.972 ; 1.024.566.213 ; 3.098 ; 2.079.564.329 ; 5.852 ; 2.155.728.671 ;
50;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 920 ; 444.157.866 ; 897 ; 605.673.212 ; 1.817 ; 1.049.831.078 ; 347 ; 434.618.508 ; 273 ; 273.109.745 ; 620 ; 707.728.254 ; 2.437 ; 1.757.559.331 ;
51;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 202 ; 16.945.041 ; 2.326 ; 91.970.539 ; 991 ; 334.606.983 ; 4.837 ; 276.167.341 ; 8.356 ; 719.689.905 ; 3.236 ; 505.522.033 ; 8.933 ; 482.859.425 ; 12.169 ; 988.381.458 ; 20.525 ; 1.708.071.362 ;
