Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em setembro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 8 ; 94.989.926 ; 11 ; 32.168.798 ; 24 ; 294.592.943 ; 45 ; 24.054.887 ; 88 ; 445.806.554 ; 58 ; 526.136.165 ; 71 ; 872.227.346 ; 129 ; 1.398.363.511 ; 217 ; 1.844.170.065 ;
30;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 518 ; 58.490.922 ; 2.579 ; 92.114.607 ; 7.453 ; 93.739.965 ; 5.279 ; 477.127.838 ; 15.829 ; 721.473.332 ; 1.840 ; 756.841.119 ; 3.446 ; 315.638.046 ; 5.286 ; 1.072.479.165 ; 21.115 ; 1.793.952.497 ;
31;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 30 ; 16.612.860 ; 152 ; 48.658.157 ; 50 ; 97.735.583 ; 341 ; 316.255.807 ; 573 ; 479.262.407 ; 133 ; 779.109.188 ; 121 ; 511.121.729 ; 254 ; 1.290.230.917 ; 827 ; 1.769.493.324 ;
32;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 409 ; 192.020.372 ; 1.377 ; 262.464.587 ; 60.236 ; 311.750.808 ; 44.517 ; 172.495.152 ; 106.539 ; 938.730.919 ; 296 ; 348.474.601 ; 812 ; 359.537.024 ; 1.108 ; 708.011.625 ; 107.647 ; 1.646.742.544 ;
33;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; 1 ; 2.184.000 ; -   ; -   ; 203 ; 210.091.631 ; 408 ; 119.887.356 ; 612 ; 332.162.987 ; 102 ; 588.422.379 ; 131 ; 659.284.000 ; 233 ; 1.247.706.379 ; 845 ; 1.579.869.366 ;
34;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 1 ; 5.000.000 ; 1 ; 3.885.000 ; 19 ; 402.891.850 ; 88 ; 500.528.180 ; 109 ; 912.305.030 ; 10 ; 333.436.449 ; 5 ; 252.922.870 ; 15 ; 586.359.319 ; 124 ; 1.498.664.349 ;
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 145 ; 25.831.927 ; 616 ; 143.257.334 ; 298 ; 102.276.086 ; 395 ; 128.791.294 ; 1.454 ; 400.156.641 ; 119 ; 469.025.778 ; 113 ; 334.499.472 ; 232 ; 803.525.250 ; 1.686 ; 1.203.681.891 ;
36;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 226 ; 90.867.906 ; 1.104 ; 65.969.903 ; 74.354 ; 100.412.839 ; 55.707 ; 329.984.656 ; 131.391 ; 587.235.304 ; 1.462 ; 378.730.839 ; 1.448 ; 163.548.063 ; 2.910 ; 542.278.902 ; 134.301 ; 1.129.514.206 ;
37;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 128 ; 2.557.852 ; 882 ; 27.839.957 ; 126.356 ; 304.155.922 ; 5.091 ; 110.288.736 ; 132.457 ; 444.842.467 ; 1.254 ; 187.350.705 ; 5.247 ; 363.172.062 ; 6.501 ; 550.522.767 ; 138.958 ; 995.365.234 ;
38;10.690.848;BANCO DA CHINA BRASIL S.A.;BANK OF CHINA (BRASIL) - PRUDENCIAL; 19 ; 32.930.849 ; 10 ; 3.537.307 ; 128 ; 191.578.335 ; 70 ; 12.088.947 ; 227 ; 240.135.438 ; 78 ; 250.171.067 ; 95 ; 458.963.458 ; 173 ; 709.134.525 ; 400 ; 949.269.963 ;
