Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em SETEMBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
25;68.900.810;BANCO RENDIMENTO S.A.; 19 ; 2.866.339 ; 138 ; 17.074.491 ; 3.936 ; 41.455.368 ; 2.883 ; 139.474.032 ; 6.976 ; 200.870.229 ; 361 ; 492.407.690 ; 7.144 ; 318.112.653 ; 7.505 ; 810.520.343 ; 14.481 ; 1.011.390.571 ;;;;
26;62.232.889;BANCO DAYCOVAL S.A.; 255 ; 39.411.637 ; 487 ; 50.035.443 ; 562 ; 46.506.809 ; 3.836 ; 124.411.200 ; 5.140 ; 260.365.089 ; 345 ; 400.550.875 ; 1.204 ; 343.988.365 ; 1.549 ; 744.539.240 ; 6.689 ; 1.004.904.329 ;;;;
27;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 35.100.000 ; 13 ; 402.520.000 ; 14 ; 437.620.000 ; 13 ; 402.520.000 ; 1 ; 35.100.000 ; 14 ; 437.620.000 ; 28 ; 875.240.000 ;;;;
28;78.632.767;BANCO OURINVEST S.A.;;; 35 ; 3.907.676 ; 199 ; 4.853.786 ; 684 ; 13.687.598 ; 918 ; 22.449.060 ; 322 ; 406.655.013 ; 3.822 ; 379.410.631 ; 4.144 ; 786.065.643 ; 5.062 ; 808.514.703 ;;;;
29;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 105 ; 146.390.891 ; 108 ; 112.703.170 ; 213 ; 259.094.061 ; 8 ; 235.968.617 ; 64 ; 271.200.000 ; 72 ; 507.168.617 ; 285 ; 766.262.678 ;;;;
30;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 34 ; 104.071.213 ;;; 46 ; 33.510.747 ; 84 ; 348.126.433 ; 164 ; 485.708.393 ; 11 ; 217.388.801 ; 3 ; 17.029.300 ; 14 ; 234.418.101 ; 178 ; 720.126.493 ;;;;
31;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 2 ; 410.341 ; 1 ; 105 ; 171 ; 166.165.581 ; 114 ; 424.196.693 ; 288 ; 590.772.720 ; 30 ; 101.113.310 ; 22 ; 11.121.299 ; 52 ; 112.234.610 ; 340 ; 703.007.330 ;;;;
32;00.360.305;CAIXA ECONOMICA FEDERAL; 200 ; 68.166.916 ; 230 ; 30.556.347 ; 4.881 ; 40.418.371 ; 2.645 ; 111.429.243 ; 7.956 ; 250.570.877 ; 136 ; 244.724.764 ; 122 ; 207.474.267 ; 258 ; 452.199.031 ; 8.214 ; 702.769.907 ;;;;
33;49.336.860;ING BANK N.V.; 24 ; 51.597.345 ; 4 ; 16.478.377 ; 11 ; 10.730.167 ; 93 ; 240.956.827 ; 132 ; 319.762.717 ; 19 ; 272.456.960 ; 9 ; 77.464.355 ; 28 ; 349.921.315 ; 160 ; 669.684.032 ;;;;
34;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 9 ; 25.790.915 ; 3 ; 2.106.017 ; 24 ; 2.000.128 ; 55 ; 64.723.908 ; 91 ; 94.620.968 ; 98 ; 315.979.341 ; 92 ; 251.057.891 ; 190 ; 567.037.232 ; 281 ; 661.658.200 ;;;;
35;13.059.145;BEXS BANCO DE C∂MBIO S/A; 12 ; 79.390.988 ; 151 ; 6.681.664 ; 213 ; 56.581.185 ; 464 ; 73.692.780 ; 840 ; 216.346.616 ; 277 ; 168.959.456 ; 273 ; 224.587.735 ; 550 ; 393.547.191 ; 1.390 ; 609.893.807 ;;;;
36;28.195.667;BANCO ABC BRASIL S.A.; 81 ; 43.114.789 ; 140 ; 10.166.654 ; 33 ; 56.789.017 ; 254 ; 38.032.573 ; 508 ; 148.103.033 ; 18 ; 285.345.060 ; 24 ; 78.621.147 ; 42 ; 363.966.207 ; 550 ; 512.069.240 ;;;;
37;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 25 ; 38.821.985 ; 9 ; 11.291.266 ; 24 ; 175.485.325 ; 31 ; 3.029.009 ; 89 ; 228.627.584 ; 16 ; 143.548.996 ; 24 ; 119.847.886 ; 40 ; 263.396.882 ; 129 ; 492.024.466 ;;;;
38;71.027.866;BANCO BONSUCESSO S.A.;;; 1 ; 10.228 ; 28 ; 172.564 ; 142 ; 2.777.549 ; 171 ; 2.960.341 ; 295 ; 237.602.718 ; 528 ; 235.154.830 ; 823 ; 472.757.548 ; 994 ; 475.717.889 ;;;;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 909 ; 120.692.303 ; 1.522 ; 79.328.821 ; 394 ; 46.843.347 ; 1.583 ; 20.914.353 ; 4.408 ; 267.778.823 ; 44 ; 64.971.120 ; 49 ; 131.600.423 ; 93 ; 196.571.544 ; 4.501 ; 464.350.367 ;;;;
40;15.114.366;BANCO BBM S/A; 16 ; 30.545.500 ;;; 10 ; 50.339.170 ; 34 ; 6.121.920 ; 60 ; 87.006.591 ; 14 ; 172.214.013 ; 33 ; 172.963.902 ; 47 ; 345.177.915 ; 107 ; 432.184.506 ;;;;
41;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 223 ; 1.472.969 ; 3.931 ; 38.695.006 ; 4.154 ; 40.167.975 ; 773 ; 192.362.076 ; 146 ; 155.136.298 ; 919 ; 347.498.374 ; 5.073 ; 387.666.349 ;;;;
42;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 83 ; 2.866.064 ; 525 ; 12.443.750 ; 625 ; 8.090.921 ; 1.640 ; 101.056.158 ; 2.873 ; 124.456.893 ; 3.366 ; 166.865.589 ; 110 ; 64.398.754 ; 3.476 ; 231.264.344 ; 6.349 ; 355.721.237 ;;;;
43;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 54 ; 74.135.854 ; 38 ; 86.605.810 ; 92 ; 160.741.664 ; 32 ; 85.735.000 ; 37 ; 73.210.000 ; 69 ; 158.945.000 ; 161 ; 319.686.664 ;;;;
44;30.723.886;BANCO MODAL S.A.; 17 ; 6.944.377 ; 21 ; 1.288.555 ; 16 ; 17.917.635 ; 34 ; 750.491 ; 88 ; 26.901.059 ; 51 ; 134.990.437 ; 44 ; 157.161.566 ; 95 ; 292.152.003 ; 183 ; 319.053.062 ;;;;
45;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;; 2 ; 4.118 ; 974 ; 9.356.749 ; 5.961 ; 94.406.037 ; 6.937 ; 103.766.904 ; 2.225 ; 131.593.917 ; 130 ; 47.010.171 ; 2.355 ; 178.604.088 ; 9.292 ; 282.370.992 ;;;;
46;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 130 ; 79.310.696 ; 208 ; 22.328.645 ; 79 ; 31.400.784 ; 258 ; 25.286.539 ; 675 ; 158.326.664 ; 39 ; 29.612.156 ; 40 ; 89.211.630 ; 79 ; 118.823.786 ; 754 ; 277.150.450 ;;;;
47;33.923.798;BANCO MµXIMA S.A.; 38 ; 1.242.795 ; 306 ; 12.867.473 ; 53 ; 8.475.566 ; 219 ; 13.349.534 ; 616 ; 35.935.368 ; 275 ; 115.797.453 ; 1.190 ; 97.364.913 ; 1.465 ; 213.162.366 ; 2.081 ; 249.097.734 ;;;;
48;62.144.175;BANCO PINE S.A.; 13 ; 18.009.291 ; 42 ; 33.645.834 ; 7 ; 70.005.106 ; 92 ; 1.433.416 ; 154 ; 123.093.647 ; 1 ; 50.000.000 ; 2 ; 70.000.000 ; 3 ; 120.000.000 ; 157 ; 243.093.647 ;;;;
49;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.;;; 95 ; 6.456.020 ; 35 ; 5.946.207 ; 160 ; 11.101.680 ; 290 ; 23.503.907 ; 40 ; 108.000.000 ; 52 ; 95.150.000 ; 92 ; 203.150.000 ; 382 ; 226.653.907 ;;;;
50;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 1 ; 216.456 ; 2 ; 191.457 ; 14 ; 55.790.791 ; 45 ; 831.098 ; 62 ; 57.029.801 ; 35 ; 61.535.830 ; 41 ; 99.745.491 ; 76 ; 161.281.321 ; 138 ; 218.311.122 ;;;;
51;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 16 ; 218.738 ; 118 ; 1.533.258 ; 1.360 ; 10.649.000 ; 7.510 ; 95.407.676 ; 9.004 ; 107.808.672 ; 835 ; 86.588.843 ; 13 ; 213.730 ; 848 ; 86.802.573 ; 9.852 ; 194.611.245 ;;;;
52;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 6 ; 253.815 ; 1.142 ; 79.705.049 ; 214 ; 1.883.855 ; 4.608 ; 14.068.535 ; 5.970 ; 95.911.253 ; 888 ; 92.895.107 ; 36 ; 1.674.385 ; 924 ; 94.569.492 ; 6.894 ; 190.480.745 ;;;;
53;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 10 ; 94.842 ; 119 ; 1.865.978 ; 383 ; 2.757.544 ; 1.614 ; 30.142.742 ; 2.126 ; 34.861.106 ; 1.982 ; 92.384.891 ; 331 ; 63.127.459 ; 2.313 ; 155.512.349 ; 4.439 ; 190.373.455 ;;;;
54;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 12 ; 1.886.615 ; 29 ; 2.417.763 ; 32 ; 770.041 ; 134 ; 13.131.169 ; 207 ; 18.205.587 ; 105 ; 78.892.351 ; 63 ; 66.122.581 ; 168 ; 145.014.932 ; 375 ; 163.220.520 ;;;;
55;03.532.415;BANCO ABN AMRO S.A.; 23 ; 76.613.160 ;;; 2 ; 1.959.758 ; 6 ; 92.041 ; 31 ; 78.664.959 ; 1 ; 100.000 ; 33 ; 78.510.000 ; 34 ; 78.610.000 ; 65 ; 157.274.959 ;;;;
56;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 42 ; 1.620.242 ; 868 ; 26.330.708 ; 164 ; 3.057.306 ; 4.163 ; 44.540.429 ; 5.237 ; 75.548.684 ; 756 ; 69.214.551 ; 8 ; 3.384.308 ; 764 ; 72.598.859 ; 6.001 ; 148.147.543 ;;;;
57;92.894.922;BANCO ORIGINAL S.A.; 8 ; 7.131.149 ; 39 ; 19.012.155 ;;; 72 ; 443.130 ; 119 ; 26.586.434 ; 10 ; 114.480.786 ; 8 ; 5.042.970 ; 18 ; 119.523.756 ; 137 ; 146.110.190 ;;;;
58;13.728.156;WESTERN UNION CORRETORA DE C∂MBIO S.A.; 3 ; 11.550 ; 44 ; 585.864 ; 524 ; 14.175.682 ; 1.835 ; 65.869.590 ; 2.406 ; 80.642.686 ; 708 ; 56.964.946 ; 526 ; 7.846.027 ; 1.234 ; 64.810.973 ; 3.640 ; 145.453.659 ;;;;
59;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 6 ; 219.960 ; 74 ; 2.155.138 ; 242 ; 1.543.733 ; 1.285 ; 13.007.002 ; 1.607 ; 16.925.833 ; 832 ; 67.473.812 ; 89 ; 54.029.764 ; 921 ; 121.503.576 ; 2.528 ; 138.429.409 ;;;;
60;03.609.817;BANCO CARGILL S.A.; 16 ; 51.734.310 ; 4 ; 7.028.719 ; 3 ; 4.987.372 ; 26 ; 6.946.250 ; 49 ; 70.696.651 ; 5 ; 11.500.000 ; 4 ; 52.500.000 ; 9 ; 64.000.000 ; 58 ; 134.696.651 ;;;;
61;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 71 ; 4.012.067 ; 1.781 ; 2.101.367 ; 3.921 ; 24.106.290 ; 5.773 ; 30.219.724 ; 1.196 ; 59.349.093 ; 110 ; 33.426.190 ; 1.306 ; 92.775.283 ; 7.079 ; 122.995.007 ;;;;
62;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 135 ; 455.436 ; 2.838 ; 60.603.218 ; 2.973 ; 61.058.654 ; 474 ; 61.241.124 ; 10 ; 94.844 ; 484 ; 61.335.968 ; 3.457 ; 122.394.623 ;;;;
63;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 7 ; 12.096.244 ; 19 ; 33.884.356 ; 2 ; 17.958.171 ; 58 ; 8.430.213 ; 86 ; 72.368.985 ; 9 ; 29.141.778 ; 6 ; 19.886.769 ; 15 ; 49.028.547 ; 101 ; 121.397.532 ;;;;
64;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 8 ; 83.798 ; 327 ; 9.699.201 ; 165 ; 2.224.515 ; 874 ; 38.139.031 ; 1.374 ; 50.146.545 ; 1.212 ; 57.553.484 ; 133 ; 12.037.180 ; 1.345 ; 69.590.664 ; 2.719 ; 119.737.208 ;;;;
65;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 62 ; 1.442.954 ; 1.151 ; 30.783.010 ; 808 ; 10.042.467 ; 2.676 ; 24.956.762 ; 4.697 ; 67.225.193 ; 556 ; 46.987.834 ; 57 ; 2.748.016 ; 613 ; 49.735.850 ; 5.310 ; 116.961.043 ;;;;
