Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Novembro/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;53.518.684;BANCO HSBC S.A.;BANCO HSBC - PRUDENCIAL; 88 ; 563.726.575 ; 193 ; 59.921.473 ; 262 ; 323.865.918 ; 288 ; 221.632.108 ; 831 ; 1.169.146.074 ; 314 ; 496.980.979 ; 328 ; 935.349.561 ; 642 ; 1.432.330.540 ; 1.473 ; 2.601.476.614 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 599 ; 86.313.180 ; 1.953 ; 65.227.962 ; 5.008 ; 397.841.103 ; 4.926 ; 540.476.907 ; 12.486 ; 1.089.859.152 ; 1.498 ; 475.651.651 ; 3.617 ; 377.875.818 ; 5.115 ; 853.527.469 ; 17.601 ; 1.943.386.621 ;
27;78.632.767;OURIBANK S.A. BANCO MÚLTIPLO;OURIBANK - PRUDENCIAL; 834 ; 78.640.420 ; 3.763 ; 246.511.886 ; 65.022 ; 249.173.948 ; 304.982 ; 446.286.288 ; 374.601 ; 1.020.612.542 ; 938 ; 640.816.023 ; 5.806 ; 267.472.839 ; 6.744 ; 908.288.862 ; 381.345 ; 1.928.901.404 ;
28;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 355 ; 92.513.083 ; 1.111 ; 139.001.642 ; 26.575 ; 332.361.660 ; 17.813 ; 273.195.931 ; 45.854 ; 837.072.316 ; 298 ; 458.064.956 ; 310 ; 603.571.033 ; 608 ; 1.061.635.989 ; 46.462 ; 1.898.708.305 ;
29;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 458 ; 58.099.657 ; 1.875 ; 307.265.128 ; 5.082 ; 118.981.482 ; 5.684 ; 174.683.603 ; 13.099 ; 659.029.870 ; 124 ; 732.771.852 ; 107 ; 473.702.729 ; 231 ; 1.206.474.581 ; 13.330 ; 1.865.504.451 ;
30;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 103 ; 104.916.491 ; 216 ; 210.718.318 ; 4.508 ; 205.277.630 ; 968 ; 229.896.387 ; 5.795 ; 750.808.826 ; 46 ; 517.862.935 ; 48 ; 386.854.688 ; 94 ; 904.717.623 ; 5.889 ; 1.655.526.449 ;
31;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 7.344 ; 2.354.318 ; 109 ; 159.794 ; 1.213.658 ; 458.436.466 ; 1.474.129 ; 488.751.708 ; 2.695.240 ; 949.702.286 ; 1.027 ; 323.487.774 ; 1.004 ; 294.673.766 ; 2.031 ; 618.161.540 ; 2.697.271 ; 1.567.863.826 ;
32;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 129 ; 91.474.186 ; 641 ; 86.666.646 ; 170 ; 70.563.178 ; 638 ; 108.368.210 ; 1.578 ; 357.072.220 ; 113 ; 627.258.864 ; 161 ; 476.061.218 ; 274 ; 1.103.320.082 ; 1.852 ; 1.460.392.302 ;
33;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 375 ; 86.523.721 ; 1.653 ; 181.639.970 ; 61.467 ; 348.005.393 ; 33.612 ; 224.257.865 ; 97.107 ; 840.426.949 ; 329 ; 266.975.676 ; 1.896 ; 286.359.936 ; 2.225 ; 553.335.612 ; 99.332 ; 1.393.762.561 ;
34;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 29 ; 2.317.456 ; 331 ; 14.286.358 ; 230.997 ; 381.535.006 ; 4.021 ; 63.625.280 ; 235.378 ; 461.764.100 ; 1.546 ; 235.063.123 ; 4.585 ; 549.341.881 ; 6.131 ; 784.405.004 ; 241.509 ; 1.246.169.104 ;
