Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
56;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 433 ; 176.418.571 ; 483 ; 259.973.030 ; 916 ; 436.391.601 ; 158 ; 149.584.000 ; 90 ; 66.010.500 ; 248 ; 215.594.500 ; 1.164 ; 651.986.101 
57;59.118.133;BANCO LUSO BRASILEIRO S.A.; 401 ; 77.449.987 ; 1.631 ; 157.366.549 ; 266 ; 41.472.815 ; 799 ; 25.549.490 ; 3.097 ; 301.838.842 ; 1.403 ; 190.593.892 ; 556 ; 126.100.852 ; 1.959 ; 316.694.743 ; 5.056 ; 618.533.585 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 4.752 ; 45.644.888 ; 20.269 ; 302.364.908 ; 25.021 ; 348.009.796 ; 12.751 ; 259.881.679 ; 285 ; 5.154.067 ; 13.036 ; 265.035.747 ; 38.057 ; 613.045.543 
59;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.781 ; 148.676.154 ; 1.982 ; 55.171.216 ; 1.293 ; 44.559.244 ; 1.168 ; 125.006.849 ; 7.224 ; 373.413.463 ; 90 ; 98.049.960 ; 81 ; 122.308.447 ; 171 ; 220.358.407 ; 7.395 ; 593.771.870 
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 522 ; 9.451.748 ; 6.179 ; 133.452.911 ; 3.363 ; 47.569.401 ; 11.681 ; 142.371.646 ; 21.745 ; 332.845.706 ; 6.503 ; 236.247.225 ; 93 ; 17.464.039 ; 6.596 ; 253.711.264 ; 28.341 ; 586.556.970 
61;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 244 ; 134.220.244 ; 360 ; 21.100.784 ; 290 ; 15.990.418 ; 349 ; 14.021.707 ; 1.243 ; 185.333.153 ; 223 ; 136.465.478 ; 197 ; 251.333.988 ; 420 ; 387.799.466 ; 1.663 ; 573.132.620 
62;92.894.922;BANCO ORIGINAL S.A.; 103 ; 246.932.260 ; 182 ; 34.561.896 ; 256 ; 11.110.230 ; 1.000 ; 16.180.504 ; 1.541 ; 308.784.889 ; 41 ; 26.943.279 ; 32 ; 197.183.164 ; 73 ; 224.126.443 ; 1.614 ; 532.911.333 
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 98 ; 1.362.252 ; 1.262 ; 23.774.167 ; 2.673 ; 31.449.460 ; 9.653 ; 115.351.337 ; 13.686 ; 171.937.217 ; 10.779 ; 222.397.167 ; 1.803 ; 116.147.968 ; 12.582 ; 338.545.135 ; 26.268 ; 510.482.352 
64;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 271 ; 4.737.089 ; 2.378 ; 49.979.042 ; 10.016 ; 24.367.234 ; 9.443 ; 105.158.313 ; 22.108 ; 184.241.678 ; 10.281 ; 223.715.382 ; 3.326 ; 97.687.541 ; 13.607 ; 321.402.923 ; 35.715 ; 505.644.601 
65;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 26 ; 67.641.424 ; 140 ; 21.569.678 ; 108 ; 35.406.870 ; 162 ; 135.715.032 ; 436 ; 260.333.004 ; 94 ; 151.106.990 ; 53 ; 86.306.026 ; 147 ; 237.413.016 ; 583 ; 497.746.020 
66;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 25 ; 110.112.058 ; 13 ; 4.456.462 ; 52 ; 103.169.943 ; 86 ; 17.240.004 ; 176 ; 234.978.466 ; 18 ; 20.123.700 ; 98 ; 223.626.984 ; 116 ; 243.750.683 ; 292 ; 478.729.150 
67;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 125 ; 22.553.140 ; 106 ; 1.991.563 ; 37 ; 4.625.797 ; 201 ; 160.499.764 ; 469 ; 189.670.263 ; 33 ; 178.895.394 ; 19 ; 54.095.394 ; 52 ; 232.990.788 ; 521 ; 422.661.051 
68;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 811 ; 17.800.301 ; 4.902 ; 139.242.292 ; 1.994 ; 24.941.715 ; 4.365 ; 59.437.328 ; 12.072 ; 241.421.636 ; 2.396 ; 166.057.674 ; 105 ; 9.849.260 ; 2.501 ; 175.906.934 ; 14.573 ; 417.328.570 
69;61.186.680;BANCO BMG S.A.; 10 ; 15.656.676 ; 16 ; 10.431.785 ; 6 ; 3.877.475 ; 81 ; 114.759.564 ; 113 ; 144.725.500 ; 15 ; 163.497.010 ; 7 ; 47.500.000 ; 22 ; 210.997.010 ; 135 ; 355.722.510 
70;07.679.404;BANCO TOPÁZIO S.A.; 2 ; 41.003 ; 8 ; 113.716 ; 222 ; 13.552.339 ; 540 ; 165.390.276 ; 772 ; 179.097.334 ; 182 ; 158.974.862 ; 47 ; 7.057.692 ; 229 ; 166.032.554 ; 1.001 ; 345.129.888 
71;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 71 ; 89.628.831 ; 43 ; 22.598.963 ; 9 ; 16.407.213 ; 343 ; 64.058.055 ; 466 ; 192.693.062 ; 32 ; 60.115.004 ; 19 ; 83.675.155 ; 51 ; 143.790.159 ; 517 ; 336.483.221 
72;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 197 ; 4.496.567 ; 4.659 ; 109.798.876 ; 1.975 ; 15.305.499 ; 4.652 ; 41.427.790 ; 11.483 ; 171.028.731 ; 6.470 ; 147.485.898 ; 855 ; 16.139.824 ; 7.325 ; 163.625.721 ; 18.808 ; 334.654.452 
73;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 359 ; 7.242.010 ; 5.319 ; 120.478.380 ; 1.335 ; 29.794.358 ; 4.696 ; 43.868.321 ; 11.709 ; 201.383.069 ; 1.842 ; 128.722.946 ; 16 ; 1.437.728 ; 1.858 ; 130.160.674 ; 13.567 ; 331.543.742 
74;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 11 ; 15.550.839 ; 44 ; 14.295.503 ; 45 ; 4.314.924 ; 384 ; 43.813.796 ; 484 ; 77.975.062 ; 59 ; 105.248.281 ; 60 ; 117.230.794 ; 119 ; 222.479.075 ; 603 ; 300.454.137 
