Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;02.801.938;BANCO MORGAN STANLEY S.A.; 17 ; 63.180.926 ; 51 ; 66.165.520 ; 208 ; 656.864.098 ; 303 ; 471.799.901 ; 579 ; 1.258.010.445 ; 5 ; 221.187.297 ; 21 ; 473.451.432 ; 26 ; 694.638.729 ; 605 ; 1.952.649.174 ;
27;28.195.667;BANCO ABC BRASIL S.A.; 163 ; 127.133.049 ; 324 ; 74.485.304 ; 96 ; 229.956.152 ; 506 ; 231.081.344 ; 1.089 ; 662.655.848 ; 117 ; 564.434.824 ; 416 ; 713.026.914 ; 533 ; 1.277.461.738 ; 1.622 ; 1.940.117.586 ;
28;78.632.767;BANCO OURINVEST S.A.; 1.204 ; 93.093.399 ; 2.413 ; 147.974.785 ; 23.555 ; 344.340.893 ; 15.433 ; 454.727.435 ; 42.605 ; 1.040.136.512 ; 793 ; 445.215.830 ; 10.708 ; 259.232.932 ; 11.501 ; 704.448.762 ; 54.106 ; 1.744.585.274 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 442 ; 67.185.684 ; 1.595 ; 202.707.738 ; 7.308 ; 226.506.227 ; 3.726 ; 278.884.673 ; 13.071 ; 775.284.322 ; 452 ; 465.482.965 ; 1.566 ; 313.330.097 ; 2.018 ; 778.813.062 ; 15.089 ; 1.554.097.384 ;
30;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 81 ; 3.344.933 ; 859 ; 74.737.058 ; 328 ; 36.110.128 ; 9.722 ; 35.571.927 ; 10.990 ; 149.764.045 ; 356 ; 723.939.280 ; 423 ; 651.347.370 ; 779 ; 1.375.286.649 ; 11.769 ; 1.525.050.695 ;
31;00.360.305;CAIXA ECONOMICA FEDERAL; 103 ; 41.045.849 ; 65 ; 1.434.726 ; 7.250 ; 48.578.746 ; 1.056 ; 548.468.082 ; 8.474 ; 639.527.403 ; 137 ; 562.057.268 ; 157 ; 89.026.795 ; 294 ; 651.084.063 ; 8.768 ; 1.290.611.466 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 20 ; 2.262.602 ; 196 ; 76.971.963 ; 96.866 ; 300.490.658 ; 2.107 ; 78.108.869 ; 99.189 ; 457.834.091 ; 1.478 ; 275.698.725 ; 7.177 ; 439.383.387 ; 8.655 ; 715.082.112 ; 107.844 ; 1.172.916.204 ;
33;58.160.789;BANCO SAFRA S.A.; 332 ; 46.237.474 ; 943 ; 167.080.479 ; 1.033 ; 147.145.303 ; 2.045 ; 157.266.361 ; 4.353 ; 517.729.616 ; 316 ; 355.111.610 ; 302 ; 227.320.227 ; 618 ; 582.431.838 ; 4.971 ; 1.100.161.453 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 510.828 ; 250.711.181 ; 444.537 ; 252.536.551 ; 955.365 ; 503.247.733 ; 884 ; 192.476.504 ; 886 ; 190.643.599 ; 1.770 ; 383.120.103 ; 957.135 ; 886.367.836 ;
35;58.616.418;BANCO FIBRA S.A.; 74 ; 65.018.260 ; 965 ; 148.582.250 ; 36 ; 15.034.375 ; 258 ; 23.856.086 ; 1.333 ; 252.490.970 ; 90 ; 289.442.231 ; 83 ; 208.485.785 ; 173 ; 497.928.016 ; 1.506 ; 750.418.986 ;
