Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
40;71.027.866;BANCO BS2 S.A.; 500 ; 48.985.050 ; 1.676 ; 71.489.427 ; 8.604 ; 275.091.739 ; 20.157 ; 168.399.927 ; 30.937 ; 563.966.143 ; 351 ; 199.183.621 ; 4.562 ; 278.591.987 ; 4.913 ; 477.775.608 ; 35.850 ; 1.041.741.751 ;;;;
41;33.923.798;BANCO MÁXIMA S.A.; 367 ; 172.725.560 ; 840 ; 53.223.138 ; 11.906 ; 214.351.394 ; 76.629 ; 239.362.297 ; 89.742 ; 679.662.388 ; 168 ; 126.458.051 ; 188 ; 217.428.748 ; 356 ; 343.886.799 ; 90.098 ; 1.023.549.187 ;;;;
42;00.997.185;BANCO B3 S.A.;;;;; 486 ; 252.221.815 ; 466 ; 327.828.528 ; 952 ; 580.050.343 ; 198 ; 207.641.166 ; 88 ; 131.999.319 ; 286 ; 339.640.484 ; 1.238 ; 919.690.827 ;;;;
43;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 516 ; 9.790.956 ; 1.705 ; 40.439.454 ; 44.503 ; 102.737.634 ; 8.082 ; 95.248.117 ; 54.806 ; 248.216.162 ; 4.171 ; 274.034.794 ; 880 ; 250.883.941 ; 5.051 ; 524.918.735 ; 59.857 ; 773.134.897 ;;;;
44;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 44 ; 48.998.684 ; 286 ; 47.224.964 ; 48 ; 38.367.658 ; 167 ; 31.171.091 ; 545 ; 165.762.397 ; 108 ; 286.976.409 ; 109 ; 318.172.195 ; 217 ; 605.148.604 ; 762 ; 770.911.002 ;;;;
45;10.690.848;BANCO DA CHINA BRASIL S.A.; 51 ; 107.159.729 ; 63 ; 49.086.422 ; 67 ; 247.406.334 ; 119 ; 31.481.989 ; 300 ; 435.134.474 ; 61 ; 24.327.597 ; 100 ; 298.485.125 ; 161 ; 322.812.722 ; 461 ; 757.947.196 ;;;;
46;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 6 ; 38.535.916 ;;; 7 ; 604.671 ; 645 ; 255.533.448 ; 658 ; 294.674.036 ; 48 ; 326.778.024 ; 6 ; 108.747.525 ; 54 ; 435.525.549 ; 712 ; 730.199.585 ;;;;
47;30.723.886;BANCO MODAL S.A.; 39 ; 37.131.547 ; 233 ; 18.573.815 ; 421 ; 238.647.185 ; 316 ; 106.107.319 ; 1.009 ; 400.459.867 ; 34 ; 88.377.863 ; 37 ; 235.353.858 ; 71 ; 323.731.721 ; 1.080 ; 724.191.588 ;;;;
48;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 84 ; 177.032.975 ; 43 ; 159.779.732 ; 127 ; 336.812.707 ; 7 ; 143.580.000 ; 20 ; 162.065.000 ; 27 ; 305.645.000 ; 154 ; 642.457.707 ;;;;
49;15.114.366;BANCO BOCOM BBM S.A.; 62 ; 39.145.180 ; 23 ; 1.597.319 ; 69 ; 242.366.415 ; 423 ; 190.042.202 ; 577 ; 473.151.115 ; 9 ; 31.967.537 ; 15 ; 111.969.078 ; 24 ; 143.936.615 ; 601 ; 617.087.730 ;;;;
