Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Set/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
50;92.894.922;BANCO ORIGINAL S.A.; 122 ; 168.161.756 ; 939 ; 128.754.113 ; 301 ; 317.396.983 ; 1.659 ; 38.826.300 ; 3.021 ; 653.139.151 ; 99 ; 80.412.236 ; 43 ; 455.736.932 ; 142 ; 536.149.168 ; 3.163 ; 1.189.288.319 ;
51;61.186.680;BANCO BMG S.A.; 94 ; 253.076.539 ; 14 ; 3.530.943 ; 15 ; 24.782.942 ; 140 ; 236.721.929 ; 263 ; 518.112.352 ; 37 ; 296.840.073 ; 61 ; 345.072.716 ; 98 ; 641.912.790 ; 361 ; 1.160.025.142 ;
52;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 581 ; 3.298.586 ; 1.255 ; 12.055.732 ; 1.836 ; 15.354.318 ; 2.447 ; 508.092.974 ; 1.245 ; 499.329.255 ; 3.692 ; 1.007.422.229 ; 5.528 ; 1.022.776.547 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.196 ; 28.876.623 ; 11.395 ; 234.624.334 ; 9.997 ; 99.484.914 ; 26.451 ; 206.755.777 ; 49.039 ; 569.741.648 ; 5.591 ; 379.254.988 ; 1.446 ; 66.241.704 ; 7.037 ; 445.496.691 ; 56.076 ; 1.015.238.339 ;
54;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 116 ; 7.381.841 ; 1.658 ; 61.221.569 ; 684 ; 231.349.426 ; 3.562 ; 162.284.575 ; 6.020 ; 462.237.412 ; 2.193 ; 265.408.375 ; 4.986 ; 276.393.236 ; 7.179 ; 541.801.612 ; 13.199 ; 1.004.039.023 ;
55;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 83 ; 978.556 ; 1.226 ; 17.604.058 ; 3.243 ; 33.331.677 ; 10.804 ; 146.865.371 ; 15.356 ; 198.779.662 ; 16.977 ; 467.770.019 ; 2.911 ; 337.392.804 ; 19.888 ; 805.162.823 ; 35.244 ; 1.003.942.485 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 314 ; 5.710.274 ; 1.416 ; 16.663.352 ; 11.356 ; 79.029.083 ; 42.266 ; 472.740.842 ; 55.352 ; 574.143.552 ; 6.559 ; 406.297.602 ; 51 ; 1.706.833 ; 6.610 ; 408.004.435 ; 61.962 ; 982.147.987 ;
57;59.118.133;BANCO LUSO BRASILEIRO S.A.; 794 ; 172.707.769 ; 1.092 ; 142.607.294 ; 213 ; 87.200.505 ; 2.352 ; 115.115.671 ; 4.451 ; 517.631.239 ; 1.768 ; 211.002.887 ; 929 ; 213.199.101 ; 2.697 ; 424.201.987 ; 7.148 ; 941.833.226 ;
58;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 23 ; 222.739 ; 302 ; 2.794.008 ; 4.909 ; 185.519.746 ; 8.775 ; 424.695.502 ; 14.009 ; 613.231.995 ; 5.614 ; 271.550.092 ; 2.414 ; 28.516.235 ; 8.028 ; 300.066.327 ; 22.037 ; 913.298.322 ;
59;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 20 ; 123.982 ; 7.036 ; 80.530.752 ; 24.365 ; 445.675.142 ; 31.421 ; 526.329.875 ; 18.662 ; 370.040.536 ; 449 ; 5.970.688 ; 19.111 ; 376.011.224 ; 50.532 ; 902.341.099 ;
60;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 10 ; 894.899.343 ; 2 ; 2 ; 12 ; 894.899.345 ; 12 ; 894.899.345 ;
61;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 31 ; 42.796.162 ; 57 ; 19.724.703 ; 102 ; 72.035.509 ; 760 ; 48.806.039 ; 950 ; 183.362.413 ; 126 ; 331.026.331 ; 146 ; 364.262.140 ; 272 ; 695.288.471 ; 1.222 ; 878.650.884 ;
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 739 ; 13.062.888 ; 8.779 ; 195.001.306 ; 6.251 ; 90.901.377 ; 24.763 ; 205.608.780 ; 40.532 ; 504.574.351 ; 8.756 ; 316.634.893 ; 163 ; 20.220.024 ; 8.919 ; 336.854.917 ; 49.451 ; 841.429.268 ;
