Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO; 22 ; 54.338.331 ; 99 ; 33.256.812 ; 43 ; 6.832.262 ; 61 ; 31.271.639 ; 225 ; 125.699.044 ; 104 ; 416.658.672 ; 123 ; 411.319.262 ; 227 ; 827.977.934 ; 452 ; 953.676.978 ;;;;
27;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 17 ; 13.852.876 ; 91 ; 10.838.444 ; 42 ; 237.943.010 ; 71 ; 41.210.878 ; 221 ; 303.845.209 ; 64 ; 164.980.595 ; 70 ; 364.558.573 ; 134 ; 529.539.168 ; 355 ; 833.384.377 ;;;;
28;62.232.889;BANCO DAYCOVAL S.A.; 285 ; 27.557.731 ; 382 ; 57.650.127 ; 451 ; 35.916.153 ; 1.807 ; 85.195.138 ; 2.925 ; 206.319.149 ; 497 ; 306.249.365 ; 1.614 ; 239.552.601 ; 2.111 ; 545.801.966 ; 5.036 ; 752.121.115 ;;;;
29;68.900.810;BANCO RENDIMENTO S.A.; 7 ; 773.840 ; 57 ; 4.678.829 ; 15.053 ; 72.682.068 ; 1.515 ; 91.050.232 ; 16.632 ; 169.184.968 ; 362 ; 306.626.105 ; 10.637 ; 275.662.656 ; 10.999 ; 582.288.760 ; 27.631 ; 751.473.728 ;;;;
30;71.027.866;BANCO BONSUCESSO S.A.; 1 ; 31.508 ; 5 ; 701.696 ; 41 ; 2.778.540 ; 221 ; 8.004.449 ; 268 ; 11.516.194 ; 266 ; 368.182.318 ; 486 ; 363.073.024 ; 752 ; 731.255.342 ; 1.020 ; 742.771.536 ;;;;
31;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 67 ; 169.830.856 ; 16 ; 20.024.884 ; 79 ; 81.918.825 ; 171 ; 180.581.140 ; 333 ; 452.355.704 ; 22 ; 107.505.482 ; 25 ; 117.495.105 ; 47 ; 225.000.587 ; 380 ; 677.356.292 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 26 ; 201.179.204 ; 144 ; 3.328.757 ; 180 ; 61.347.041 ; 480 ; 91.599.055 ; 830 ; 357.454.058 ; 243 ; 75.772.230 ; 315 ; 243.287.789 ; 558 ; 319.060.019 ; 1.388 ; 676.514.077 ;;;;
33;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 11 ; 108.524.000 ; 1 ; 353.180 ; 15 ; 55.376.267 ; 77 ; 5.238.680 ; 104 ; 169.492.127 ; 46 ; 185.208.862 ; 51 ; 308.576.830 ; 97 ; 493.785.692 ; 201 ; 663.277.819 ;;;;
34;28.195.667;BANCO ABC BRASIL S.A.; 52 ; 11.673.933 ; 132 ; 6.154.310 ; 19 ; 34.349.582 ; 284 ; 189.016.418 ; 487 ; 241.194.243 ; 37 ; 292.540.288 ; 42 ; 116.862.180 ; 79 ; 409.402.468 ; 566 ; 650.596.712 ;;;;
35;78.632.767;BANCO OURINVEST S.A.; 21 ; 16.843.044 ; 325 ; 14.816.975 ; 219 ; 5.439.390 ; 848 ; 28.030.109 ; 1.413 ; 65.129.519 ; 412 ; 281.298.942 ; 6.677 ; 237.496.889 ; 7.089 ; 518.795.830 ; 8.502 ; 583.925.349 ;;;;
36;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 113 ; 74.096.036 ; 160 ; 13.746.291 ; 273 ; 87.842.326 ; 19 ; 150.121.000 ; 42 ; 260.068.078 ; 61 ; 410.189.078 ; 334 ; 498.031.404 ;;;;
37;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 77 ; 148.676.067 ;;; 96 ; 48.766.093 ; 75 ; 226.936.799 ; 248 ; 424.378.958 ; 2 ; 12.543.119 ; 2 ; 14.763.740 ; 4 ; 27.306.860 ; 252 ; 451.685.818 ;;;;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 95 ; 43.968.110 ; 77 ; 9.078.532 ; 34 ; 150.604.383 ; 180 ; 7.475.298 ; 386 ; 211.126.323 ; 21 ; 14.070.483 ; 29 ; 190.458.110 ; 50 ; 204.528.593 ; 436 ; 415.654.916 ;;;;
39;03.609.817;BANCO CARGILL S.A.; 29 ; 66.775.184 ;;; 20 ; 97.214.976 ; 29 ; 32.250.013 ; 78 ; 196.240.174 ; 1 ; 16.997.716 ; 8 ; 148.500.000 ; 9 ; 165.497.716 ; 87 ; 361.737.889 ;;;;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 39 ; 41.853.960 ; 12 ; 21.568.326 ; 15 ; 95.349.801 ; 64 ; 29.330.311 ; 130 ; 188.102.399 ; 2 ; 24.000.000 ; 9 ; 144.000.000 ; 11 ; 168.000.000 ; 141 ; 356.102.399 ;;;;
41;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 119 ; 64.103.961 ; 130 ; 134.263.905 ; 249 ; 198.367.866 ; 43 ; 85.902.000 ; 27 ; 15.679.000 ; 70 ; 101.581.000 ; 319 ; 299.948.866 ;;;;
42;61.146.577;BANCO BARCLAYS S.A.;;;;; 44 ; 50.263.580 ; 43 ; 107.643.249 ; 87 ; 157.906.829 ; 15 ; 91.660.673 ; 14 ; 46.683.337 ; 29 ; 138.344.010 ; 116 ; 296.250.840 ;;;;
43;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 2 ; 276.231.745 ;;; 2 ; 276.231.745 ; 2 ; 276.231.745 ;;;;
44;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 74 ; 2.051.292 ; 580 ; 12.348.036 ; 1.108 ; 9.892.829 ; 2.104 ; 57.346.782 ; 3.866 ; 81.638.939 ; 3.581 ; 115.545.662 ; 350 ; 57.841.054 ; 3.931 ; 173.386.716 ; 7.797 ; 255.025.655 ;;;;
45;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 767 ; 65.893.508 ; 1.075 ; 52.695.494 ; 357 ; 7.445.790 ; 1.319 ; 32.794.590 ; 3.518 ; 158.829.382 ; 36 ; 45.088.220 ; 28 ; 32.869.570 ; 64 ; 77.957.790 ; 3.582 ; 236.787.173 ;;;;
46;30.723.886;BANCO MODAL S.A.; 3 ; 85.822 ; 50 ; 4.701.583 ; 36 ; 82.353.846 ; 71 ; 84.964.116 ; 160 ; 172.105.367 ; 9 ; 11.923.507 ; 5 ; 3.307.980 ; 14 ; 15.231.487 ; 174 ; 187.336.854 ;;;;
47;58.616.418;BANCO FIBRA S.A.; 111 ; 12.162.905 ; 259 ; 29.939.551 ; 24 ; 545.304 ; 182 ; 12.820.583 ; 576 ; 55.468.343 ; 11 ; 67.063.980 ; 3 ; 50.063.087 ; 14 ; 117.127.067 ; 590 ; 172.595.409 ;;;;
48;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 7 ; 70.836 ; 118 ; 1.744.892 ; 303 ; 3.143.556 ; 1.303 ; 20.733.943 ; 1.731 ; 25.693.226 ; 2.366 ; 67.849.783 ; 411 ; 48.607.454 ; 2.777 ; 116.457.237 ; 4.508 ; 142.150.463 ;;;;
