Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 7 ; 221.455 ; 5 ; 983.811 ; 4.842 ; 37.108.815 ; 48.312 ; 176.194.464 ; 53.166 ; 214.508.545 ; 90 ; 157.943.337 ; 22 ; 17.614.902 ; 112 ; 175.558.238 ; 53.278 ; 390.066.783 ;
41;58.616.418;BANCO FIBRA S.A.; 101 ; 42.108.783 ; 752 ; 107.473.669 ; 35 ; 7.728.608 ; 139 ; 26.736.300 ; 1.027 ; 184.047.360 ; 70 ; 143.351.780 ; 58 ; 55.285.770 ; 128 ; 198.637.551 ; 1.155 ; 382.684.911 ;
42;62.144.175;BANCO PINE S.A.; 21 ; 9.985.140 ; 229 ; 22.911.171 ; 4 ; 1.237.421 ; 43 ; 5.672.677 ; 297 ; 39.806.408 ; 33 ; 150.940.000 ; 98 ; 125.438.471 ; 131 ; 276.378.471 ; 428 ; 316.184.879 ;
43;00.997.185;BANCO B3 S.A.;;;;; 96 ; 102.110.427 ; 87 ; 138.898.898 ; 183 ; 241.009.325 ; 44 ; 54.921.000 ; 36 ; 18.149.300 ; 80 ; 73.070.300 ; 263 ; 314.079.625 ;
44;71.027.866;BANCO BS2 S.A.; 246 ; 25.369.021 ; 1.020 ; 43.606.614 ; 5.572 ; 88.230.577 ; 10.916 ; 64.037.337 ; 17.754 ; 221.243.549 ; 39 ; 30.187.157 ; 82 ; 33.180.041 ; 121 ; 63.367.198 ; 17.875 ; 284.610.746 ;
45;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 54 ; 38.439.319 ; 135 ; 26.191.041 ; 52 ; 20.388.654 ; 120 ; 9.642.910 ; 361 ; 94.661.924 ; 66 ; 111.372.281 ; 57 ; 61.510.675 ; 123 ; 172.882.957 ; 484 ; 267.544.881 ;
46;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 9 ; 1.506.575 ; 30 ; 1.970.440 ; 159 ; 14.768.295 ; 360 ; 124.959.450 ; 558 ; 143.204.760 ; 52 ; 112.095.899 ; 7 ; 1.434.695 ; 59 ; 113.530.594 ; 617 ; 256.735.354 ;
47;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 10 ; 41.565.181 ; 9 ; 1.064.833 ; 9 ; 54.090.000 ; 45 ; 382.196 ; 73 ; 97.102.211 ; 5 ; 1.399.915 ; 11 ; 145.500.156 ; 16 ; 146.900.071 ; 89 ; 244.002.282 ;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 119 ; 22.056.507 ; 68 ; 2.289.525 ; 8.301 ; 32.235.858 ; 394 ; 27.192.066 ; 8.882 ; 83.773.956 ; 183 ; 63.123.772 ; 215 ; 89.723.182 ; 398 ; 152.846.955 ; 9.280 ; 236.620.910 ;
49;15.114.366;BANCO BOCOM BBM S.A.; 10 ; 3.758.844 ; 3 ; 6.923.175 ; 19 ; 12.407.022 ; 145 ; 7.379.247 ; 177 ; 30.468.288 ; 3 ; 206.515 ; 22 ; 205.207.154 ; 25 ; 205.413.669 ; 202 ; 235.881.957 ;
50;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 10 ; 2.323.633 ; 42 ; 2.234.713 ; 3.260 ; 93.417.281 ; 193 ; 4.596.548 ; 3.505 ; 102.572.174 ; 44 ; 2.211.262 ; 126 ; 91.120.324 ; 170 ; 93.331.586 ; 3.675 ; 195.903.760 ;
51;03.609.817;BANCO CARGILL S.A.; 42 ; 11.072.805 ;;; 5 ; 2.538.651 ; 10 ; 939.860 ; 57 ; 14.551.316 ; 2 ; 100.000.000 ; 2 ; 75.000.000 ; 4 ; 175.000.000 ; 61 ; 189.551.316 ;
52;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 176 ; 3.821.314 ; 983 ; 30.251.332 ; 4.207 ; 27.082.681 ; 2.387 ; 30.509.265 ; 7.753 ; 91.664.592 ; 519 ; 53.334.053 ; 266 ; 23.425.176 ; 785 ; 76.759.229 ; 8.538 ; 168.423.821 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 200 ; 4.759.784 ; 1.701 ; 29.683.562 ; 1.549 ; 20.770.531 ; 3.021 ; 30.474.718 ; 6.471 ; 85.688.595 ; 436 ; 57.978.522 ; 105 ; 23.287.626 ; 541 ; 81.266.148 ; 7.012 ; 166.954.743 ;
54;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 3 ; 697.841 ; 61 ; 1.930.338 ; 130 ; 42.421.335 ; 629 ; 30.336.541 ; 823 ; 75.386.056 ; 148 ; 35.550.968 ; 60 ; 46.409.556 ; 208 ; 81.960.524 ; 1.031 ; 157.346.581 ;
55;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 628 ; 33.984.730 ; 560 ; 25.405.225 ; 373 ; 7.869.939 ; 405 ; 35.462.770 ; 1.966 ; 102.722.663 ; 22 ; 35.822.155 ; 19 ; 16.822.251 ; 41 ; 52.644.406 ; 2.007 ; 155.367.069 ;
56;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 27 ; 27.741.522 ; 45 ; 5.966.399 ; 57 ; 29.453.216 ; 55 ; 29.841.944 ; 184 ; 93.003.081 ; 30 ; 8.652.467 ; 26 ; 30.082.454 ; 56 ; 38.734.921 ; 240 ; 131.738.002 ;
57;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 27 ; 50.704.924 ; 6 ; 8.315.000 ; 33 ; 59.019.924 ; 2 ; 4.850.000 ; 19 ; 46.788.000 ; 21 ; 51.638.000 ; 54 ; 110.657.924 ;
58;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 32 ; 14.384.703 ; 108 ; 14.990.721 ; 15 ; 4.336.885 ; 60 ; 8.652.529 ; 215 ; 42.364.838 ; 24 ; 32.715.251 ; 24 ; 29.708.999 ; 48 ; 62.424.250 ; 263 ; 104.789.089 ;
