Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MAIO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
36;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 141 ; 87.728.392 ; 661 ; 117.965.164 ; 330 ; 55.787.835 ; 453 ; 44.643.139 ; 1.585 ; 306.124.531 ; 86 ; 144.383.106 ; 88 ; 137.326.809 ; 174 ; 281.709.915 ; 1.759 ; 587.834.446 ;
37;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 85 ; 120.319.395 ; 281 ; 35.150.591 ; 20 ; 124.458.850 ; 268 ; 145.756.380 ; 654 ; 425.685.217 ; 32 ; 42.711.457 ; 37 ; 106.749.706 ; 69 ; 149.461.163 ; 723 ; 575.146.380 ;
38;45.246.410;BANCO GENIAL S.A.; 82 ; 7.000.536 ; 20 ; 1.873.353 ; 239 ; 27.959.890 ; 535 ; 273.007.225 ; 876 ; 309.841.005 ; 62 ; 241.639.838 ; 6 ; 1.610.094 ; 68 ; 243.249.932 ; 944 ; 553.090.936 ;
39;71.027.866;BANCO BS2 S.A.; 339 ; 62.184.157 ; 1.395 ; 54.601.358 ; 6.835 ; 128.515.791 ; 19.708 ; 81.294.062 ; 28.277 ; 326.595.368 ; 44 ; 40.237.256 ; 59 ; 114.658.603 ; 103 ; 154.895.859 ; 28.380 ; 481.491.227 ;
40;10.690.848;BANCO DA CHINA BRASIL S.A.; 27 ; 140.113.905 ; 22 ; 3.632.029 ; 23 ; 46.368.181 ; 81 ; 72.046.332 ; 153 ; 262.160.446 ; 47 ; 43.918.391 ; 74 ; 154.725.173 ; 121 ; 198.643.564 ; 274 ; 460.804.010 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 13 ; 92.671.933 ; 21 ; 26.857.610 ; 26 ; 109.524.276 ; 102 ; 32.328.922 ; 162 ; 261.382.741 ; 8 ; 53.495.460 ; 13 ; 92.495.970 ; 21 ; 145.991.430 ; 183 ; 407.374.171 ;
42;33.923.798;BANCO MÁXIMA S.A.; 114 ; 5.972.777 ; 359 ; 10.766.809 ; 13.659 ; 80.891.253 ; 50.932 ; 136.961.056 ; 65.064 ; 234.591.895 ; 125 ; 110.602.358 ; 56 ; 36.906.626 ; 181 ; 147.508.984 ; 65.245 ; 382.100.879 ;
43;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 681 ; 34.319.082 ; 825 ; 43.597.740 ; 475 ; 125.321.000 ; 374 ; 16.134.200 ; 2.355 ; 219.372.022 ; 18 ; 19.231.203 ; 4 ; 120.268.936 ; 22 ; 139.500.140 ; 2.377 ; 358.872.161 ;
44;30.723.886;BANCO MODAL S.A.; 2 ; 152.180 ; 12 ; 4.032.091 ; 99 ; 83.290.404 ; 112 ; 40.580.687 ; 225 ; 128.055.361 ; 8 ; 70.832.166 ; 11 ; 105.005.779 ; 19 ; 175.837.945 ; 244 ; 303.893.306 ;
45;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 53 ; 92.565.515 ; 52 ; 115.972.260 ; 99 ; 36.353.992 ; 204 ; 244.891.767 ; 49 ; 20.755.707 ; 10 ; 7.797.810 ; 59 ; 28.553.517 ; 263 ; 273.445.284 ;
