Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mar/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
34;28.195.667;BANCO ABC BRASIL S.A.; 139 ; 27.519.661 ; 345 ; 38.434.869 ; 60 ; 182.497.222 ; 753 ; 268.587.089 ; 1.297 ; 517.038.841 ; 128 ; 734.020.118 ; 141 ; 313.736.701 ; 269 ; 1.047.756.819 ; 1.566 ; 1.564.795.660 ;
35;13.059.145;BEXS BANCO DE CÂMBIO S/A; 80 ; 467.298.477 ; 404 ; 10.092.048 ; 492 ; 104.408.894 ; 1.261 ; 172.508.732 ; 2.237 ; 754.308.151 ; 643 ; 173.616.637 ; 758 ; 562.988.315 ; 1.401 ; 736.604.952 ; 3.638 ; 1.490.913.103 ;
36;68.900.810;BANCO RENDIMENTO S.A.; 29 ; 2.558.776 ; 135 ; 14.994.542 ; 27.578 ; 229.180.162 ; 3.627 ; 157.379.713 ; 31.369 ; 404.113.193 ; 908 ; 467.263.422 ; 21.159 ; 548.163.810 ; 22.067 ; 1.015.427.231 ; 53.436 ; 1.419.540.424 ;
37;78.632.767;BANCO OURINVEST S.A.; 56 ; 38.862.978 ; 637 ; 28.030.758 ; 692 ; 82.264.188 ; 1.742 ; 71.728.094 ; 3.127 ; 220.886.018 ; 990 ; 507.756.604 ; 13.930 ; 483.716.059 ; 14.920 ; 991.472.663 ; 18.047 ; 1.212.358.681 ;
38;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 271 ; 123.908.285 ; 492 ; 170.594.396 ; 763 ; 294.502.681 ; 75 ; 301.287.461 ; 54 ; 303.986.679 ; 129 ; 605.274.140 ; 892 ; 899.776.821 ;
39;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.304 ; 194.494.470 ; 2.855 ; 145.373.766 ; 1.033 ; 78.411.446 ; 3.268 ; 141.902.415 ; 9.460 ; 560.182.096 ; 84 ; 130.094.637 ; 94 ; 113.855.563 ; 178 ; 243.950.200 ; 9.638 ; 804.132.296 ;
40;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 273 ; 86.427.990 ; 229 ; 40.719.387 ; 106 ; 253.145.875 ; 503 ; 19.461.709 ; 1.111 ; 399.754.962 ; 55 ; 42.861.304 ; 66 ; 320.229.674 ; 121 ; 363.090.978 ; 1.232 ; 762.845.940 ;
41;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 51 ; 107.618.318 ; 39 ; 74.615.290 ; 28 ; 222.391.598 ; 216 ; 38.621.897 ; 334 ; 443.247.102 ; 7 ; 33.058.896 ; 21 ; 268.060.140 ; 28 ; 301.119.035 ; 362 ; 744.366.137 ;
42;03.609.817;BANCO CARGILL S.A.; 68 ; 164.602.117 ; 3 ; 165.841 ; 35 ; 107.225.611 ; 47 ; 46.415.870 ; 153 ; 318.409.440 ; 4 ; 20.247.716 ; 16 ; 245.500.000 ; 20 ; 265.747.716 ; 173 ; 584.157.155 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 34 ; 238.708.208 ; 49 ; 11.801.265 ; 28 ; 18.507.246 ; 147 ; 6.028.051 ; 258 ; 275.044.770 ; 71 ; 23.724.845 ; 75 ; 260.548.627 ; 146 ; 284.273.472 ; 404 ; 559.318.242 ;
