Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;68.900.810;BANCO RENDIMENTO S.A.; 115 ; 13.719.355 ; 347 ; 150.264.691 ; 606.037 ; 825.399.202 ; 6.567 ; 184.162.328 ; 613.066 ; 1.173.545.576 ; 2.090 ; 372.315.450 ; 15.986 ; 913.780.248 ; 18.076 ; 1.286.095.698 ; 631.142 ; 2.459.641.274 ;
27;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 21 ; 94.930.525 ; 21 ; 62.647.518 ; 28 ; 653.068.684 ; 193 ; 33.676.218 ; 263 ; 844.322.946 ; 25 ; 244.212.326 ; 93 ; 1.325.142.192 ; 118 ; 1.569.354.518 ; 381 ; 2.413.677.464 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 115 ; 6.338.110 ; 1.290 ; 65.892.296 ; 354 ; 21.079.080 ; 23.555 ; 53.954.426 ; 25.314 ; 147.263.912 ; 724 ; 1.000.374.561 ; 830 ; 904.466.890 ; 1.554 ; 1.904.841.451 ; 26.868 ; 2.052.105.363 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 173 ; 509.057.432 ; 28 ; 15.346.355 ; 178 ; 185.072.246 ; 356 ; 209.129.626 ; 735 ; 918.605.659 ; 134 ; 307.499.994 ; 153 ; 745.416.595 ; 287 ; 1.052.916.589 ; 1.022 ; 1.971.522.248 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 880 ; 176.018.417 ; 2.473 ; 307.474.372 ; 176.570 ; 259.103.709 ; 5.218 ; 245.979.367 ; 185.141 ; 988.575.866 ; 716 ; 503.838.005 ; 2.028 ; 468.718.387 ; 2.744 ; 972.556.391 ; 187.885 ; 1.961.132.258 ;
31;07.679.404;BANCO TOPÁZIO S.A.; 83 ; 35.867.426 ; 79 ; 9.901.147 ; 423 ; 220.618.376 ; 1.093 ; 675.558.809 ; 1.678 ; 941.945.758 ; 956 ; 673.318.627 ; 2.931 ; 244.404.618 ; 3.887 ; 917.723.245 ; 5.565 ; 1.859.669.002 ;
32;58.160.789;BANCO SAFRA S.A.; 394 ; 169.860.006 ; 1.729 ; 294.882.914 ; 1.642 ; 395.907.415 ; 3.858 ; 282.865.370 ; 7.623 ; 1.143.515.706 ; 596 ; 317.774.068 ; 576 ; 305.012.270 ; 1.172 ; 622.786.338 ; 8.795 ; 1.766.302.044 ;
33;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 210 ; 244.702.345 ; 1.149 ; 241.021.599 ; 532 ; 420.386.047 ; 816 ; 202.835.085 ; 2.707 ; 1.108.945.075 ; 101 ; 215.772.852 ; 119 ; 425.796.881 ; 220 ; 641.569.732 ; 2.927 ; 1.750.514.808 ;
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 111 ; 209.439.178 ; 398 ; 114.839.901 ; 108 ; 175.520.571 ; 216 ; 65.114.590 ; 833 ; 564.914.240 ; 164 ; 480.490.151 ; 188 ; 672.483.705 ; 352 ; 1.152.973.856 ; 1.185 ; 1.717.888.097 ;
35;58.616.418;BANCO FIBRA S.A.; 195 ; 236.003.466 ; 1.629 ; 303.024.013 ; 63 ; 31.176.087 ; 424 ; 35.439.397 ; 2.311 ; 605.642.962 ; 146 ; 549.088.488 ; 122 ; 419.146.611 ; 268 ; 968.235.099 ; 2.579 ; 1.573.878.061 ;
36;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.084 ; 99.499.518 ; 814 ; 49.987.845 ; 681 ; 25.964.404 ; 979 ; 580.903.966 ; 3.558 ; 756.355.732 ; 20 ; 571.613.573 ; 30 ; 64.928.419 ; 50 ; 636.541.993 ; 3.608 ; 1.392.897.725 ;
