Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MARÄO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
26;68.900.810;BANCO RENDIMENTO S.A.; 1 ; 100.000 ; 138 ; 4.810.209 ; 3.151 ; 38.278.310 ; 2.753 ; 176.881.846 ; 6.043 ; 220.070.365 ; 370 ; 466.576.027 ; 6.107 ; 287.098.862 ; 6.477 ; 753.674.889 ; 12.520 ; 973.745.253 ;;;;
27;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 14 ; 76.930.496 ; 11 ; 9.060.971 ; 24 ; 11.773.565 ; 60 ; 25.842.292 ; 109 ; 123.607.324 ; 44 ; 382.702.371 ; 63 ; 466.361.485 ; 107 ; 849.063.855 ; 216 ; 972.671.179 ;;;;
28;28.195.667;BANCO ABC BRASIL S.A.; 51 ; 40.901.352 ; 123 ; 16.241.972 ; 15 ; 88.017.469 ; 243 ; 81.860.607 ; 432 ; 227.021.400 ; 18 ; 474.800.334 ; 16 ; 195.645.364 ; 34 ; 670.445.698 ; 466 ; 897.467.098 ;;;;
29;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 23 ; 53.654.503 ; 2 ; 193.942 ; 12 ; 2.686.216 ; 61 ; 7.044.678 ; 98 ; 63.579.338 ; 57 ; 352.602.155 ; 56 ; 405.125.192 ; 113 ; 757.727.347 ; 211 ; 821.306.685 ;;;;
30;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 4 ; 665.801 ; 6 ; 117.811 ; 18 ; 25.142.079 ; 23 ; 555.147 ; 51 ; 26.480.838 ; 48 ; 382.160.285 ; 74 ; 409.745.835 ; 122 ; 791.906.120 ; 173 ; 818.386.958 ;;;;
31;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 108 ; 257.956.528 ; 108 ; 98.732.206 ; 216 ; 356.688.734 ; 9 ; 113.134.831 ; 67 ; 272.634.071 ; 76 ; 385.768.902 ; 292 ; 742.457.636 ;;;;
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 16 ; 326.150.000 ; 1 ; 16.600.000 ; 17 ; 342.750.000 ; 1 ; 16.600.000 ; 16 ; 326.150.000 ; 17 ; 342.750.000 ; 34 ; 685.500.000 ;;;;
33;49.336.860;ING BANK N.V.; 14 ; 83.145.633 ; 1 ; 565.000 ; 13 ; 142.092.139 ; 69 ; 51.928.099 ; 97 ; 277.730.871 ; 5 ; 66.036.080 ; 12 ; 260.453.400 ; 17 ; 326.489.480 ; 114 ; 604.220.351 ;;;;
34;61.186.680;BANCO BMG S.A.;;;;;;; 13 ; 309.454.091 ; 13 ; 309.454.091 ; 9 ; 258.700.000 ; 1 ; 25.000.000 ; 10 ; 283.700.000 ; 23 ; 593.154.091 ;;;;
35;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 30 ; 138.635.838 ;;; 37 ; 39.870.418 ; 61 ; 312.088.127 ; 128 ; 490.594.384 ; 4 ; 11.765.809 ; 2 ; 11.000.000 ; 6 ; 22.765.809 ; 134 ; 513.360.193 ;;;;
36;00.360.305;CAIXA ECONOMICA FEDERAL; 104 ; 15.479.927 ; 191 ; 10.705.459 ; 4.347 ; 33.057.612 ; 8.856 ; 103.630.957 ; 13.498 ; 162.873.955 ; 120 ; 204.122.715 ; 117 ; 139.558.722 ; 237 ; 343.681.437 ; 13.735 ; 506.555.392 ;;;;
37;13.059.145;BEXS BANCO DE C∂MBIO S/A; 17 ; 127.102.028 ; 137 ; 7.504.851 ; 74 ; 5.575.974 ; 293 ; 17.884.503 ; 521 ; 158.067.357 ; 266 ; 114.535.636 ; 291 ; 222.211.514 ; 557 ; 336.747.150 ; 1.078 ; 494.814.507 ;;;;
38;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 5 ; 2.235.381 ; 4 ; 93.148 ; 4 ; 13.181 ; 4 ; 35.506 ; 17 ; 2.377.217 ; 58 ; 232.510.000 ; 54 ; 234.250.000 ; 112 ; 466.760.000 ; 129 ; 469.137.217 ;;;;
39;15.114.366;BANCO BBM S/A; 12 ; 12.265.392 ; 4 ; 12.378.227 ; 13 ; 2.322.695 ; 20 ; 1.565.373 ; 49 ; 28.531.686 ; 19 ; 225.980.028 ; 22 ; 181.986.662 ; 41 ; 407.966.689 ; 90 ; 436.498.375 ;;;;
40;62.144.175;BANCO PINE S.A.; 12 ; 52.870.198 ; 49 ; 29.669.492 ; 11 ; 115.386.253 ; 76 ; 18.354.741 ; 148 ; 216.280.684 ; 7 ; 16.818.681 ; 9 ; 141.813.923 ; 16 ; 158.632.604 ; 164 ; 374.913.287 ;;;;
41;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 714 ; 86.982.843 ; 1.211 ; 94.735.897 ; 326 ; 34.348.742 ; 1.378 ; 18.541.393 ; 3.629 ; 234.608.875 ; 35 ; 63.945.159 ; 29 ; 72.554.954 ; 64 ; 136.500.113 ; 3.693 ; 371.108.988 ;;;;
42;07.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 143 ; 77.745.906 ; 187 ; 35.832.157 ; 43 ; 56.622.291 ; 222 ; 13.403.590 ; 595 ; 183.603.943 ; 34 ; 42.456.383 ; 35 ; 126.928.024 ; 69 ; 169.384.407 ; 664 ; 352.988.350 ;;;;
43;03.609.817;BANCO CARGILL S.A.; 10 ; 149.956.090 ; 17 ; 20.851.440 ; 1 ; 25.000 ; 12 ; 3.930.808 ; 40 ; 174.763.337 ; 6 ; 22.250.000 ; 7 ; 149.000.000 ; 13 ; 171.250.000 ; 53 ; 346.013.337 ;;;;
44;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 193 ; 781.911 ; 3.025 ; 23.294.910 ; 3.219 ; 24.162.851 ; 673 ; 157.733.683 ; 176 ; 135.313.346 ; 849 ; 293.047.029 ; 4.068 ; 317.209.880 ;;;;
45;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 35 ; 1.034.027 ; 414 ; 11.779.761 ; 485 ; 5.384.553 ; 1.441 ; 92.311.203 ; 2.375 ; 110.509.545 ; 3.039 ; 140.295.868 ; 127 ; 42.555.237 ; 3.166 ; 182.851.104 ; 5.541 ; 293.360.649 ;;;;
46;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 3 ; 294.250 ; 1 ; 3.005 ; 120 ; 56.041.549 ; 116 ; 36.630.131 ; 240 ; 92.968.935 ; 47 ; 73.262.526 ; 51 ; 90.745.912 ; 98 ; 164.008.439 ; 338 ; 256.977.373 ;;;;
47;03.512.293;FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.; 2 ; 92.206 ; 13 ; 227.011 ; 208 ; 2.037.642 ; 789 ; 13.497.856 ; 1.012 ; 15.854.715 ; 964 ; 121.844.110 ; 329 ; 110.238.643 ; 1.293 ; 232.082.753 ; 2.305 ; 247.937.468 ;;;;
48;78.632.767;BANCO OURINVEST S.A.; 4 ; 29.443.686 ; 24 ; 1.481.499 ; 128 ; 1.397.687 ; 448 ; 7.673.319 ; 604 ; 39.996.192 ; 205 ; 89.340.318 ; 2.406 ; 102.251.798 ; 2.611 ; 191.592.116 ; 3.215 ; 231.588.308 ;;;;
49;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 26 ; 1.008.165 ; 1.441 ; 69.991.614 ; 166 ; 2.410.915 ; 2.155 ; 37.735.793 ; 3.788 ; 111.146.487 ; 1.183 ; 108.210.899 ; 47 ; 5.858.033 ; 1.230 ; 114.068.932 ; 5.018 ; 225.215.419 ;;;;
50;04.913.129;CONFIDENCE CORRETORA DE C∂MBIO S.A.;;;;; 929 ; 9.130.052 ; 4.656 ; 74.971.165 ; 5.585 ; 84.101.217 ; 1.891 ; 97.253.873 ; 116 ; 34.193.169 ; 2.007 ; 131.447.042 ; 7.592 ; 215.548.259 ;;;;
51;71.027.866;BANCO BONSUCESSO S.A.;;;;; 48 ; 416.688 ; 171 ; 5.060.950 ; 219 ; 5.477.638 ; 93 ; 105.979.598 ; 345 ; 101.948.958 ; 438 ; 207.928.556 ; 657 ; 213.406.194 ;;;;
52;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 9 ; 111.648 ; 77 ; 1.283.521 ; 357 ; 3.002.398 ; 1.858 ; 32.137.040 ; 2.301 ; 36.534.607 ; 1.583 ; 86.421.027 ; 246 ; 56.109.396 ; 1.829 ; 142.530.423 ; 4.130 ; 179.065.030 ;;;;
53;33.923.798;BANCO MµXIMA S.A.; 35 ; 495.324 ; 289 ; 11.561.695 ; 50 ; 8.778.344 ; 270 ; 7.437.439 ; 644 ; 28.272.801 ; 242 ; 72.840.650 ; 1.173 ; 63.829.759 ; 1.415 ; 136.670.409 ; 2.059 ; 164.943.210 ;;;;
