Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;61.820.817;BANCO PAULISTA S.A.; 113 ; 51.354.676 ; 313 ; 23.890.567 ; 695 ; 96.950.273 ; 556 ; 68.970.324 ; 1.677 ; 241.165.839 ; 953 ; 270.098.460 ; 4.972 ; 333.073.022 ; 5.925 ; 603.171.482 ; 7.602 ; 844.337.321 ;;;;
27;71.027.866;BANCO BONSUCESSO S.A.; 2 ; 55.602 ;;; 30 ; 3.405.974 ; 97 ; 5.507.418 ; 129 ; 8.968.994 ; 216 ; 388.984.394 ; 236 ; 388.114.015 ; 452 ; 777.098.409 ; 581 ; 786.067.402 ;;;;
28;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 16 ; 24.136.196 ; 55 ; 13.272.735 ; 25 ; 156.517.503 ; 41 ; 7.334.412 ; 137 ; 201.260.846 ; 50 ; 177.122.737 ; 53 ; 337.906.523 ; 103 ; 515.029.260 ; 240 ; 716.290.106 ;;;;
29;11.703.662;BANCO CONFIDENCE DE CÂMBIO S.A.; 63 ; 2.165.226 ; 611 ; 35.792.936 ; 349 ; 60.455.106 ; 1.093 ; 45.285.639 ; 2.116 ; 143.698.908 ; 1.121 ; 260.294.965 ; 6.149 ; 246.084.260 ; 7.270 ; 506.379.225 ; 9.386 ; 650.078.132 ;;;;
30;49.336.860;ING BANK N.V.; 19 ; 40.671.788 ; 7 ; 12.879.119 ; 8 ; 1.538.500 ; 67 ; 24.123.571 ; 101 ; 79.212.979 ; 15 ; 286.282.510 ; 13 ; 276.890.124 ; 28 ; 563.172.634 ; 129 ; 642.385.613 ;;;;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 133 ; 28.868.370 ; 403 ; 46.493.834 ; 331 ; 188.737.844 ; 436 ; 70.500.219 ; 1.303 ; 334.600.266 ; 45 ; 102.166.785 ; 63 ; 200.729.988 ; 108 ; 302.896.773 ; 1.411 ; 637.497.039 ;;;;
32;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 37 ; 86.767.171 ; 8 ; 8.235.306 ; 75 ; 111.497.765 ; 145 ; 181.994.538 ; 265 ; 388.494.781 ; 15 ; 14.281.955 ; 20 ; 224.298.386 ; 35 ; 238.580.342 ; 300 ; 627.075.122 ;;;;
33;10.690.848;BANCO DA CHINA BRASIL S.A.; 12 ; 216.561.294 ; 10 ; 1.996.837 ; 14 ; 8.400.159 ; 27 ; 1.694.090 ; 63 ; 228.652.379 ; 12 ; 2.725.779 ; 32 ; 223.932.842 ; 44 ; 226.658.621 ; 107 ; 455.311.000 ;;;;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 28 ; 141.736.873 ; 126 ; 4.064.737 ; 157 ; 30.523.191 ; 364 ; 43.907.737 ; 675 ; 220.232.539 ; 191 ; 52.576.153 ; 203 ; 177.139.965 ; 394 ; 229.716.118 ; 1.069 ; 449.948.657 ;;;;
35;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 3.863.000 ; 17 ; 211.740.000 ; 18 ; 215.603.000 ; 17 ; 211.740.000 ; 1 ; 3.863.000 ; 18 ; 215.603.000 ; 36 ; 431.206.000 ;;;;
36;28.195.667;BANCO ABC BRASIL S.A.; 40 ; 6.760.917 ; 117 ; 16.393.588 ; 18 ; 6.331.680 ; 224 ; 20.952.889 ; 399 ; 50.439.074 ; 52 ; 224.877.134 ; 49 ; 87.346.681 ; 101 ; 312.223.816 ; 500 ; 362.662.890 ;;;;
37;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 89 ; 43.055.071 ; 177 ; 127.349.758 ; 266 ; 170.404.829 ; 30 ; 125.816.461 ; 8 ; 41.318.601 ; 38 ; 167.135.062 ; 304 ; 337.539.891 ;;;;
38;78.632.767;BANCO OURINVEST S.A.; 16 ; 15.875.523 ; 99 ; 4.174.713 ; 246 ; 16.737.127 ; 376 ; 10.720.135 ; 737 ; 47.507.499 ; 327 ; 130.499.049 ; 3.698 ; 113.995.595 ; 4.025 ; 244.494.644 ; 4.762 ; 292.002.143 ;;;;
39;68.900.810;BANCO RENDIMENTO S.A.; 11 ; 1.535.185 ; 29 ; 1.938.732 ; 6.833 ; 91.856.376 ; 957 ; 15.740.071 ; 7.830 ; 111.070.363 ; 269 ; 42.812.448 ; 4.599 ; 137.616.392 ; 4.868 ; 180.428.840 ; 12.698 ; 291.499.203 ;;;;
40;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 5 ; 30.487.109 ; 11 ; 25.022.959 ; 8 ; 100.250.206 ; 77 ; 3.043.194 ; 101 ; 158.803.469 ; 4 ; 8.774.346 ; 10 ; 98.774.527 ; 14 ; 107.548.874 ; 115 ; 266.352.342 ;;;;
41;61.186.680;BANCO BMG S.A.; 11 ; 13.355.915 ; 2 ; 388.056 ; 1 ; 175.000 ; 18 ; 90.918.489 ; 32 ; 104.837.460 ; 7 ; 103.410.000 ; 14 ; 42.368.875 ; 21 ; 145.778.875 ; 53 ; 250.616.335 ;;;;
42;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 788 ; 61.543.848 ; 863 ; 43.627.970 ; 344 ; 9.031.526 ; 980 ; 44.899.814 ; 2.975 ; 159.103.158 ; 23 ; 51.459.294 ; 33 ; 33.922.704 ; 56 ; 85.381.998 ; 3.031 ; 244.485.156 ;;;;
