Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
41;45.246.410;BANCO GENIAL S.A.; 423 ; 33.499.085 ; 349 ; 58.109.120 ; 2.538 ; 386.172.113 ; 4.594 ; 1.844.691.912 ; 7.904 ; 2.322.472.229 ; 472 ; 1.565.187.958 ; 68 ; 81.806.391 ; 540 ; 1.646.994.349 ; 8.444 ; 3.969.466.578 ;
42;00.997.185;BANCO B3 S.A.;;;;; 1.323 ; 1.346.934.008 ; 1.283 ; 1.570.754.699 ; 2.606 ; 2.917.688.708 ; 494 ; 539.058.697 ; 389 ; 315.250.109 ; 883 ; 854.308.806 ; 3.489 ; 3.771.997.514 ;
43;13.059.145;BEXS BANCO DE CÂMBIO S/A; 191 ; 563.360.534 ; 255 ; 26.617.503 ; 77.629 ; 399.019.059 ; 720.267 ; 1.085.109.732 ; 798.342 ; 2.074.106.829 ; 1.358 ; 840.908.304 ; 403 ; 698.651.301 ; 1.761 ; 1.539.559.605 ; 800.103 ; 3.613.666.434 ;
44;30.723.886;BANCO MODAL S.A.; 102 ; 55.799.315 ; 251 ; 43.967.555 ; 1.330 ; 684.857.435 ; 1.343 ; 930.835.611 ; 3.026 ; 1.715.459.916 ; 76 ; 929.767.565 ; 88 ; 693.651.717 ; 164 ; 1.623.419.282 ; 3.190 ; 3.338.879.198 ;
45;62.144.175;BANCO PINE S.A.; 326 ; 168.414.382 ; 2.893 ; 323.878.521 ; 39 ; 23.355.755 ; 465 ; 101.826.855 ; 3.723 ; 617.475.513 ; 201 ; 1.441.372.145 ; 717 ; 1.182.321.953 ; 918 ; 2.623.694.098 ; 4.641 ; 3.241.169.611 ;
46;10.690.848;BANCO DA CHINA BRASIL S.A.; 182 ; 728.878.666 ; 237 ; 67.328.084 ; 207 ; 412.369.611 ; 594 ; 347.801.156 ; 1.220 ; 1.556.377.517 ; 372 ; 369.796.390 ; 425 ; 1.095.943.701 ; 797 ; 1.465.740.091 ; 2.017 ; 3.022.117.608 ;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 1.363 ; 413.882.886 ; 893 ; 66.744.232 ; 95.964 ; 486.401.929 ; 6.062 ; 492.827.146 ; 104.282 ; 1.459.856.193 ; 1.968 ; 587.486.939 ; 2.211 ; 901.156.740 ; 4.179 ; 1.488.643.679 ; 108.461 ; 2.948.499.871 ;
48;15.114.366;BANCO BOCOM BBM S.A.; 156 ; 123.120.679 ; 879 ; 105.534.031 ; 292 ; 473.252.700 ; 1.866 ; 391.813.756 ; 3.193 ; 1.093.721.166 ; 85 ; 598.398.615 ; 115 ; 967.132.367 ; 200 ; 1.565.530.982 ; 3.393 ; 2.659.252.148 ;
49;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 7.000.000 ; 5 ; 7.392.103 ; 965 ; 190.620.481 ; 3.433 ; 936.810.687 ; 4.404 ; 1.141.823.270 ; 668 ; 1.000.973.714 ; 138 ; 309.135.000 ; 806 ; 1.310.108.714 ; 5.210 ; 2.451.931.984 ;
50;36.588.217;WISE BRASIL CORRETORA DE CâMBIO LTDA;;;;; 25.931 ; 10.350.096 ; 703.538 ; 665.824.781 ; 729.469 ; 676.174.877 ; 9.540 ; 1.187.168.149 ; 9.354 ; 531.691.492 ; 18.894 ; 1.718.859.641 ; 748.363 ; 2.395.034.518 ;
