Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Set/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
24;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 83 ; 257.103.110 ;;; 83 ; 257.103.110 ; 18 ; 5.450.000.000 ; 18 ; 5.450.000.000 ; 36,0 ; 10.900.000.000 ; 119 ; 11.157.103.110 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 371 ; 1.706.367.669 ; 282 ; 178.558.173 ; 523 ; 1.388.374.672 ; 2.604 ; 1.302.029.172 ; 3.780 ; 4.575.329.686 ; 203 ; 2.108.152.299 ; 253 ; 3.799.756.064 ; 456,0 ; 5.907.908.363 ; 4.236 ; 10.483.238.049 ;
26;11.932.017;STANDARD CHARTERED BANK (BRASIL) S.A. ñ BANCO DE INVESTIMENTO; 144 ; 773.541.344 ; 180 ; 529.300.240 ; 174 ; 125.733.164 ; 569 ; 544.844.610 ; 1.067 ; 1.973.419.358 ; 583 ; 4.243.795.905 ; 755 ; 4.062.984.153 ; 1.338,0 ; 8.306.780.059 ; 2.405 ; 10.280.199.417 ;
27;68.900.810;BANCO RENDIMENTO S.A.; 175 ; 9.104.116 ; 1.288 ; 76.962.324 ; 31.984 ; 483.398.805 ; 27.621 ; 1.666.126.199 ; 61.068 ; 2.235.591.444 ; 3.308 ; 4.227.058.598 ; 60.386 ; 2.882.724.276 ; 63.694,0 ; 7.109.782.874 ; 124.762 ; 9.345.374.318 ;
28;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.051 ; 964.577.544 ; 3.441 ; 1.312.042.803 ; 2.651 ; 1.951.232.626 ; 4.012 ; 576.375.522 ; 11.155 ; 4.804.228.497 ; 465 ; 1.475.454.654 ; 509 ; 2.487.599.788 ; 974,0 ; 3.963.054.442 ; 12.129 ; 8.767.282.938 ;
29;62.232.889;BANCO DAYCOVAL S.A.; 1.367 ; 335.560.239 ; 4.109 ; 488.802.748 ; 4.744 ; 809.803.994 ; 30.551 ; 859.566.439 ; 40.771 ; 2.493.733.421 ; 2.592 ; 3.226.875.005 ; 6.042 ; 2.983.643.617 ; 8.634,0 ; 6.210.518.622 ; 49.405 ; 8.704.252.043 ;
30;49.336.860;ING BANK N.V.; 231 ; 1.335.757.467 ; 27 ; 66.536.439 ; 92 ; 431.778.775 ; 634 ; 1.158.503.851 ; 984 ; 2.992.576.533 ; 90 ; 1.494.268.893 ; 132 ; 2.329.279.693 ; 222,0 ; 3.823.548.586 ; 1.206 ; 6.816.125.119 ;
31;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 57 ; 1.079.638.703 ; 70 ; 2.230.175.699 ; 127 ; 3.309.814.402 ; 71 ; 2.288.175.699 ; 58 ; 1.137.638.703 ; 129,0 ; 3.425.814.402 ; 256 ; 6.735.628.805 ;
32;00.360.305;CAIXA ECONOMICA FEDERAL; 1.394 ; 563.454.419 ; 1.897 ; 123.983.273 ; 41.807 ; 1.107.353.410 ; 46.639 ; 844.729.568 ; 91.737 ; 2.639.520.671 ; 989 ; 1.704.854.403 ; 961 ; 2.388.867.178 ; 1.950,0 ; 4.093.721.581 ; 93.687 ; 6.733.242.252 ;
33;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 104 ; 472.015.207 ; 33 ; 10.800.253 ; 142 ; 392.423.079 ; 457 ; 161.364.768 ; 736 ; 1.036.603.306 ; 506 ; 2.296.186.518 ; 539 ; 3.016.106.464 ; 1.045,0 ; 5.312.292.982 ; 1.781 ; 6.348.896.288 ;
