Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
25;02.801.938;BANCO MORGAN STANLEY S.A.; 64 ; 879.440.118 ; 223 ; 366.892.900 ; 747 ; 2.488.651.064 ; 879 ; 2.119.589.404 ; 1.913 ; 5.854.573.487 ; 33 ; 1.031.877.584 ; 54 ; 1.701.993.760 ; 87 ; 2.733.871.344 ; 2.000 ; 8.588.444.831 ;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 292 ; 1.135.300.483 ; 28 ; 16.859.193 ; 359 ; 1.108.278.644 ; 925 ; 1.483.324.256 ; 1.604 ; 3.743.762.576 ; 293 ; 2.090.102.181 ; 326 ; 2.745.302.437 ; 619 ; 4.835.404.618 ; 2.223 ; 8.579.167.194 ;
27;58.160.789;BANCO SAFRA S.A.; 604 ; 199.378.392 ; 1.746 ; 455.726.248 ; 102.749 ; 2.341.771.254 ; 70.340 ; 1.449.310.162 ; 175.439 ; 4.446.186.056 ; 1.119 ; 1.615.999.924 ; 1.242 ; 2.348.993.399 ; 2.361 ; 3.964.993.323 ; 177.800 ; 8.411.179.378 ;
28;19.307.785;BRAZA BANK S.A. BANCO DE CÂMBIO; 410 ; 25.751.213 ; 3.784 ; 431.113.877 ; 1.204 ; 165.830.404 ; 39.126 ; 165.584.083 ; 44.524 ; 788.279.577 ; 1.488 ; 3.818.219.529 ; 1.813 ; 3.426.736.019 ; 3.301 ; 7.244.955.547 ; 47.825 ; 8.033.235.124 ;
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 350 ; 705.419.304 ; 680 ; 229.280.820 ; 304 ; 798.785.834 ; 647 ; 364.952.944 ; 1.981 ; 2.098.438.902 ; 378 ; 1.955.155.395 ; 445 ; 2.975.966.794 ; 823 ; 4.931.122.190 ; 2.804 ; 7.029.561.092 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 960 ; 226.243.753 ; 2.881 ; 508.930.874 ; 195.391 ; 1.430.434.066 ; 182.895 ; 1.384.107.664 ; 382.127 ; 3.549.716.357 ; 1.723 ; 1.517.699.220 ; 6.266 ; 1.349.450.846 ; 7.989 ; 2.867.150.067 ; 390.116 ; 6.416.866.424 ;
31;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 16 ; 188.879.898 ; 43 ; 101.882.225 ; 60 ; 1.008.696.251 ; 549 ; 515.958.920 ; 668 ; 1.815.417.294 ; 99 ; 1.802.363.567 ; 130 ; 2.255.370.161 ; 229 ; 4.057.733.729 ; 897 ; 5.873.151.023 ;
32;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 433 ; 1.510.713.903 ; 625 ; 2.131.765.594 ; 1.058 ; 3.642.479.497 ; 69 ; 869.210.244 ; 45 ; 144.246.869 ; 114 ; 1.013.457.114 ; 1.172 ; 4.655.936.611 ;
33;68.900.810;BANCO RENDIMENTO S.A.; 29 ; 21.791.669 ; 439 ; 376.885.797 ; 291.694 ; 886.455.451 ; 15.038 ; 294.157.584 ; 307.200 ; 1.579.290.502 ; 5.215 ; 1.364.919.625 ; 27.347 ; 1.622.763.315 ; 32.562 ; 2.987.682.940 ; 339.762 ; 4.566.973.442 ;
34;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 14 ; 167.290.934 ;;; 14 ; 167.290.934 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 22 ; 4.202.135.309 ;
35;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 237 ; 335.912.768 ; 875 ; 174.620.012 ; 99 ; 746.583.324 ; 803 ; 784.287.194 ; 2.014 ; 2.041.403.298 ; 164 ; 824.931.099 ; 134 ; 913.545.980 ; 298 ; 1.738.477.079 ; 2.312 ; 3.779.880.377 ;
36;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 2.530.166 ; 1.179.721.857 ; 2.741.369 ; 1.219.890.892 ; 5.271.535 ; 2.399.612.749 ; 3.751 ; 696.384.739 ; 3.751 ; 656.217.968 ; 7.502 ; 1.352.602.707 ; 5.279.037 ; 3.752.215.456 ;
37;58.616.418;BANCO FIBRA S.A.; 259 ; 213.930.901 ; 1.803 ; 530.415.620 ; 167 ; 51.893.564 ; 1.866 ; 71.450.032 ; 4.095 ; 867.690.116 ; 375 ; 1.463.254.227 ; 334 ; 1.148.691.218 ; 709 ; 2.611.945.444 ; 4.804 ; 3.479.635.561 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 259 ; 354.431.373 ; 860 ; 375.147.300 ; 1.549 ; 602.536.765 ; 3.707 ; 422.650.024 ; 6.375 ; 1.754.765.462 ; 249 ; 531.557.567 ; 254 ; 710.014.370 ; 503 ; 1.241.571.937 ; 6.878 ; 2.996.337.399 ;
39;15.114.366;BANCO BOCOM BBM S.A.; 30 ; 11.844.949 ; 162 ; 29.841.509 ; 128 ; 380.930.238 ; 906 ; 269.391.130 ; 1.226 ; 692.007.825 ; 90 ; 1.136.887.014 ; 137 ; 1.123.247.035 ; 227 ; 2.260.134.049 ; 1.453 ; 2.952.141.874 ;
40;71.027.866;BANCO BS2 S.A.; 1.136 ; 317.398.749 ; 4.505 ; 246.222.871 ; 29.522 ; 576.231.601 ; 41.389 ; 620.776.942 ; 76.552 ; 1.760.630.164 ; 113 ; 438.787.378 ; 127 ; 488.414.766 ; 240 ; 927.202.144 ; 76.792 ; 2.687.832.307 ;
41;13.059.145;BEXS BANCO DE CÂMBIO S/A; 88 ; 303.985.542 ; 254 ; 70.159.594 ; 46.380 ; 209.581.303 ; 408.250 ; 821.938.622 ; 454.972 ; 1.405.665.061 ; 1.117 ; 762.679.339 ; 185 ; 401.702.815 ; 1.302 ; 1.164.382.154 ; 456.274 ; 2.570.047.215 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 12.000.000 ; 12 ; 4.601.857 ; 505 ; 252.223.104 ; 1.165 ; 808.204.584 ; 1.683 ; 1.077.029.545 ; 161 ; 805.033.485 ; 121 ; 285.921.733 ; 282 ; 1.090.955.218 ; 1.965 ; 2.167.984.763 ;
43;10.690.848;BANCO DA CHINA BRASIL S.A.; 89 ; 570.326.008 ; 39 ; 58.250.935 ; 123 ; 148.168.864 ; 354 ; 44.310.027 ; 605 ; 821.055.833 ; 142 ; 93.573.925 ; 230 ; 709.458.491 ; 372 ; 803.032.416 ; 977 ; 1.624.088.249 ;
44;00.997.185;BANCO B3 S.A.;;;;; 688 ; 608.497.299 ; 554 ; 623.423.317 ; 1.242 ; 1.231.920.615 ; 129 ; 139.179.905 ; 186 ; 124.226.577 ; 315 ; 263.406.482 ; 1.557 ; 1.495.327.097 ;
45;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 57 ; 90.132.246 ; 173 ; 665.423.048 ; 230 ; 755.555.295 ; 37 ; 646.902.331 ; 8 ; 68.974.419 ; 45 ; 715.876.750 ; 275 ; 1.471.432.045 ;
46;00.360.305;CAIXA ECONOMICA FEDERAL; 397 ; 162.879.738 ; 338 ; 14.674.473 ; 29.063 ; 162.885.926 ; 12.739 ; 293.525.016 ; 42.537 ; 633.965.153 ; 633 ; 319.186.659 ; 661 ; 322.379.984 ; 1.294 ; 641.566.643 ; 43.831 ; 1.275.531.796 ;
