Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
35;10.690.848;BANCO DA CHINA BRASIL S.A.; 160 ; 367.988.824 ; 189 ; 163.356.672 ; 200 ; 1.298.423.991 ; 417 ; 435.240.627 ; 966 ; 2.265.010.113 ; 181 ; 113.931.054 ; 317 ; 1.211.796.243 ; 498 ; 1.325.727.296 ; 1.464 ; 3.590.737.410 ;;;;
36;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 494 ; 521.437.681 ; 1.769 ; 215.196.457 ; 104 ; 438.161.662 ; 1.522 ; 715.762.342 ; 3.889 ; 1.890.558.143 ; 238 ; 752.625.757 ; 215 ; 759.280.604 ; 453 ; 1.511.906.362 ; 4.342 ; 3.402.464.505 ;;;;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 167 ; 803.038.391 ; 129 ; 908.293.774 ; 296 ; 1.711.332.165 ; 41 ; 855.434.498 ; 49 ; 751.145.115 ; 90 ; 1.606.579.613 ; 386 ; 3.317.911.778 ;;;;
38;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 130 ; 298.240.340 ;;; 150 ; 76.703.744 ; 3 ; 78.986 ; 283 ; 375.023.071 ; 34 ; 814.657.161 ; 83 ; 2.066.251.305 ; 117 ; 2.880.908.465 ; 400 ; 3.255.931.536 ;;;;
39;71.027.866;BANCO BS2 S.A.; 1.532 ; 381.304.475 ; 5.503 ; 268.785.379 ; 26.572 ; 679.582.262 ; 55.959 ; 458.874.379 ; 89.566 ; 1.788.546.494 ; 878 ; 555.206.172 ; 5.516 ; 869.447.252 ; 6.394 ; 1.424.653.424 ; 95.960 ; 3.213.199.919 ;;;;
40;00.360.305;CAIXA ECONOMICA FEDERAL; 868 ; 252.749.394 ; 428 ; 49.688.211 ; 69.402 ; 564.390.940 ; 5.467 ; 472.082.830 ; 76.165 ; 1.338.911.376 ; 1.471 ; 764.443.608 ; 1.532 ; 924.003.425 ; 3.003 ; 1.688.447.033 ; 79.168 ; 3.027.358.409 ;;;;
41;62.144.175;BANCO PINE S.A.; 139 ; 95.904.076 ; 1.295 ; 143.348.260 ; 62 ; 43.912.969 ; 246 ; 67.456.672 ; 1.742 ; 350.621.977 ; 354 ; 1.353.234.383 ; 755 ; 1.266.038.020 ; 1.109 ; 2.619.272.403 ; 2.851 ; 2.969.894.380 ;;;;
42;07.656.500;BANCO KDB DO BRASIL S.A.;;; 1 ; 5.068.046 ; 1.076 ; 392.504.477 ; 2.844 ; 1.017.741.798 ; 3.921 ; 1.415.314.320 ; 339 ; 981.439.097 ; 138 ; 251.550.000 ; 477 ; 1.232.989.097 ; 4.398 ; 2.648.303.417 ;;;;
43;33.923.798;BANCO MÁXIMA S.A.; 1.163 ; 459.940.321 ; 2.054 ; 179.898.522 ; 42.313 ; 429.483.178 ; 203.482 ; 527.240.980 ; 249.012 ; 1.596.563.001 ; 456 ; 288.058.021 ; 462 ; 471.784.978 ; 918 ; 759.842.999 ; 249.930 ; 2.356.406.000 ;;;;
44;00.997.185;BANCO B3 S.A.;;;;; 1.394 ; 645.856.958 ; 1.163 ; 830.632.830 ; 2.557 ; 1.476.489.788 ; 554 ; 484.825.851 ; 231 ; 300.100.391 ; 785 ; 784.926.243 ; 3.342 ; 2.261.416.031 ;;;;
45;30.723.886;BANCO MODAL S.A.; 126 ; 123.277.536 ; 573 ; 47.299.018 ; 1.302 ; 813.111.631 ; 925 ; 549.252.668 ; 2.926 ; 1.532.940.853 ; 58 ; 167.702.924 ; 80 ; 504.268.827 ; 138 ; 671.971.751 ; 3.064 ; 2.204.912.604 ;;;;
