Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Agosto/2025;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
29;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 3.067 ; 791.281.450 ; 11.676 ; 2.221.488.930 ; 480.024 ; 3.859.213.372 ; 296.318 ; 2.467.539.185 ; 791.085 ; 9.339.522.937 ; 2.576 ; 2.520.145.883 ; 11.814 ; 2.501.970.189 ; 14.390 ; 5.022.116.072 ; 805.475 ; 14.361.639.009 ;
30;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 64.089 ; 20.406.889 ; 2.388 ; 2.154.284 ; 10.440.013 ; 3.858.010.265 ; 13.429.960 ; 4.764.728.551 ; 23.936.450 ; 8.645.299.989 ; 8.077 ; 2.861.481.312 ; 7.638 ; 1.975.162.424 ; 15.715 ; 4.836.643.736 ; 23.952.165 ; 13.481.943.725 ;
31;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 91 ; 1.844.839.845 ; 18 ; 12.147.660 ; 197 ; 911.174.998 ; 355 ; 513.993.860 ; 661 ; 3.282.156.363 ; 401 ; 3.271.243.429 ; 453 ; 5.491.499.612 ; 854 ; 8.762.743.041 ; 1.515 ; 12.044.899.404 ;
32;11.703.662;BANCO TRAVELEX S.A.;BANCO TRAVELEX - PRUDENCIAL; 3.801 ; 437.697.444 ; 17.782 ; 644.075.051 ; 49.258 ; 1.153.522.963 ; 41.777 ; 2.027.396.477 ; 112.618 ; 4.262.691.935 ; 16.645 ; 4.357.847.277 ; 31.047 ; 3.320.168.179 ; 47.692 ; 7.678.015.456 ; 160.310 ; 11.940.707.391 ;
33;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 188 ; 118.056.329 ; 660 ; 143.563.449 ; 370 ; 938.775.649 ; 2.403 ; 1.145.213.524 ; 3.621 ; 2.345.608.951 ; 805 ; 4.268.946.673 ; 794 ; 4.336.220.741 ; 1.599 ; 8.605.167.414 ; 5.220 ; 10.950.776.365 ;
34;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 801 ; 560.046.405 ; 5.401 ; 842.623.623 ; 696 ; 437.498.243 ; 4.855 ; 815.004.277 ; 11.753 ; 2.655.172.548 ; 934 ; 4.301.395.938 ; 1.209 ; 3.454.690.798 ; 2.143 ; 7.756.086.736 ; 13.896 ; 10.411.259.284 ;
35;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 1.208 ; 962.363.711 ; 5.303 ; 590.812.220 ; 2.425 ; 959.372.948 ; 3.383 ; 811.043.636 ; 12.319 ; 3.323.592.515 ; 706 ; 3.148.408.909 ; 734 ; 3.736.626.620 ; 1.440 ; 6.885.035.529 ; 13.759 ; 10.208.628.044 ;
36;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 544 ; 284.647.941 ; 2.010 ; 1.454.703.588 ; 37.329 ; 1.280.519.941 ; 7.575 ; 1.178.428.540 ; 47.458 ; 4.198.300.010 ; 478 ; 3.425.331.387 ; 303 ; 2.329.866.374 ; 781 ; 5.755.197.761 ; 48.239 ; 9.953.497.771 ;
37;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 723 ; 517.967.554 ; 3.012 ; 961.391.928 ; 292 ; 179.739.395 ; 915 ; 143.761.860 ; 4.942 ; 1.802.860.737 ; 595 ; 4.165.696.675 ; 622 ; 3.823.586.219 ; 1.217 ; 7.989.282.894 ; 6.159 ; 9.792.143.631 ;
38;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE C MBIO - PRUDENCIAL; 1.399 ; 2.322.974.036 ; 5.958 ; 319.838.885 ; 301.888 ; 518.471.642 ; 301.226 ; 1.757.970.762 ; 610.471 ; 4.919.255.325 ; 9.087 ; 1.553.311.483 ; 9.324 ; 2.326.220.206 ; 18.411 ; 3.879.531.689 ; 628.882 ; 8.798.787.014 ;
