Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em FEVEREIRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
52;78.632.767;BANCO OURINVEST S.A.;;; 3 ; 413.143 ; 110 ; 6.979.367 ; 400 ; 10.607.474 ; 513 ; 17.999.984 ; 182 ; 83.944.469 ; 2.062 ; 86.005.858 ; 2.244 ; 169.950.327 ; 2.757 ; 187.950.311 ;;;;
53;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 6 ; 91.238 ; 108 ; 2.949.683 ; 381 ; 3.023.959 ; 1.910 ; 33.516.791 ; 2.405 ; 39.581.671 ; 1.680 ; 88.274.132 ; 307 ; 54.877.015 ; 1.987 ; 143.151.147 ; 4.392 ; 182.732.818 ;;;;
54;62.144.175;BANCO PINE S.A.; 7 ; 11.864.088 ; 78 ; 26.981.804 ; 7 ; 401.340 ; 86 ; 36.646.695 ; 178 ; 75.893.926 ; 3 ; 100.084.462 ; 1 ; 84.400 ; 4 ; 100.168.862 ; 182 ; 176.062.788 ;;;;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 5 ; 131.195 ; 111 ; 1.553.573 ; 838 ; 8.986.424 ; 6.033 ; 77.714.562 ; 6.987 ; 88.385.754 ; 750 ; 71.077.947 ; 4 ; 141.926 ; 754 ; 71.219.873 ; 7.741 ; 159.605.627 ;;;;
56;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 59 ; 1.955.258 ; 1.059 ; 31.698.000 ; 594 ; 5.797.550 ; 2.397 ; 23.843.020 ; 4.109 ; 63.293.828 ; 448 ; 49.805.982 ; 46 ; 2.221.390 ; 494 ; 52.027.372 ; 4.603 ; 115.321.200 ;;;;
57;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 3 ; 110.968 ; 630 ; 47.503.038 ; 269 ; 1.082.829 ; 3.359 ; 7.557.666 ; 4.261 ; 56.254.501 ; 763 ; 55.196.799 ; 27 ; 967.173 ; 790 ; 56.163.973 ; 5.051 ; 112.418.474 ;;;;
58;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 523 ; 33.536.953 ; 253 ; 12.489.946 ; 104 ; 3.250.485 ; 289 ; 1.661.131 ; 1.169 ; 50.938.515 ; 23 ; 16.827.263 ; 73 ; 39.525.956 ; 96 ; 56.353.219 ; 1.265 ; 107.291.734 ;;;;
59;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.;;; 117 ; 2.628.593 ; 103 ; 235.276 ; 788 ; 44.627.120 ; 1.008 ; 47.490.989 ; 884 ; 52.173.697 ; 60 ; 5.171.546 ; 944 ; 57.345.243 ; 1.952 ; 104.836.232 ;;;;
60;03.609.817;BANCO CARGILL S.A.; 7 ; 43.646.571 ;;; 3 ; 12.116.461 ; 11 ; 3.358.824 ; 21 ; 59.121.856 ; 1 ; 1.500.000 ; 4 ; 41.500.000 ; 5 ; 43.000.000 ; 26 ; 102.121.856 ;;;;
61;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 12 ; 666.152 ; 203 ; 4.659.221 ; 323 ; 1.466.898 ; 1.454 ; 19.256.858 ; 1.992 ; 26.049.129 ; 1.041 ; 48.741.311 ; 596 ; 26.625.254 ; 1.637 ; 75.366.565 ; 3.629 ; 101.415.694 ;;;;
62;58.616.418;BANCO FIBRA S.A.; 83 ; 9.911.064 ; 179 ; 10.401.930 ; 125 ; 2.667.335 ; 290 ; 15.764.120 ; 677 ; 38.744.449 ; 38 ; 55.526.639 ; 17 ; 6.250.689 ; 55 ; 61.777.328 ; 732 ; 100.521.777 ;;;;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 26 ; 321.449 ; 862 ; 22.643.130 ; 510 ; 7.524.717 ; 2.434 ; 27.466.697 ; 3.832 ; 57.955.994 ; 360 ; 42.293.816 ; 1 ; 93.752 ; 361 ; 42.387.568 ; 4.193 ; 100.343.562 ;;;;
64;33.886.862;MAXIMA S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS;;;;; 114 ; 391.148 ; 2.359 ; 50.088.500 ; 2.473 ; 50.479.647 ; 388 ; 49.450.018 ; 3 ; 42.503 ; 391 ; 49.492.521 ; 2.864 ; 99.972.168 ;;;;
65;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 3 ; 88.791 ; 43 ; 575.149 ; 276 ; 1.463.804 ; 1.619 ; 14.412.348 ; 1.941 ; 16.540.090 ; 862 ; 45.908.621 ; 55 ; 32.552.802 ; 917 ; 78.461.423 ; 2.858 ; 95.001.513 ;;;;
66;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 27 ; 885.542 ; 873 ; 28.647.595 ; 369 ; 14.787.666 ; 746 ; 7.480.081 ; 2.015 ; 51.800.884 ; 275 ; 30.049.616 ; 5 ; 9.619.781 ; 280 ; 39.669.397 ; 2.295 ; 91.470.281 ;;;;
67;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 31 ; 1.988.173 ; 570 ; 2.144.527 ; 1.644 ; 21.211.117 ; 2.245 ; 25.343.817 ; 900 ; 40.346.131 ; 154 ; 19.476.222 ; 1.054 ; 59.822.354 ; 3.299 ; 85.166.171 ;;;;
68;61.024.352;BANCO INDUSVAL S.A.; 62 ; 26.743.542 ; 37 ; 3.660.574 ; 19 ; 314.407 ; 84 ; 3.764.630 ; 202 ; 34.483.153 ; 24 ; 14.204.673 ; 47 ; 33.904.353 ; 71 ; 48.109.026 ; 273 ; 82.592.179 ;;;;
69;67.391.821;S. HAYATA CORRETORA DE C∂MBIO S.A.; 5 ; 57.980 ; 351 ; 16.605.324 ; 99 ; 458.544 ; 4.390 ; 22.602.910 ; 4.845 ; 39.724.759 ; 735 ; 38.809.298 ; 1 ; 70.000 ; 736 ; 38.879.298 ; 5.581 ; 78.604.056 ;;;;
70;60.889.128;BANCO SOFISA S.A.; 116 ; 24.711.518 ; 99 ; 6.042.132 ; 16 ; 382.342 ; 115 ; 12.175.149 ; 346 ; 43.311.141 ; 10 ; 594.433 ; 5 ; 30.507.464 ; 15 ; 31.101.897 ; 361 ; 74.413.038 ;;;;
71;15.230.501;CATEDRAL CORRETORA DE C∂MBIO E T÷TULOS MOBILIµRIOS LTDA.;;; 1 ; 3.750 ;;; 1.262 ; 36.825.144 ; 1.263 ; 36.828.894 ; 111 ; 36.830.083 ;;; 111 ; 36.830.083 ; 1.374 ; 73.658.977 ;;;;
72;00.000.208;BRB - BANCO DE BRASILIA S.A.;;; 65 ; 26.453.716 ; 38 ; 5.144.332 ; 444 ; 3.485.858 ; 547 ; 35.083.906 ; 25 ; 30.421.951 ; 3 ; 6.049.538 ; 28 ; 36.471.489 ; 575 ; 71.555.395 ;;;;
73;30.723.886;BANCO MODAL S.A.; 12 ; 6.635.068 ; 80 ; 7.544.493 ; 7 ; 3.541.231 ; 43 ; 24.268.113 ; 142 ; 41.988.905 ; 17 ; 13.854.785 ; 15 ; 13.537.339 ; 32 ; 27.392.124 ; 174 ; 69.381.029 ;;;;
74;61.186.680;BANCO BMG S.A.;;;;;;; 4 ; 11.385.285 ; 4 ; 11.385.285 ; 4 ; 50.686.600 ;;; 4 ; 50.686.600 ; 8 ; 62.071.885 ;;;;
75;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 8 ; 4.081.018 ; 31 ; 1.663.214 ; 39 ; 848.603 ; 103 ; 3.660.285 ; 181 ; 10.253.120 ; 76 ; 26.099.870 ; 40 ; 25.671.395 ; 116 ; 51.771.266 ; 297 ; 62.024.386 ;;;;
