Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 119 ; 40.992.713 ; 81 ; 4.759.527 ; 7.485 ; 36.275.747 ; 2.403 ; 75.074.266 ; 10.088 ; 157.102.253 ; 142 ; 65.417.889 ; 152 ; 72.853.993 ; 294 ; 138.271.882 ; 10.382 ; 295.374.135 ;;
48;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 602 ; 109.791.252 ; 534 ; 35.208.797 ; 319 ; 5.298.286 ; 413 ; 8.458.931 ; 1.868 ; 158.757.266 ; 17 ; 19.372.416 ; 61 ; 90.769.824 ; 78 ; 110.142.240 ; 1.946 ; 268.899.506 ;;
49;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 7 ; 79.405.139 ; 10 ; 1.190.496 ; 11 ; 40.332.850 ; 23 ; 39.211.198 ; 51 ; 160.139.683 ; 5 ; 4.322.600 ; 10 ; 83.882.150 ; 15 ; 88.204.750 ; 66 ; 248.344.433 ;;
50;61.024.352;BANCO VOITER S.A.; 21 ; 10.453.790 ; 258 ; 72.315.046 ; 122 ; 29.985.166 ; 703 ; 33.990.034 ; 1.104 ; 146.744.036 ; 71 ; 79.140.834 ; 70 ; 15.036.787 ; 141 ; 94.177.621 ; 1.245 ; 240.921.657 ;;
51;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 7 ; 340.073 ; 94 ; 1.297.394 ; 716 ; 85.402.394 ; 6.637 ; 105.707.620 ; 7.454 ; 192.747.481 ; 545 ; 34.472.562 ; 70 ; 12.902.405 ; 615 ; 47.374.967 ; 8.069 ; 240.122.448 ;;
52;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 18 ; 1.496.042 ; 171 ; 4.783.172 ; 185 ; 76.756.117 ; 461 ; 66.664.298 ; 835 ; 149.699.629 ; 178 ; 32.157.951 ; 92 ; 38.945.324 ; 270 ; 71.103.275 ; 1.105 ; 220.802.904 ;;
53;45.246.410;BANCO GENIAL S.A.; 5 ; 242.355 ; 26 ; 1.848.503 ; 283 ; 46.129.464 ; 387 ; 91.801.249 ; 701 ; 140.021.571 ; 19 ; 48.522.158 ; 6 ; 1.770.203 ; 25 ; 50.292.361 ; 726 ; 190.313.932 ;;
54;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 43.664.639 ; 3 ; 130.290 ; 3 ; 1.524.342 ; 15 ; 1.107.616 ; 26 ; 46.426.887 ; 6 ; 47.427.744 ; 9 ; 93.633.763 ; 15 ; 141.061.507 ; 41 ; 187.488.394 ;;
55;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 37 ; 91.703.211 ; -   ; -   ; 43 ; 18.756.119 ; -   ; -   ; 80 ; 110.459.330 ; -   ; -   ; 5 ; 75.924.025 ; 5 ; 75.924.025 ; 85 ; 186.383.355 ;;
56;62.144.175;BANCO PINE S.A.; 62 ; 34.538.110 ; 290 ; 39.321.176 ; 13 ; 4.081.711 ; 444 ; 33.990.738 ; 809 ; 111.931.735 ; 16 ; 52.021.393 ; 10 ; 15.956.591 ; 26 ; 67.977.984 ; 835 ; 179.909.719 ;;
