Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas - Acumulado Janeiro-Abril/2024;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;31.872.495;BANCO C6 S.A.;BANCO C6 - PRUDENCIAL; 567 ; 704.191.657 ; 4.663 ; 643.987.647 ; 5.979 ; 1.586.737.969 ; 11.621 ; 1.778.152.964 ; 22.830 ; 4.713.070.237 ; 475 ; 3.972.969.569 ; 572 ; 3.315.227.726 ; 1.047 ; 7.288.197.295 ; 23.877 ; 12.001.267.532 ;
25;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 1.415 ; 450.113.258 ; 3.898 ; 525.229.950 ; 99.686 ; 3.900.534.223 ; 72.898 ; 836.503.459 ; 177.897 ; 5.712.380.890 ; 1.113 ; 1.333.915.483 ; 1.243 ; 4.306.861.613 ; 2.356 ; 5.640.777.096 ; 180.253 ; 11.353.157.986 ;
26;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 2.294 ; 504.678.761 ; 7.771 ; 349.487.914 ; 19.666 ; 1.978.697.090 ; 24.247 ; 2.963.507.761 ; 53.978 ; 5.796.371.526 ; 6.741 ; 2.486.927.754 ; 17.126 ; 1.641.264.915 ; 23.867 ; 4.128.192.669 ; 77.845 ; 9.924.564.195 ;
27;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 2.500 ; 385.676.841 ; 12.920 ; 695.303.857 ; 152.084 ; 1.453.535.287 ; 160.639 ; 2.046.756.027 ; 328.143 ; 4.581.272.012 ; 3.935 ; 2.281.507.399 ; 33.163 ; 1.318.379.501 ; 37.098 ; 3.599.886.900 ; 365.241 ; 8.181.158.912 ;
28;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 459 ; 417.799.905 ; 1.750 ; 294.238.180 ; 200 ; 280.861.884 ; 1.605 ; 634.140.524 ; 4.014 ; 1.627.040.493 ; 436 ; 3.480.949.979 ; 597 ; 2.899.042.584 ; 1.033 ; 6.379.992.563 ; 5.047 ; 8.007.033.056 ;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.;CREDIT AGRICOLE - PRUDENCIAL; 50 ; 669.066.132 ; 7 ; 14.330.536 ; 95 ; 77.423.469 ; 193 ; 60.151.116 ; 345 ; 820.971.253 ; 272 ; 2.593.430.573 ; 297 ; 3.250.621.525 ; 569 ; 5.844.052.098 ; 914 ; 6.665.023.351 ;
30;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 1.622 ; 288.515.823 ; 7.552 ; 778.863.140 ; 216.033 ; 1.643.214.907 ; 150.029 ; 930.699.075 ; 375.236 ; 3.641.292.945 ; 1.544 ; 1.481.348.367 ; 7.308 ; 1.525.721.623 ; 8.852 ; 3.007.069.990 ; 384.088 ; 6.648.362.935 ;
31;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 1.717 ; 301.430.146 ; 7.468 ; 1.523.505.063 ; 25.214 ; 678.930.910 ; 25.906 ; 621.862.067 ; 60.305 ; 3.125.728.186 ; 382 ; 2.247.346.569 ; 316 ; 1.061.475.791 ; 698 ; 3.308.822.360 ; 61.003 ; 6.434.550.546 ;
32;15.114.366;BANCO BOCOM BBM S.A.;BBM - PRUDENCIAL; 162 ; 85.916.719 ; 201 ; 125.337.289 ; 156 ; 729.463.408 ; 931 ; 640.935.111 ; 1.450 ; 1.581.652.527 ; 226 ; 2.027.965.181 ; 248 ; 2.161.035.703 ; 474 ; 4.189.000.884 ; 1.924 ; 5.770.653.411 ;
33;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 379 ; 646.481.816 ; 946 ; 861.688.872 ; 11.213 ; 258.820.444 ; 1.925 ; 431.640.917 ; 14.463 ; 2.198.632.049 ; 225 ; 1.870.817.038 ; 199 ; 1.409.797.819 ; 424 ; 3.280.614.857 ; 14.887 ; 5.479.246.906 ;
34;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 23.903 ; 6.599.118 ; 41 ; 10.301 ; 4.279.553 ; 1.657.559.680 ; 4.825.981 ; 1.737.301.142 ; 9.129.478 ; 3.401.470.241 ; 3.750 ; 779.068.797 ; 3.735 ; 708.385.643 ; 7.485 ; 1.487.454.440 ; 9.136.963 ; 4.888.924.681 ;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;SCOTIABANK BRASIL - PRUDENCIAL; 4 ; 3.616.111 ; 5 ; 6.203.838 ; 88 ; 465.218.998 ; 447 ; 1.032.621.440 ; 544 ; 1.507.660.387 ; 58 ; 1.725.157.619 ; 28 ; 1.115.674.989 ; 86 ; 2.840.832.608 ; 630 ; 4.348.492.995 ;
36;68.900.810;BANCO RENDIMENTO S.A.;RENDIMENTO - PRUDENCIAL; 105 ; 3.647.518 ; 1.261 ; 100.139.385 ; 630.031 ; 1.175.086.487 ; 14.724 ; 324.329.935 ; 646.121 ; 1.603.203.325 ; 5.506 ; 738.854.186 ; 19.147 ; 1.499.070.725 ; 24.653 ; 2.237.924.911 ; 670.774 ; 3.841.128.236 ;
37;58.616.418;BANCO FIBRA S.A.;BCO FIBRA S.A. - PRUDENCIAL; 379 ; 167.009.173 ; 2.336 ; 800.338.630 ; 135 ; 130.529.418 ; 569 ; 28.168.155 ; 3.419 ; 1.126.045.376 ; 298 ; 1.626.819.498 ; 233 ; 977.631.484 ; 531 ; 2.604.450.982 ; 3.950 ; 3.730.496.358 ;
38;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.;BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL; 605 ; 334.327.142 ; 2.218 ; 367.190.435 ; 1.323 ; 581.511.509 ; 1.879 ; 400.374.194 ; 6.025 ; 1.683.403.280 ; 247 ; 755.045.641 ; 246 ; 872.003.686 ; 493 ; 1.627.049.327 ; 6.518 ; 3.310.452.607 ;
39;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;CREDIT SUISSE - PRUDENCIAL; -   ; -   ; -   ; -   ; 343 ; 943.855.104 ; 385 ; 1.206.128.574 ; 728 ; 2.149.983.678 ; 48 ; 602.292.990 ; 45 ; 522.275.838 ; 93 ; 1.124.568.828 ; 821 ; 3.274.552.506 ;
40;13.059.145;EBURY BANCO DE CÂMBIO S.A.;EBURY BANCO DE CÂMBIO - PRUDENCIAL; 394 ; 472.867.592 ; 1.784 ; 93.407.923 ; 25.000 ; 536.268.555 ; 69.387 ; 892.224.964 ; 96.565 ; 1.994.769.034 ; 472 ; 547.712.056 ; 598 ; 536.488.064 ; 1.070 ; 1.084.200.120 ; 97.635 ; 3.078.969.154 ;
41;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;CCB - PRUDENCIAL; 150 ; 230.230.929 ; 388 ; 93.619.408 ; 94 ; 983.497.076 ; 576 ; 785.802.435 ; 1.208 ; 2.093.149.848 ; 141 ; 207.819.245 ; 99 ; 604.171.211 ; 240 ; 811.990.456 ; 1.448 ; 2.905.140.304 ;
42;07.656.500;BANCO KDB DO BRASIL S.A.;BCO KDB BRASIL S.A. - PRUDENCIAL; -   ; -   ; 6 ; 1.512.594 ; 647 ; 728.056.963 ; 1.163 ; 378.376.753 ; 1.816 ; 1.107.946.310 ; 78 ; 457.230.060 ; 344 ; 784.830.000 ; 422 ; 1.242.060.060 ; 2.238 ; 2.350.006.370 ;
43;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 676 ; 745.616.817 ; 562 ; 797.103.551 ; 1.238 ; 1.542.720.368 ; 129 ; 340.477.246 ; 164 ; 288.974.222 ; 293 ; 629.451.468 ; 1.531 ; 2.172.171.836 ;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 428 ; 63.117.996 ; 331 ; 12.462.377 ; 17.589 ; 935.680.962 ; 965 ; 74.594.917 ; 19.313 ; 1.085.856.252 ; 418 ; 75.313.372 ; 838 ; 987.055.221 ; 1.256 ; 1.062.368.593 ; 20.569 ; 2.148.224.845 ;
45;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;BNDES - PRUDENCIAL; 142 ; 288.546.590 ; -   ; -   ; 156 ; 60.895.325 ; 8 ; 405.332 ; 306 ; 349.847.247 ; 10 ; 630.100.000 ; 30 ; 863.899.823 ; 40 ; 1.493.999.823 ; 346 ; 1.843.847.070 ;
46;10.690.848;BANCO DA CHINA BRASIL S.A.;BCO DA CHINA BRASIL S.A. - PRUDENCIAL; 165 ; 457.025.159 ; 117 ; 24.995.285 ; 368 ; 120.494.718 ; 314 ; 62.894.886 ; 964 ; 665.410.048 ; 234 ; 315.451.668 ; 336 ; 804.812.137 ; 570 ; 1.120.263.805 ; 1.534 ; 1.785.673.853 ;
47;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL - PRUDENCIAL; 2.185 ; 623.255.597 ; 2.492 ; 179.671.535 ; 1.343 ; 88.840.138 ; 1.780 ; 52.283.158 ; 7.800 ; 944.050.428 ; 110 ; 114.227.365 ; 315 ; 598.107.427 ; 425 ; 712.334.792 ; 8.225 ; 1.656.385.220 ;
48;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 842 ; 31.039.442 ; 9.501 ; 166.904.460 ; 8.468 ; 335.438.523 ; 13.210 ; 380.759.996 ; 32.021 ; 914.142.421 ; 1.219 ; 343.833.958 ; 277 ; 162.119.794 ; 1.496 ; 505.953.752 ; 33.517 ; 1.420.096.173 ;
49;00.360.305;CAIXA ECONOMICA FEDERAL;CAIXA ECONÔMICA FEDERAL - PRUDENCIAL; 383 ; 152.411.038 ; 336 ; 24.922.667 ; 28.983 ; 201.779.212 ; 8.145 ; 300.379.493 ; 37.847 ; 679.492.410 ; 596 ; 340.529.884 ; 643 ; 362.632.551 ; 1.239 ; 703.162.435 ; 39.086 ; 1.382.654.845 ;
50;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.;FRENTE CC - PRUDENCIAL; 16 ; 225.912 ; 456 ; 9.885.153 ; 3.183 ; 491.498.725 ; 21.825 ; 553.365.335 ; 25.480 ; 1.054.975.125 ; 1.999 ; 168.596.222 ; 372 ; 97.876.673 ; 2.371 ; 266.472.895 ; 27.851 ; 1.321.448.020 ;
