Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Ago/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
32;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 56 ; 1.044.538.703 ; 57 ; 1.827.655.699 ; 113 ; 2.872.194.402 ; 58 ; 1.885.655.699 ; 57 ; 1.102.538.703 ; 115,0 ; 2.988.194.402 ; 228 ; 5.860.388.805 ;
33;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 95 ; 446.224.291 ; 30 ; 8.694.236 ; 118 ; 390.422.951 ; 402 ; 96.640.860 ; 645 ; 941.982.338 ; 408 ; 1.980.207.177 ; 447 ; 2.765.048.573 ; 855,0 ; 4.745.255.750 ; 1.500 ; 5.687.238.089 ;
34;28.195.667;BANCO ABC BRASIL S.A.; 453 ; 382.991.389 ; 902 ; 124.220.322 ; 198 ; 545.044.533 ; 1.964 ; 380.803.504 ; 3.517 ; 1.433.059.748 ; 125 ; 1.674.116.439 ; 207 ; 2.305.162.904 ; 332,0 ; 3.979.279.343 ; 3.849 ; 5.412.339.091 ;
35;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 977 ; 1.309.804.569 ; 991 ; 479.131.800 ; 1.968 ; 1.788.936.368 ; 66 ; 1.143.010.901 ; 471 ; 1.974.195.382 ; 537,0 ; 3.117.206.283 ; 2.505 ; 4.906.142.651 ;
36;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 10 ; 6.695.593 ; 22 ; 6.252.649 ; 117 ; 45.686.502 ; 275 ; 55.380.243 ; 424 ; 114.014.987 ; 274 ; 1.829.741.130 ; 451 ; 1.836.742.559 ; 725,0 ; 3.666.483.689 ; 1.149 ; 3.780.498.676 ;
37;34.111.187;BES INVESTIMENTO DO BRASIL S.A. - BANCO DE INVESTIMENTO; 24 ; 11.365.293 ; 4 ; 215.943 ; 990 ; 641.201.337 ; 1.049 ; 316.703.694 ; 2.067 ; 969.486.268 ; 329 ; 1.052.265.565 ; 339 ; 1.407.791.938 ; 668,0 ; 2.460.057.503 ; 2.735 ; 3.429.543.771 ;
38;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 6.098 ; 774.139.724 ; 10.395 ; 616.665.526 ; 2.920 ; 387.898.982 ; 12.308 ; 225.147.207 ; 31.721 ; 2.003.851.439 ; 272 ; 439.021.410 ; 273 ; 756.855.117 ; 545,0 ; 1.195.876.527 ; 32.266 ; 3.199.727.966 ;
39;13.059.145;BEXS BANCO DE C∂MBIO S/A; 134 ; 453.642.868 ; 1.116 ; 54.972.859 ; 1.054 ; 137.111.241 ; 2.877 ; 167.660.375 ; 5.181 ; 813.387.343 ; 2.234 ; 996.428.443 ; 2.272 ; 1.364.863.168 ; 4.506,0 ; 2.361.291.611 ; 9.687 ; 3.174.678.954 ;
40;15.114.366;BANCO BBM S/A; 181 ; 145.598.646 ; 22 ; 72.283.237 ; 119 ; 76.446.172 ; 301 ; 120.630.207 ; 623 ; 414.958.261 ; 130 ; 1.306.372.673 ; 175 ; 1.289.620.260 ; 305,0 ; 2.595.992.933 ; 928 ; 3.010.951.194 ;
41;52.937.216;BEXS CORRETORA DE C∂MBIO S/A; 1 ; 86.030 ;;; 1.808 ; 6.800.141 ; 25.384 ; 218.492.668 ; 27.193 ; 225.378.839 ; 5.506 ; 1.399.003.618 ; 1.309 ; 1.187.413.027 ; 6.815,0 ; 2.586.416.645 ; 34.008 ; 2.811.795.484 ;
