Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2021;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
44;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 73 ; 80.511.593 ; 470 ; 75.176.786 ; 17 ; 7.721.677 ; 207 ; 24.571.199 ; 767 ; 187.981.256 ; 45 ; 90.799.630 ; 26 ; 51.114.165 ; 71 ; 141.913.795 ; 838 ; 329.895.051 ;
45;13.059.145;BEXS BANCO DE CÂMBIO S/A; 15 ; 71.895.784 ; 8 ; 468.146 ; 5.442 ; 24.162.967 ; 43.944 ; 82.114.827 ; 49.409 ; 178.641.724 ; 78 ; 65.797.622 ; 31 ; 79.442.149 ; 109 ; 145.239.772 ; 49.518 ; 323.881.495 ;
46;00.997.185;BANCO B3 S.A.;;;;; 100 ; 117.376.053 ; 91 ; 114.155.477 ; 191 ; 231.531.530 ; 30 ; 27.021.000 ; 21 ; 30.244.400 ; 51 ; 57.265.400 ; 242 ; 288.796.930 ;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 80 ; 12.983.302 ; 52 ; 2.789.187 ; 8.120 ; 31.027.147 ; 430 ; 45.137.174 ; 8.682 ; 91.936.811 ; 167 ; 70.293.690 ; 180 ; 52.655.797 ; 347 ; 122.949.487 ; 9.029 ; 214.886.297 ;
48;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 20 ; 2.600.233 ; 30 ; 1.535.795 ; 2.375 ; 95.253.849 ; 172 ; 5.763.689 ; 2.597 ; 105.153.566 ; 46 ; 3.878.724 ; 134 ; 94.432.483 ; 180 ; 98.311.208 ; 2.777 ; 203.464.774 ;
49;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 3 ; 11.122.641 ; 104 ; 11.301.359 ; 3 ; 31.734.230 ; 80 ; 23.423.090 ; 190 ; 77.581.320 ; 12 ; 52.799.705 ; 6 ; 61.294.390 ; 18 ; 114.094.095 ; 208 ; 191.675.415 ;
50;33.923.798;BANCO MÁXIMA S.A.; 85 ; 7.367.009 ; 254 ; 6.580.342 ; 10.554 ; 55.971.750 ; 32.960 ; 65.767.798 ; 43.853 ; 135.686.899 ; 56 ; 34.401.524 ; 39 ; 19.739.908 ; 95 ; 54.141.432 ; 43.948 ; 189.828.331 ;
51;03.609.817;BANCO CARGILL S.A.; 21 ; 60.412.997 ; 1 ; 19.588 ; 6 ; 2.532.099 ; 28 ; 4.212.825 ; 56 ; 67.177.508 ;;; 4 ; 110.000.000 ; 4 ; 110.000.000 ; 60 ; 177.177.508 ;
52;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 26 ; 82.899.164 ; 5 ; 915.736 ; 31 ; 83.814.901 ; 2 ; 550.426 ; 22 ; 83.926.000 ; 24 ; 84.476.426 ; 55 ; 168.291.327 ;
53;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 30 ; 33.462.590 ; 221 ; 24.840.263 ; 11 ; 2.528.934 ; 46 ; 14.464.297 ; 308 ; 75.296.084 ; 35 ; 49.494.655 ; 35 ; 42.551.887 ; 70 ; 92.046.542 ; 378 ; 167.342.627 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 175 ; 3.673.501 ; 821 ; 25.808.441 ; 4.299 ; 26.598.446 ; 2.441 ; 32.693.373 ; 7.736 ; 88.773.762 ; 516 ; 50.790.921 ; 268 ; 22.786.394 ; 784 ; 73.577.314 ; 8.520 ; 162.351.076 ;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 210 ; 5.693.026 ; 1.512 ; 32.953.445 ; 1.455 ; 18.705.146 ; 3.008 ; 31.860.657 ; 6.185 ; 89.212.274 ; 395 ; 51.366.398 ; 87 ; 10.966.090 ; 482 ; 62.332.488 ; 6.667 ; 151.544.762 ;
56;15.114.366;BANCO BOCOM BBM S.A.; 11 ; 4.377.515 ; 3 ; 201.451 ; 13 ; 3.595.265 ; 137 ; 13.903.144 ; 164 ; 22.077.376 ; 6 ; 62.382.890 ; 8 ; 62.370.650 ; 14 ; 124.753.540 ; 178 ; 146.830.916 ;
57;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 563 ; 42.644.282 ; 505 ; 26.745.310 ; 303 ; 6.830.355 ; 414 ; 12.123.188 ; 1.785 ; 88.343.135 ; 9 ; 12.225.501 ; 13 ; 19.224.812 ; 22 ; 31.450.312 ; 1.807 ; 119.793.447 ;
58;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 22 ; 41.328.675 ; 35 ; 10.024.681 ; 36 ; 109.048 ; 56 ; 1.348.547 ; 149 ; 52.810.951 ; 28 ; 18.122.625 ; 19 ; 48.118.186 ; 47 ; 66.240.811 ; 196 ; 119.051.762 ;
59;92.894.922;BANCO ORIGINAL S.A.; 4 ; 521.317 ; 3 ; 22.136.578 ; 44 ; 1.278.111 ; 93 ; 5.817.360 ; 144 ; 29.753.366 ; 4 ; 15.105.592 ; 6 ; 70.105.441 ; 10 ; 85.211.033 ; 154 ; 114.964.399 ;
60;59.118.133;BANCO LUSO BRASILEIRO S.A.; 58 ; 6.487.429 ; 231 ; 21.772.166 ; 27 ; 11.756.507 ; 172 ; 14.870.695 ; 488 ; 54.886.798 ; 214 ; 37.585.455 ; 88 ; 19.183.951 ; 302 ; 56.769.406 ; 790 ; 111.656.204 ;
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 685 ; 42.900.724 ; 524 ; 32.268.678 ; 457 ; 8.480.314 ; 298 ; 6.387.115 ; 1.964 ; 90.036.831 ; 10 ; 4.192.895 ; 6 ; 17.053.175 ; 16 ; 21.246.070 ; 1.980 ; 111.282.901 ;
62;08.609.934;MONEYCORP BANCO DE CÂMBIO S.A.; 1 ; 452.595 ; 73 ; 2.019.000 ; 142 ; 4.163.338 ; 467 ; 39.392.430 ; 683 ; 46.027.364 ; 137 ; 45.049.642 ; 65 ; 7.686.569 ; 202 ; 52.736.210 ; 885 ; 98.763.574 ;
63;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 19 ; 20.826.291 ;;; 25 ; 5.810.759 ; 6 ; 28.168 ; 50 ; 26.665.217 ; 3 ; 50.109.161 ; 2 ; 20.000.000 ; 5 ; 70.109.161 ; 55 ; 96.774.378 ;
64;30.723.886;BANCO MODAL S.A.;;; 2 ; 730.348 ; 115 ; 38.628.191 ; 111 ; 16.410.372 ; 228 ; 55.768.910 ; 3 ; 5.037.569 ; 7 ; 31.042.974 ; 10 ; 36.080.543 ; 238 ; 91.849.453 ;
