Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Out/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
26;28.195.667;BANCO ABC BRASIL S.A.; 1.066 ; 838.589.410 ; 3.512 ; 868.271.277 ; 1.651 ; 2.000.490.642 ; 5.151 ; 2.141.239.370 ; 11.380 ; 5.848.590.699 ; 1.220 ; 8.152.895.906 ; 2.225 ; 7.864.270.656 ; 3.445 ; 16.017.166.562 ; 14.825 ; 21.865.757.261 ;;
27;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 860 ; 1.441.318.971 ; 1.836 ; 573.581.228 ; 797 ; 1.464.619.623 ; 1.659 ; 1.374.330.696 ; 5.152 ; 4.853.850.518 ; 1.085 ; 7.270.108.237 ; 1.243 ; 8.473.982.281 ; 2.328 ; 15.744.090.518 ; 7.480 ; 20.597.941.036 ;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 63 ; 631.211.508 ; 23 ; 3.903.700 ; 244 ; 982.072.959 ; 435 ; 746.256.816 ; 765 ; 2.363.444.983 ; 707 ; 8.401.114.762 ; 753 ; 9.281.942.634 ; 1.460 ; 17.683.057.396 ; 2.225 ; 20.046.502.379 ;;
29;62.232.889;BANCO DAYCOVAL S.A.; 2.596 ; 672.162.133 ; 8.098 ; 1.417.716.118 ; 480.469 ; 3.773.324.840 ; 466.526 ; 3.738.307.133 ; 957.689 ; 9.601.510.224 ; 4.149 ; 4.895.066.047 ; 16.877 ; 4.043.378.673 ; 21.026 ; 8.938.444.720 ; 978.715 ; 18.539.954.944 ;;
30;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 550 ; 805.997.683 ; 2.086 ; 447.161.215 ; 257 ; 4.190.233.864 ; 2.133 ; 4.035.802.105 ; 5.026 ; 9.479.194.867 ; 513 ; 3.513.743.785 ; 413 ; 3.973.430.708 ; 926 ; 7.487.174.493 ; 5.952 ; 16.966.369.360 ;;
31;58.160.789;BANCO SAFRA S.A.; 2.776 ; 1.338.511.164 ; 5.546 ; 1.192.139.603 ; 229.902 ; 3.528.005.830 ; 188.208 ; 2.694.928.753 ; 426.432 ; 8.753.585.350 ; 3.002 ; 2.996.524.289 ; 3.205 ; 4.072.537.084 ; 6.207 ; 7.069.061.373 ; 432.639 ; 15.822.646.723 ;;
32;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 36 ; 553.034.942 ; 63 ; 190.635.952 ; 196 ; 1.968.043.985 ; 1.202 ; 1.596.125.326 ; 1.497 ; 4.307.840.205 ; 192 ; 3.927.873.187 ; 249 ; 4.629.881.607 ; 441 ; 8.557.754.794 ; 1.938 ; 12.865.594.999 ;;
33;15.114.366;BANCO BOCOM BBM S.A.; 222 ; 134.206.283 ; 374 ; 308.072.887 ; 378 ; 1.476.995.394 ; 2.272 ; 642.246.850 ; 3.246 ; 2.561.521.414 ; 452 ; 4.671.675.136 ; 552 ; 5.017.792.900 ; 1.004 ; 9.689.468.036 ; 4.250 ; 12.250.989.450 ;;
34;68.900.810;BANCO RENDIMENTO S.A.; 98 ; 31.848.868 ; 1.571 ; 863.858.068 ; 752.308 ; 2.311.245.296 ; 38.022 ; 856.892.110 ; 791.999 ; 4.063.844.342 ; 13.317 ; 3.305.947.441 ; 68.410 ; 3.932.282.645 ; 81.727 ; 7.238.230.086 ; 873.726 ; 11.302.074.428 ;;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; 6.419 ; 1.716.903 ; 16 ; 2.201 ; 7.849.445 ; 3.397.059.296 ; 8.968.623 ; 3.727.450.232 ; 16.824.503 ; 7.126.228.632 ; 9.565 ; 2.212.417.158 ; 9.530 ; 1.883.747.770 ; 19.095 ; 4.096.164.928 ; 16.843.598 ; 11.222.393.560 ;;
36;71.027.866;BANCO BS2 S.A.; 3.629 ; 999.743.079 ; 13.415 ; 2.168.175.154 ; 71.568 ; 1.619.356.166 ; 91.864 ; 1.601.842.643 ; 180.476 ; 6.389.117.042 ; 486 ; 2.575.964.321 ; 401 ; 1.403.765.060 ; 887 ; 3.979.729.381 ; 181.363 ; 10.368.846.423 ;;
37;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 994 ; 3.260.370.547 ; 1.488 ; 4.501.209.019 ; 2.482 ; 7.761.579.566 ; 160 ; 1.755.174.854 ; 118 ; 480.195.766 ; 278 ; 2.235.370.620 ; 2.760 ; 9.996.950.186 ;;
38;58.616.418;BANCO FIBRA S.A.; 763 ; 720.478.201 ; 4.361 ; 1.480.981.803 ; 464 ; 299.814.873 ; 4.101 ; 225.474.473 ; 9.689 ; 2.726.749.350 ; 915 ; 3.731.927.794 ; 814 ; 3.003.046.349 ; 1.729 ; 6.734.974.143 ; 11.418 ; 9.461.723.493 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 821 ; 916.152.637 ; 2.467 ; 958.209.704 ; 3.982 ; 1.675.568.391 ; 8.329 ; 1.071.215.533 ; 15.599 ; 4.621.146.265 ; 645 ; 1.338.557.202 ; 664 ; 1.935.389.710 ; 1.309 ; 3.273.946.912 ; 16.908 ; 7.895.093.177 ;;
40;13.059.145;BEXS BANCO DE CÂMBIO S/A; 491 ; 1.142.577.783 ; 1.189 ; 161.123.472 ; 121.609 ; 539.908.523 ; 888.057 ; 2.001.157.297 ; 1.011.346 ; 3.844.767.075 ; 1.829 ; 1.481.760.173 ; 904 ; 996.680.822 ; 2.733 ; 2.478.440.995 ; 1.014.079 ; 6.323.208.070 ;;
41;10.690.848;BANCO DA CHINA BRASIL S.A.; 274 ; 1.301.589.270 ; 107 ; 132.009.913 ; 487 ; 1.033.946.623 ; 862 ; 97.599.090 ; 1.730 ; 2.565.144.896 ; 394 ; 761.804.439 ; 675 ; 2.867.790.658 ; 1.069 ; 3.629.595.097 ; 2.799 ; 6.194.739.993 ;;
42;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 16 ; 198.600.909 ; -   ; -   ; 16 ; 198.600.909 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 24 ; 4.233.445.284 ;;
43;07.656.500;BANCO KDB DO BRASIL S.A.; 2 ; 24.000.000 ; 30 ; 13.096.016 ; 1.224 ; 771.216.603 ; 2.967 ; 1.329.582.359 ; 4.223 ; 2.137.894.978 ; 377 ; 1.243.529.472 ; 328 ; 726.061.649 ; 705 ; 1.969.591.121 ; 4.928 ; 4.107.486.099 ;;
