Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Dez/2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
32;58.616.418;BANCO FIBRA S.A.; 879 ; 766.517.601 ; 7.261 ; 1.239.109.533 ; 551 ; 1.337.535.749 ; 1.869 ; 1.520.940.832 ; 10.560 ; 4.864.103.716 ; 637 ; 1.891.206.067 ; 541 ; 1.377.945.798 ; 1.178 ; 3.269.151.865 ; 11.738 ; 8.133.255.581 ;
33;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 645 ; 703.570.360 ; 2.104 ; 361.918.011 ; 936 ; 1.134.665.567 ; 1.682 ; 628.750.636 ; 5.367 ; 2.828.904.574 ; 861 ; 1.645.335.237 ; 926 ; 2.666.852.008 ; 1.787 ; 4.312.187.245 ; 7.154 ; 7.141.091.819 ;
34;13.059.145;BEXS BANCO DE CÂMBIO S/A; 180 ; 681.092.073 ; 130 ; 5.107.041 ; 117.682 ; 493.344.921 ; 410.228 ; 2.306.553.753 ; 528.220 ; 3.486.097.788 ; 1.533 ; 1.980.474.117 ; 538 ; 860.212.703 ; 2.071 ; 2.840.686.820 ; 530.291 ; 6.326.784.608 ;
35;71.027.866;BANCO BS2 S.A.; 2.556 ; 556.305.067 ; 10.248 ; 472.660.402 ; 44.803 ; 1.077.396.653 ; 101.486 ; 880.326.558 ; 159.093 ; 2.986.688.680 ; 1.102 ; 1.064.733.140 ; 5.972 ; 1.355.901.750 ; 7.074 ; 2.420.634.890 ; 166.167 ; 5.407.323.570 ;
36;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 769 ; 721.309.875 ; 3.425 ; 360.869.048 ; 171 ; 851.666.145 ; 2.514 ; 1.069.831.844 ; 6.879 ; 3.003.676.912 ; 395 ; 972.516.666 ; 318 ; 1.150.700.979 ; 713 ; 2.123.217.645 ; 7.592 ; 5.126.894.557 ;
37;10.690.848;BANCO DA CHINA BRASIL S.A.; 217 ; 758.163.579 ; 298 ; 202.441.064 ; 275 ; 1.462.545.189 ; 640 ; 514.946.467 ; 1.430 ; 2.938.096.299 ; 304 ; 258.879.000 ; 435 ; 1.792.135.147 ; 739 ; 2.051.014.147 ; 2.169 ; 4.989.110.446 ;
38;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 179 ; 410.913.955 ;;; 247 ; 212.120.134 ; 19 ; 688.638 ; 445 ; 623.722.727 ; 43 ; 1.049.657.161 ; 122 ; 3.144.970.156 ; 165 ; 4.194.627.316 ; 610 ; 4.818.350.043 ;
39;62.144.175;BANCO PINE S.A.; 251 ; 177.606.398 ; 2.071 ; 221.499.633 ; 90 ; 54.912.192 ; 456 ; 90.692.854 ; 2.868 ; 544.711.077 ; 449 ; 2.013.638.222 ; 1.234 ; 1.907.446.777 ; 1.683 ; 3.921.084.999 ; 4.551 ; 4.465.796.076 ;
40;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 258 ; 1.113.009.492 ; 155 ; 1.107.528.942 ; 413 ; 2.220.538.434 ; 52 ; 1.052.385.169 ; 119 ; 1.058.560.304 ; 171 ; 2.110.945.473 ; 584 ; 4.331.483.908 ;
41;00.360.305;CAIXA ECONOMICA FEDERAL; 1.334 ; 325.722.361 ; 810 ; 70.030.636 ; 103.020 ; 798.586.535 ; 7.624 ; 640.824.581 ; 112.788 ; 1.835.164.113 ; 2.223 ; 1.029.195.501 ; 2.369 ; 1.330.461.756 ; 4.592 ; 2.359.657.257 ; 117.380 ; 4.194.821.370 ;
