Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em Maio/2024.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
24;78.632.767;BANCO OURINVEST S.A.;OURINVEST - PRUDENCIAL; 643 ; 68.806.837 ; 3.802 ; 221.123.103 ; 38.138 ; 415.831.739 ; 42.757 ; 706.207.457 ; 85.340 ; 1.411.969.136 ; 933 ; 804.092.673 ; 8.932 ; 346.978.473 ; 9.865 ; 1.151.071.146 ; 95.205 ; 2.563.040.282 ;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.;BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL; 75 ; 357.920.679 ; 5 ; 8.192.024 ; 72 ; 205.685.738 ; 205 ; 278.031.224 ; 357 ; 849.829.665 ; 117 ; 773.208.499 ; 129 ; 836.139.895 ; 246 ; 1.609.348.394 ; 603 ; 2.459.178.059 ;
26;58.160.789;BANCO SAFRA S.A.;SAFRA - PRUDENCIAL; 429 ; 131.994.318 ; 964 ; 110.481.663 ; 22.439 ; 907.558.558 ; 20.658 ; 199.338.705 ; 44.490 ; 1.349.373.244 ; 324 ; 180.669.490 ; 345 ; 890.628.858 ; 669 ; 1.071.298.348 ; 45.159 ; 2.420.671.592 ;
27;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.;CONFIDENCE - PRUDENCIAL; 615 ; 58.595.441 ; 1.990 ; 67.039.823 ; 4.810 ; 319.846.164 ; 5.913 ; 540.675.572 ; 13.328 ; 986.157.000 ; 1.642 ; 732.597.992 ; 4.756 ; 476.935.742 ; 6.398 ; 1.209.533.734 ; 19.726 ; 2.195.690.734 ;
28;62.232.889;BANCO DAYCOVAL S.A.;BCO DAYCOVAL S.A - PRUDENCIAL; 419 ; 84.893.707 ; 1.811 ; 173.027.898 ; 53.191 ; 379.407.346 ; 40.750 ; 384.035.148 ; 96.171 ; 1.021.364.099 ; 335 ; 580.329.154 ; 2.409 ; 495.982.683 ; 2.744 ; 1.076.311.837 ; 98.915 ; 2.097.675.936 ;
29;28.195.667;BANCO ABC BRASIL S.A.;ABC-BRASIL - PRUDENCIAL; 119 ; 105.912.332 ; 585 ; 97.725.468 ; 43 ; 137.190.106 ; 451 ; 112.226.576 ; 1.198 ; 453.054.482 ; 95 ; 613.266.305 ; 120 ; 823.084.018 ; 215 ; 1.436.350.323 ; 1.413 ; 1.889.404.805 ;
30;33.923.798;BANCO MASTER S/A;BANCO MASTER - PRUDENCIAL; 132 ; 106.526.725 ; 258 ; 383.355.605 ; 4.467 ; 71.458.574 ; 474 ; 38.337.680 ; 5.331 ; 599.678.584 ; 59 ; 656.379.358 ; 42 ; 432.697.825 ; 101 ; 1.089.077.183 ; 5.432 ; 1.688.755.767 ;
31;02.801.938;BANCO MORGAN STANLEY S.A.;MORGAN STANLEY - PRUDENCIAL; 2 ; 12.000.000 ; 14 ; 24.867.887 ; 116 ; 637.042.983 ; 126 ; 440.640.229 ; 258 ; 1.114.551.099 ; 4 ; 188.048.893 ; 13 ; 381.179.153 ; 17 ; 569.228.046 ; 275 ; 1.683.779.145 ;
32;71.027.866;BANCO BS2 S.A.;BS2 - PRUDENCIAL; 490 ; 37.989.111 ; 2.015 ; 339.434.511 ; 6.107 ; 142.408.318 ; 6.565 ; 207.740.664 ; 15.177 ; 727.572.604 ; 120 ; 634.924.312 ; 86 ; 256.521.013 ; 206 ; 891.445.325 ; 15.383 ; 1.619.017.929 ;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;WISE BRASIL CC - PRUDENCIAL; 6.305 ; 1.784.517 ; 16 ; 3.186 ; 1.179.472 ; 456.276.918 ; 1.435.750 ; 496.529.221 ; 2.621.543 ; 954.593.842 ; 958 ; 229.649.844 ; 940 ; 191.179.356 ; 1.898 ; 420.829.200 ; 2.623.441 ; 1.375.423.042 ;
