Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em OUTUBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
25;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 1.007 ; 98.577.965 ; 1.533 ; 80.422.252 ; 383 ; 379.911.466 ; 1.238 ; 18.659.048 ; 4.161 ; 577.570.732 ; 40 ; 111.355.017 ; 54 ; 491.301.804 ; 94 ; 602.656.821 ; 4.255 ; 1.180.227.553 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 141 ; 79.451.494 ; 397 ; 68.336.670 ; 333 ; 267.815.476 ; 547 ; 86.437.679 ; 1.418 ; 502.041.319 ; 55 ; 111.348.511 ; 55 ; 304.348.064 ; 110 ; 415.696.575 ; 1.528 ; 917.737.894 ;;;;
27;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 19 ; 93.688.764 ; 5 ; 1.006.462 ; 12 ; 129.404.590 ; 30 ; 202.939.055 ; 66 ; 427.038.872 ; 30 ; 90.387.047 ; 41 ; 341.383.991 ; 71 ; 431.771.038 ; 137 ; 858.809.909 ;;;;
28;28.195.667;BANCO ABC BRASIL S.A.; 82 ; 41.789.909 ; 147 ; 13.303.652 ; 31 ; 68.031.152 ; 295 ; 41.945.429 ; 555 ; 165.070.142 ; 15 ; 201.563.418 ; 37 ; 441.326.810 ; 52 ; 642.890.227 ; 607 ; 807.960.370 ;;;;
29;68.900.810;BANCO RENDIMENTO S.A.; 19 ; 341.298 ; 107 ; 8.538.504 ; 4.347 ; 51.897.817 ; 2.846 ; 184.035.587 ; 7.319 ; 244.813.206 ; 364 ; 336.114.605 ; 6.457 ; 226.767.924 ; 6.821 ; 562.882.530 ; 14.140 ; 807.695.736 ;;;;
30;49.336.860;ING BANK N.V.; 35 ; 112.382.508 ; 2 ; 153.050 ; 7 ; 51.165.874 ; 73 ; 224.318.991 ; 117 ; 388.020.423 ; 17 ; 256.294.830 ; 14 ; 148.839.900 ; 31 ; 405.134.730 ; 148 ; 793.155.153 ;;;;
31;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 5 ; 42.980.000 ; 11 ; 352.800.000 ; 16 ; 395.780.000 ; 11 ; 352.800.000 ; 5 ; 42.980.000 ; 16 ; 395.780.000 ; 32 ; 791.560.000 ;;;;
32;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 33 ; 40.796.273 ;;; 46 ; 303.494.868 ; 66 ; 98.899.700 ; 145 ; 443.190.840 ; 2 ; 40.100.000 ; 11 ; 280.000.000 ; 13 ; 320.100.000 ; 158 ; 763.290.840 ;;;;
33;62.232.889;BANCO DAYCOVAL S.A.; 289 ; 69.501.132 ; 635 ; 61.723.188 ; 562 ; 9.922.469 ; 3.207 ; 60.616.138 ; 4.693 ; 201.762.926 ; 328 ; 292.413.400 ; 1.226 ; 253.223.005 ; 1.554 ; 545.636.405 ; 6.247 ; 747.399.331 ;;;;
34;13.059.145;BEXS BANCO DE C∂MBIO S/A; 22 ; 142.527.666 ; 136 ; 7.635.234 ; 176 ; 22.256.833 ; 478 ; 33.481.606 ; 812 ; 205.901.339 ; 281 ; 135.312.250 ; 329 ; 258.903.733 ; 610 ; 394.215.983 ; 1.422 ; 600.117.322 ;;;;
35;78.632.767;BANCO OURINVEST S.A.;;; 42 ; 4.825.155 ; 182 ; 3.582.288 ; 708 ; 17.973.083 ; 932 ; 26.380.526 ; 313 ; 283.628.578 ; 3.755 ; 277.138.621 ; 4.068 ; 560.767.199 ; 5.000 ; 587.147.726 ;;;;
36;71.027.866;BANCO BONSUCESSO S.A.;;; 3 ; 138.359 ; 32 ; 63.886 ; 161 ; 7.063.828 ; 196 ; 7.266.073 ; 342 ; 280.843.808 ; 499 ; 273.232.817 ; 841 ; 554.076.626 ; 1.037 ; 561.342.699 ;;;;
37;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 242 ; 1.593.188 ; 3.224 ; 37.845.551 ; 3.466 ; 39.438.739 ; 750 ; 215.629.164 ; 169 ; 179.380.478 ; 919 ; 395.009.642 ; 4.385 ; 434.448.381 ;;;;
38;15.114.366;BANCO BBM S/A; 6 ; 11.252.518 ; 1 ; 1.023.513 ; 11 ; 1.260.756 ; 40 ; 6.707.163 ; 58 ; 20.243.950 ; 11 ; 188.826.521 ; 32 ; 208.075.978 ; 43 ; 396.902.499 ; 101 ; 417.146.449 ;;;;
39;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 3 ; 447.156 ; 3 ; 230.062 ; 13 ; 5.089.393 ; 40 ; 1.572.753 ; 59 ; 7.339.364 ; 47 ; 172.493.955 ; 89 ; 231.480.065 ; 136 ; 403.974.020 ; 195 ; 411.313.384 ;;;;
40;75.647.891;BANCO CRêDIT AGRICOLE BRASIL S.A.; 5 ; 6.366.604 ;;; 10 ; 1.359.882 ; 35 ; 4.154.662 ; 50 ; 11.881.148 ; 79 ; 189.294.089 ; 77 ; 169.436.510 ; 156 ; 358.730.599 ; 206 ; 370.611.747 ;;;;
41;62.144.175;BANCO PINE S.A.; 5 ; 31.943.716 ; 17 ; 6.534.921 ; 5 ; 100.065.129 ; 89 ; 93.128.697 ; 116 ; 231.672.463 ; 3 ; 40.000.130 ; 3 ; 70.000.136 ; 6 ; 110.000.266 ; 122 ; 341.672.728 ;;;;
42;03.532.415;BANCO ABN AMRO S.A.; 37 ; 155.189.000 ; 2 ; 20.000.000 ; 2 ; 1.460.519 ; 6 ; 2.343.214 ; 47 ; 178.992.733 ; 5 ; 5.660.000 ; 57 ; 139.948.000 ; 62 ; 145.608.000 ; 109 ; 324.600.733 ;;;;
