Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
26;62.232.889;BANCO DAYCOVAL S.A.; 332 ; 66.948.149 ; 1.125 ; 158.131.275 ; 45.352 ; 382.344.240 ; 41.886 ; 592.792.431 ; 88.695 ; 1.200.216.095 ; 384 ; 863.917.176 ; 1.787 ; 464.132.547 ; 2.171 ; 1.328.049.723 ; 90.866 ; 2.528.265.818 ;;
27;15.114.366;BANCO BOCOM BBM S.A.; 19 ; 13.712.370 ; 48 ; 82.519.359 ; 58 ; 221.797.745 ; 229 ; 93.076.016 ; 354 ; 411.105.490 ; 97 ; 990.244.474 ; 97 ; 801.555.701 ; 194 ; 1.791.800.175 ; 548 ; 2.202.905.665 ;;
28;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 391 ; 58.659.809 ; 1.290 ; 59.690.380 ; 4.620 ; 443.938.081 ; 6.674 ; 663.360.531 ; 12.975 ; 1.225.648.801 ; 1.474 ; 515.347.564 ; 4.815 ; 292.201.827 ; 6.289 ; 807.549.391 ; 19.264 ; 2.033.198.192 ;;
29;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 2 ; 40.000.000 ; 4 ; 88.648 ; 17 ; 165.851.141 ; 64 ; 206.914.343 ; 87 ; 412.854.132 ; 49 ; 738.067.280 ; 46 ; 790.328.126 ; 95 ; 1.528.395.406 ; 182 ; 1.941.249.538 ;;
30;71.027.866;BANCO BS2 S.A.; 430 ; 106.824.593 ; 1.626 ; 486.674.960 ; 6.781 ; 216.297.380 ; 7.198 ; 204.752.605 ; 16.035 ; 1.014.549.538 ; 74 ; 463.580.179 ; 35 ; 74.567.784 ; 109 ; 538.147.963 ; 16.144 ; 1.552.697.501 ;;
31;28.195.667;BANCO ABC BRASIL S.A.; 122 ; 65.957.704 ; 330 ; 54.746.381 ; 86 ; 152.304.575 ; 467 ; 256.120.674 ; 1.005 ; 529.129.334 ; 114 ; 588.320.693 ; 178 ; 422.944.006 ; 292 ; 1.011.264.699 ; 1.297 ; 1.540.394.033 ;;
32;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 36 ; 52.112.288 ; 115 ; 67.654.430 ; 26 ; 519.690.913 ; 184 ; 551.467.903 ; 361 ; 1.190.925.534 ; 52 ; 153.072.432 ; 24 ; 90.367.398 ; 76 ; 243.439.830 ; 437 ; 1.434.365.364 ;;
33;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA; -   ; -   ; -   ; -   ; 930.392 ; 357.732.264 ; 1.038.209 ; 419.295.636 ; 1.968.601 ; 777.027.900 ; 902 ; 248.542.497 ; 894 ; 186.980.065 ; 1.796 ; 435.522.562 ; 1.970.397 ; 1.212.550.462 ;;
34;58.160.789;BANCO SAFRA S.A.; 361 ; 221.325.618 ; 800 ; 118.728.549 ; 20.747 ; 122.832.632 ; 18.667 ; 137.737.806 ; 40.575 ; 600.624.605 ; 327 ; 179.237.546 ; 344 ; 251.321.447 ; 671 ; 430.558.993 ; 41.246 ; 1.031.183.598 ;;
35;58.616.418;BANCO FIBRA S.A.; 69 ; 61.631.909 ; 433 ; 176.066.492 ; 36 ; 31.691.386 ; 260 ; 7.312.599 ; 798 ; 276.702.386 ; 88 ; 393.737.189 ; 81 ; 307.177.494 ; 169 ; 700.914.683 ; 967 ; 977.617.069 ;;
36;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; -   ; -   ; 3 ; 18.072.045 ; 16 ; 51.596.882 ; 96 ; 156.706.390 ; 115 ; 226.375.317 ; 9 ; 376.565.028 ; 7 ; 315.065.270 ; 16 ; 691.630.298 ; 131 ; 918.005.615 ;;
37;68.900.810;BANCO RENDIMENTO S.A.; 11 ; 902.229 ; 206 ; 20.670.093 ; 78.176 ; 235.455.151 ; 3.660 ; 101.053.418 ; 82.053 ; 358.080.891 ; 1.277 ; 223.479.142 ; 5.675 ; 335.884.579 ; 6.952 ; 559.363.721 ; 89.005 ; 917.444.612 ;;
38;62.144.175;BANCO PINE S.A.; 55 ; 42.852.847 ; 271 ; 229.849.820 ; 12 ; 10.673.128 ; 505 ; 192.700.092 ; 843 ; 476.075.887 ; 41 ; 372.816.879 ; 10 ; 14.273.527 ; 51 ; 387.090.406 ; 894 ; 863.166.293 ;;
39;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 111 ; 24.962.468 ; 348 ; 113.592.992 ; 354 ; 186.147.256 ; 688 ; 221.894.674 ; 1.501 ; 546.597.390 ; 60 ; 199.953.126 ; 55 ; 93.253.412 ; 115 ; 293.206.538 ; 1.616 ; 839.803.928 ;;
40;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 32 ; 48.587.920 ; -   ; -   ; 42 ; 11.407.979 ; -   ; -   ; 74 ; 59.995.899 ; 22 ; 705.000.000 ; 1 ; 403.692 ; 23 ; 705.403.692 ; 97 ; 765.399.591 ;;
41;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.; -   ; -   ; -   ; -   ; 92 ; 181.356.200 ; 149 ; 327.016.805 ; 241 ; 508.373.005 ; 15 ; 183.009.476 ; 12 ; 43.012.536 ; 27 ; 226.022.012 ; 268 ; 734.395.017 ;;
42;13.059.145;BEXS BANCO DE CÂMBIO S/A; 82 ; 137.778.297 ; 237 ; 11.898.547 ; 12.533 ; 45.636.066 ; 69.828 ; 190.623.199 ; 82.680 ; 385.936.109 ; 131 ; 88.618.357 ; 153 ; 67.074.981 ; 284 ; 155.693.338 ; 82.964 ; 541.629.447 ;;
43;00.360.305;CAIXA ECONOMICA FEDERAL; 130 ; 55.278.808 ; 82 ; 3.818.654 ; 6.881 ; 95.227.162 ; 2.556 ; 73.585.347 ; 9.649 ; 227.909.971 ; 131 ; 75.688.120 ; 148 ; 148.179.060 ; 279 ; 223.867.180 ; 9.928 ; 451.777.151 ;;
44;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 75 ; 12.252.868 ; 72 ; 7.137.300 ; 4.075 ; 161.145.617 ; 206 ; 12.486.849 ; 4.428 ; 193.022.634 ; 60 ; 15.513.319 ; 176 ; 169.285.306 ; 236 ; 184.798.625 ; 4.664 ; 377.821.259 ;;
45;10.690.848;BANCO DA CHINA BRASIL S.A.; 42 ; 115.905.339 ; 8 ; 1.471.807 ; 61 ; 17.501.819 ; 71 ; 16.711.787 ; 182 ; 151.590.752 ; 45 ; 42.117.240 ; 98 ; 157.488.652 ; 143 ; 199.605.892 ; 325 ; 351.196.644 ;;
46;33.923.798;BANCO MASTER S/A; 83 ; 24.685.816 ; 175 ; 59.804.914 ; 2.815 ; 37.656.878 ; 387 ; 34.395.596 ; 3.460 ; 156.543.204 ; 43 ; 105.320.331 ; 47 ; 60.748.631 ; 90 ; 166.068.962 ; 3.550 ; 322.612.166 ;;
47;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 218 ; 6.779.364 ; 1.655 ; 39.258.964 ; 1.992 ; 65.942.605 ; 4.028 ; 79.992.316 ; 7.893 ; 191.973.249 ; 440 ; 78.605.693 ; 147 ; 32.192.615 ; 587 ; 110.798.308 ; 8.480 ; 302.771.557 ;;
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 5 ; 57.614.910 ; 47 ; 22.101.874 ; 6 ; 90.723 ; 16 ; 244.109 ; 74 ; 80.051.616 ; 8 ; 92.644.275 ; 14 ; 129.555.994 ; 22 ; 222.200.269 ; 96 ; 302.251.885 ;;
49;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 12 ; 67.107.104 ; 5 ; 585.395 ; 18 ; 37.799.945 ; 36 ; 38.715.112 ; 71 ; 144.207.556 ; 9 ; 33.291.567 ; 14 ; 99.275.927 ; 23 ; 132.567.494 ; 94 ; 276.775.050 ;;
50;00.997.185;BANCO B3 S.A.; -   ; -   ; -   ; -   ; 201 ; 102.763.060 ; 175 ; 109.528.106 ; 376 ; 212.291.166 ; 21 ; 30.403.511 ; 37 ; 23.691.492 ; 58 ; 54.095.003 ; 434 ; 266.386.169 ;;
51;61.024.352;BANCO VOITER S.A.; 13 ; 6.927.988 ; 201 ; 92.623.139 ; 141 ; 51.868.400 ; 641 ; 27.325.184 ; 996 ; 178.744.711 ; 73 ; 69.847.404 ; 78 ; 9.206.748 ; 151 ; 79.054.152 ; 1.147 ; 257.798.863 ;;
