Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
64;2.992.317;TREVISO CORRETORA DE CÂMBIO S.A.;111;2.158.288;907;22.061.824;660;5.962.873;1.827;16.301.137;3.505;46.484.122;1.878;41.248.200;269;10.908.159;2.147;52.156.358;5.652;98.640.480
65;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.;123;4.158.905;1.417;31.818.929;309;3.649.998;1.116;13.638.873;2.965;53.266.705;479;39.640.389;18;2.013.902;497;41.654.291;3.462;94.920.997
66;60.889.128;BANCO SOFISA S.A.;122;30.202.477;270;26.429.676;20;5.194.740;70;4.922.374;482;66.749.267;9;17.659.156;6;9.670.997;15;27.330.153;497;94.079.420
67;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;3;8.000.000;24;5.979.989;8;4.076.775;16;81.435;51;18.138.199;1;30.000.000;1;40.000.000;2;70.000.000;53;88.138.199
68;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;2;4.952.965;3;1.555.420;6;51.554;51;937.604;62;7.497.544;6;70.303.450;3;10.309.725;9;80.613.175;71;88.110.719
69;7.656.500;BANCO KDB DO BRASIL S.A.;;;;;86;28.974.588;255;28.471.840;341;57.446.428;29;8.794.000;32;14.450.000;61;23.244.000;402;80.690.428
70;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.;23;24.905.051;33;1.092.612;42;356.275;82;16.941.277;180;43.295.214;42;6.039.908;25;25.064.416;67;31.104.324;247;74.399.538
71;3.609.817;BANCO CARGILL S.A.;23;13.439.942;;;9;28.014.348;8;865.560;40;42.319.850;;;1;30.000.000;1;30.000.000;41;72.319.850
72;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;16;22.794.236;29;10.351.637;8;4.523.726;71;10.551.517;124;48.221.116;4;10.119.090;4;11.118.758;8;21.237.848;132;69.458.964
73;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.;105;11.023.003;405;14.126.373;386;1.891.782;1.081;6.727.972;1.977;33.769.130;633;20.509.298;132;12.588.175;765;33.097.473;2.742;66.866.603
74;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;50;1.583.683;273;5.135.760;1.293;11.474.089;2.578;23.326.471;4.194;41.520.003;649;19.906.061;37;4.469.873;686;24.375.933;4.880;65.895.936
75;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.;42;950.013;636;20.041.785;208;3.162.207;593;7.329.313;1.479;31.483.318;912;26.772.165;139;3.636.045;1.051;30.408.210;2.530;61.891.527
76;2.318.507;BANCO KEB HANA DO BRASIL S.A.;2;4.628.924;49;12.435.530;41;11.678.467;103;5.668.809;195;34.411.729;46;13.521.530;10;11.713.102;56;25.234.632;251;59.646.362
77;92.894.922;BANCO ORIGINAL S.A.;;;15;1.083.280;51;1.696.283;104;14.843.884;170;17.623.447;6;40.040.963;3;40.922;9;40.081.885;179;57.705.332
78;4.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;;649;6.980.360;2.820;26.229.819;3.469;33.210.179;1.254;21.075.865;460;1.953.464;1.714;23.029.329;5.183;56.239.508
79;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;23;1.034.437;548;17.711.125;180;1.867.384;538;5.913.519;1.289;26.526.465;487;21.823.916;85;1.092.601;572;22.916.517;1.861;49.442.982
80;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;28;34.508.393;;;32;11.030.519;8;94.619;68;45.633.531;;;1;1.399.780;1;1.399.780;69;47.033.311
81;61.186.680;BANCO BMG S.A.;4;5.400.000;;;17;608.751;45;2.537.350;66;8.546.101;2;20.000.000;4;16.900.000;6;36.900.000;72;45.446.101
82;4.062.902;VISION S.A. CORRETORA DE CAMBIO;63;1.269.361;404;11.919.834;2.745;3.699.673;2.624;7.231.676;5.836;24.120.545;758;17.435.359;162;3.252.513;920;20.687.873;6.756;44.808.418
83;61.024.352;BANCO VOITER S.A.;106;17.989.841;46;2.836.673;49;5.311.731;302;15.696.206;503;41.834.451;21;678.623;3;492.552;24;1.171.175;527;43.005.626
84;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;10;1.335.756;20;254.572;1;36.300;33;15.915.025;64;17.541.653;3;16.750.000;;;3;16.750.000;67;34.291.653
