Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado - Acumulado Jan-Ago/2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
24;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 73 ; 196.532.644 ;;; 73 ; 196.532.644 ; 10 ; 4.900.000.000 ; 10 ; 4.900.000.000 ; 20 ; 9.800.000.000 ; 93 ; 9.996.532.644 ;;;;
25;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 424 ; 1.522.521.338 ; 111 ; 128.851.700 ; 575 ; 1.328.877.638 ; 1.753 ; 1.450.919.919 ; 2.863 ; 4.431.170.595 ; 95 ; 1.016.314.656 ; 133 ; 2.210.557.520 ; 228 ; 3.226.872.176 ; 3.091 ; 7.658.042.772 ;;;;
26;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 1.013 ; 459.801.595 ; 3.338 ; 931.616.080 ; 2.590 ; 1.980.329.655 ; 3.661 ; 769.608.165 ; 10.602 ; 4.141.355.495 ; 478 ; 1.373.966.776 ; 633 ; 2.113.013.010 ; 1.111 ; 3.486.979.786 ; 11.713 ; 7.628.335.281 ;;;;
27;62.232.889;BANCO DAYCOVAL S.A.; 1.727 ; 331.359.023 ; 3.066 ; 215.661.806 ; 3.791 ; 490.693.609 ; 16.804 ; 971.019.709 ; 25.388 ; 2.008.734.147 ; 2.609 ; 2.647.611.800 ; 11.291 ; 2.271.348.044 ; 13.900 ; 4.918.959.844 ; 39.288 ; 6.927.693.991 ;;;;
28;75.647.891;BANCO CRÉDIT AGRICOLE BRASIL S.A.; 90 ; 475.783.299 ; 12 ; 4.377.998 ; 127 ; 208.361.493 ; 366 ; 81.792.986 ; 595 ; 770.315.776 ; 704 ; 2.463.825.628 ; 740 ; 2.995.158.481 ; 1.444 ; 5.458.984.108 ; 2.039 ; 6.229.299.884 ;;;;
29;71.027.866;BANCO BONSUCESSO S.A.; 16 ; 600.522 ; 6 ; 83.582 ; 316 ; 7.452.394 ; 627 ; 30.235.246 ; 965 ; 38.371.744 ; 2.081 ; 2.735.138.496 ; 1.841 ; 2.711.390.632 ; 3.922 ; 5.446.529.129 ; 4.887 ; 5.484.900.873 ;;;;
30;49.336.860;ING BANK N.V.; 239 ; 1.384.888.444 ; 97 ; 216.737.030 ; 69 ; 568.132.417 ; 541 ; 378.137.997 ; 946 ; 2.547.895.888 ; 85 ; 734.405.820 ; 126 ; 2.021.228.583 ; 211 ; 2.755.634.403 ; 1.157 ; 5.303.530.291 ;;;;
31;68.900.810;BANCO RENDIMENTO S.A.; 58 ; 5.021.074 ; 428 ; 32.526.155 ; 48.955 ; 472.914.982 ; 13.834 ; 876.066.027 ; 63.275 ; 1.386.528.239 ; 2.823 ; 2.107.117.199 ; 54.856 ; 1.674.987.215 ; 57.679 ; 3.782.104.414 ; 120.954 ; 5.168.632.652 ;;;;
32;13.059.145;BEXS BANCO DE CÂMBIO S/A; 204 ; 1.212.330.471 ; 979 ; 36.215.012 ; 1.333 ; 224.319.184 ; 3.903 ; 352.109.624 ; 6.419 ; 1.824.974.290 ; 1.876 ; 874.640.118 ; 1.777 ; 1.922.471.497 ; 3.653 ; 2.797.111.615 ; 10.072 ; 4.622.085.906 ;;;;
33;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 236 ; 881.277.676 ;;; 350 ; 837.171.007 ; 509 ; 1.026.001.930 ; 1.095 ; 2.744.450.612 ; 25 ; 761.096.496 ; 23 ; 995.237.994 ; 48 ; 1.756.334.490 ; 1.143 ; 4.500.785.103 ;;;;
