Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em OUTUBRO / 2020;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
37;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 23 ; 54.040.000 ; 3 ; 182.324.069 ; 26 ; 236.364.069 ; 2 ; 182.300.888 ; 23 ; 54.040.000 ; 25 ; 236.340.888 ; 51 ; 472.704.957 ;
38;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 8 ; 20.389.078 ; 20 ; 7.454.381 ; 18 ; 90.119.268 ; 102 ; 64.359.495 ; 148 ; 182.322.222 ; 14 ; 110.342.960 ; 18 ; 155.342.549 ; 32 ; 265.685.509 ; 180 ; 448.007.731 ;
39;31.872.495;BANCO C6 S.A.; 18 ; 17.921.818 ; 59 ; 3.408.849 ; 243 ; 21.186.464 ; 2.061 ; 80.300.369 ; 2.381 ; 122.817.500 ; 68 ; 149.528.911 ; 154 ; 114.227.687 ; 222 ; 263.756.598 ; 2.603 ; 386.574.098 ;
40;07.679.404;BANCO TOPÁZIO S.A.; 39 ; 23.327.467 ; 46 ; 3.896.946 ; 298 ; 22.494.989 ; 364 ; 64.877.491 ; 747 ; 114.596.894 ; 414 ; 124.087.020 ; 1.304 ; 101.242.189 ; 1.718 ; 225.329.209 ; 2.465 ; 339.926.103 ;
41;00.360.305;CAIXA ECONOMICA FEDERAL; 119 ; 23.111.582 ; 98 ; 2.932.333 ; 8.454 ; 63.041.329 ; 539 ; 47.587.975 ; 9.210 ; 136.673.219 ; 194 ; 81.007.177 ; 218 ; 117.681.103 ; 412 ; 198.688.280 ; 9.622 ; 335.361.499 ;
42;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 6 ; 41.099.720 ; 9 ; 3.045.499 ; 4 ; 14.341 ; 297 ; 100.140.761 ; 316 ; 144.300.321 ; 18 ; 130.965.631 ; 7 ; 56.905.972 ; 25 ; 187.871.603 ; 341 ; 332.171.924 ;
43;33.923.798;BANCO MÁXIMA S.A.; 138 ; 36.939.092 ; 286 ; 9.336.645 ; 8.478 ; 78.309.698 ; 27.459 ; 60.403.634 ; 36.361 ; 184.989.069 ; 43 ; 20.089.594 ; 39 ; 61.189.529 ; 82 ; 81.279.123 ; 36.443 ; 266.268.192 ;
44;62.144.175;BANCO PINE S.A.; 38 ; 26.405.166 ; 228 ; 17.394.496 ; 11 ; 1.265.316 ; 53 ; 1.450.393 ; 330 ; 46.515.370 ; 22 ; 88.463.365 ; 60 ; 88.631.600 ; 82 ; 177.094.965 ; 412 ; 223.610.335 ;
45;03.609.817;BANCO CARGILL S.A.; 25 ; 39.346.573 ;;; 4 ; 29.578.000 ; 22 ; 2.590.669 ; 51 ; 71.515.242 ;;; 5 ; 152.000.000 ; 5 ; 152.000.000 ; 56 ; 223.515.242 ;
46;30.723.886;BANCO MODAL S.A.;;; 59 ; 6.965.039 ; 211 ; 92.379.894 ; 133 ; 26.560.918 ; 403 ; 125.905.851 ; 3 ; 20.117.160 ; 6 ; 72.914.250 ; 9 ; 93.031.410 ; 412 ; 218.937.261 ;
