Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 99 ; 229.139.576 ; 24 ; 8.013.507 ; 70 ; 146.082.501 ; 322 ; 294.718.882 ; 515 ; 677.954.466 ; 16 ; 148.093.784 ; 24 ; 398.194.305 ; 40 ; 546.288.089 ; 555 ; 1.224.242.555 ;;;;
27;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 64 ; 4.993.882 ; 816 ; 31.437.867 ; 407 ; 96.834.341 ; 103.981 ; 174.756.602 ; 105.268 ; 308.022.692 ; 280 ; 506.873.439 ; 407 ; 403.400.706 ; 687 ; 910.274.144 ; 105.955 ; 1.218.296.837 ;;;;
28;78.632.767;BANCO OURINVEST S.A.; 201 ; 17.184.077 ; 1.794 ; 90.516.916 ; 897 ; 57.004.843 ; 2.566 ; 88.779.100 ; 5.458 ; 253.484.936 ; 863 ; 530.591.675 ; 12.077 ; 420.114.222 ; 12.940 ; 950.705.897 ; 18.398 ; 1.204.190.833 ;;;;
29;11.703.662;TRAVELEX BANCO DE CÂMBIO S.A.; 326 ; 11.567.706 ; 1.681 ; 57.525.553 ; 1.224 ; 87.993.674 ; 3.789 ; 133.691.848 ; 7.020 ; 290.778.781 ; 1.040 ; 461.394.399 ; 7.852 ; 373.346.205 ; 8.892 ; 834.740.605 ; 15.912 ; 1.125.519.386 ;;;;
30;58.616.418;BANCO FIBRA S.A.; 78 ; 120.238.699 ; 566 ; 119.653.743 ; 60 ; 218.065.697 ; 211 ; 136.673.846 ; 915 ; 594.631.985 ; 34 ; 184.988.163 ; 46 ; 265.483.952 ; 80 ; 450.472.114 ; 995 ; 1.045.104.100 ;;;;
31;62.232.889;BANCO DAYCOVAL S.A.; 598 ; 81.498.936 ; 737 ; 53.656.933 ; 813 ; 105.608.980 ; 3.675 ; 176.308.555 ; 5.823 ; 417.073.403 ; 592 ; 293.921.013 ; 1.613 ; 297.375.516 ; 2.205 ; 591.296.529 ; 8.028 ; 1.008.369.932 ;;;;
32;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 151 ; 36.108.692 ; 654 ; 128.488.612 ; 406 ; 284.376.590 ; 571 ; 126.916.759 ; 1.782 ; 575.890.654 ; 89 ; 137.259.749 ; 92 ; 210.327.076 ; 181 ; 347.586.825 ; 1.963 ; 923.477.479 ;;;;
33;61.820.817;BANCO PAULISTA S.A.; 117 ; 42.762.934 ; 192 ; 7.061.187 ; 139.427 ; 104.250.037 ; 1.223 ; 15.699.445 ; 140.959 ; 169.773.603 ; 1.610 ; 291.951.222 ; 10.427 ; 407.761.657 ; 12.037 ; 699.712.879 ; 152.996 ; 869.486.482 ;;;;
34;62.144.175;BANCO PINE S.A.; 37 ; 25.461.465 ; 343 ; 36.635.581 ; 46 ; 66.343.545 ; 81 ; 27.246.918 ; 507 ; 155.687.508 ; 63 ; 343.058.957 ; 301 ; 356.806.468 ; 364 ; 699.865.425 ; 871 ; 855.552.933 ;;;;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 15 ; 28.102.514 ; 19 ; 21.633.536 ; 14 ; 58.340.113 ; 140 ; 69.671.329 ; 188 ; 177.747.493 ; 18 ; 241.144.511 ; 30 ; 341.143.185 ; 48 ; 582.287.697 ; 236 ; 760.035.190 ;;;;
36;33.923.798;BANCO MÁXIMA S.A.; 80 ; 99.755.434 ; 579 ; 27.560.540 ; 1.490 ; 30.507.505 ; 19.999 ; 210.084.440 ; 22.148 ; 367.907.919 ; 82 ; 210.070.879 ; 49 ; 106.523.654 ; 131 ; 316.594.533 ; 22.279 ; 684.502.452 ;;;;
37;71.027.866;BANCO BS2 S.A.; 117 ; 25.557.175 ; 582 ; 31.773.647 ; 916 ; 76.169.245 ; 1.560 ; 72.682.379 ; 3.175 ; 206.182.445 ; 139 ; 201.682.457 ; 4.127 ; 207.882.616 ; 4.266 ; 409.565.073 ; 7.441 ; 615.747.518 ;;;;
38;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 76 ; 42.709.468 ; 156 ; 38.534.621 ; 98 ; 37.633.850 ; 130 ; 35.579.886 ; 460 ; 154.457.825 ; 97 ; 231.073.832 ; 107 ; 229.139.081 ; 204 ; 460.212.912 ; 664 ; 614.670.737 ;;;;
39;13.059.145;BEXS BANCO DE CÂMBIO S/A; 34 ; 116.777.365 ; 37 ; 995.161 ; 378 ; 17.066.328 ; 1.638 ; 176.780.840 ; 2.087 ; 311.619.694 ; 90 ; 162.388.615 ; 51 ; 120.691.862 ; 141 ; 283.080.478 ; 2.228 ; 594.700.172 ;;;;
40;53.518.684;HSBC BRASIL S.A. - BANCO DE INVESTIMENTO; 6 ; 18.218.183 ; 58 ; 37.214.827 ; 19 ; 5.259.480 ; 30 ; 6.696.106 ; 113 ; 67.388.597 ; 53 ; 210.992.428 ; 52 ; 275.287.436 ; 105 ; 486.279.864 ; 218 ; 553.668.461 ;;;;
41;33.042.953;CITIBANK N.A.;;;;; 1 ; 9.315 ; 5 ; 1.024.569 ; 6 ; 1.033.884 ;;; 3 ; 550.000.000 ; 3 ; 550.000.000 ; 9 ; 551.033.884 ;;;;
42;10.690.848;BANCO DA CHINA BRASIL S.A.; 11 ; 231.758.835 ; 27 ; 6.386.562 ; 20 ; 12.163.179 ; 60 ; 16.776.886 ; 118 ; 267.085.461 ; 37 ; 24.815.927 ; 34 ; 245.465.643 ; 71 ; 270.281.570 ; 189 ; 537.367.031 ;;;;
43;07.679.404;BANCO TOPÁZIO S.A.; 9 ; 2.289.857 ; 1 ; 20.240 ; 272 ; 1.832.940 ; 444 ; 230.223.494 ; 726 ; 234.366.531 ; 979 ; 226.511.172 ; 4 ; 295.621 ; 983 ; 226.806.793 ; 1.709 ; 461.173.324 ;;;;
44;30.723.886;BANCO MODAL S.A.; 4 ; 14.045.127 ; 48 ; 5.078.651 ; 171 ; 120.231.691 ; 150 ; 56.242.926 ; 373 ; 195.598.395 ; 19 ; 71.532.330 ; 19 ; 144.000.000 ; 38 ; 215.532.330 ; 411 ; 411.130.725 ;;;;
45;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 75 ; 94.568.625 ;;; 115 ; 91.999.119 ; 26 ; 18.891.546 ; 216 ; 205.459.291 ; 1 ; 10.234.543 ; 7 ; 150.501.630 ; 8 ; 160.736.173 ; 224 ; 366.195.464 ;;;;
46;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 12 ; 8.237.564 ; 61 ; 23.265.820 ; 15 ; 2.885.647 ; 89 ; 42.878.172 ; 177 ; 77.267.203 ; 25 ; 137.952.882 ; 20 ; 98.246.059 ; 45 ; 236.198.940 ; 222 ; 313.466.143 ;;;;
47;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 30 ; 43.719.326 ; 24 ; 97.497.345 ; 54 ; 141.216.671 ; 20 ; 105.347.190 ; 16 ; 51.280.344 ; 36 ; 156.627.534 ; 90 ; 297.844.205 ;;;;
