Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 72 ; 163.168.306 ; 24 ; 2.109.178 ; 79 ; 207.762.179 ; 441 ; 206.843.468 ; 616 ; 579.883.131 ; 79 ; 204.346.961 ; 91 ; 479.928.787 ; 170 ; 684.275.748 ; 786 ; 1.264.158.878 ;
27;58.616.418;BANCO FIBRA S.A.; 101 ; 218.408.097 ; 914 ; 156.268.408 ; 43 ; 64.338.039 ; 251 ; 73.473.363 ; 1.309 ; 512.487.907 ; 86 ; 249.144.254 ; 83 ; 288.609.461 ; 169 ; 537.753.715 ; 1.478 ; 1.050.241.622 ;
28;68.900.810;BANCO RENDIMENTO S.A.; 33 ; 2.414.600 ; 173 ; 32.587.869 ; 157.026 ; 330.943.541 ; 2.419 ; 91.321.898 ; 159.651 ; 457.267.908 ; 1.439 ; 167.928.976 ; 7.994 ; 399.944.679 ; 9.433 ; 567.873.655 ; 169.084 ; 1.025.141.563 ;
29;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 58 ; 36.218.708 ; 192 ; 78.931.317 ; 105 ; 35.587.925 ; 155 ; 203.785.756 ; 510 ; 354.523.706 ; 85 ; 416.229.284 ; 73 ; 207.827.744 ; 158 ; 624.057.028 ; 668 ; 978.580.733 ;
30;62.232.889;BANCO DAYCOVAL S.A.; 586 ; 104.508.405 ; 1.399 ; 139.191.026 ; 15.448 ; 196.176.695 ; 2.990 ; 146.880.433 ; 20.423 ; 586.756.558 ; 440 ; 168.150.292 ; 1.211 ; 177.383.688 ; 1.651 ; 345.533.980 ; 22.074 ; 932.290.538 ;
31;71.027.866;BANCO BS2 S.A.; 390 ; 192.804.405 ; 1.108 ; 55.613.397 ; 8.968 ; 178.640.066 ; 11.271 ; 134.360.176 ; 21.737 ; 561.418.044 ; 27 ; 24.395.359 ; 53 ; 208.568.266 ; 80 ; 232.963.625 ; 21.817 ; 794.381.668 ;
32;58.160.789;BANCO SAFRA S.A.; 351 ; 99.652.678 ; 989 ; 116.750.283 ; 1.093 ; 176.291.467 ; 1.745 ; 118.685.649 ; 4.178 ; 511.380.078 ; 195 ; 111.120.966 ; 199 ; 171.787.615 ; 394 ; 282.908.580 ; 4.572 ; 794.288.658 ;
33;33.987.793;BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;;;;; 145 ; 301.030.162 ; 131 ; 378.007.190 ; 276 ; 679.037.352 ; 10 ; 28.248.817 ; 10 ; 28.355.202 ; 20 ; 56.604.020 ; 296 ; 735.641.372 ;
34;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 116 ; 158.950.592 ; 707 ; 92.591.580 ; 308 ; 94.074.694 ; 456 ; 12.029.176 ; 1.587 ; 357.646.041 ; 58 ; 79.880.459 ; 68 ; 164.897.008 ; 126 ; 244.777.467 ; 1.713 ; 602.423.508 ;
35;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 23.037 ; 168.585.578 ; 329.587 ; 178.954.267 ; 352.624 ; 347.539.845 ; 922 ; 117.293.491 ; 919 ; 106.567.922 ; 1.841 ; 223.861.413 ; 354.465 ; 571.401.258 ;
36;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 10 ; 68.731.890 ; 2 ; 320.257 ; 1 ; 527 ; 297 ; 188.250.199 ; 310 ; 257.302.873 ; 22 ; 202.031.159 ; 12 ; 88.105.159 ; 34 ; 290.136.319 ; 344 ; 547.439.192 ;
