Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
26;78.632.767;BANCO OURINVEST S.A.; 1.138 ; 146.052.662 ; 2.016 ; 134.285.041 ; 20.101 ; 535.180.033 ; 44.759 ; 480.716.512 ; 68.014 ; 1.296.234.248 ; 569 ; 280.092.445 ; 10.228 ; 334.644.743 ; 10.797 ; 614.737.187 ; 78.811 ; 1.910.971.435 ;
27;07.679.404;BANCO TOPÁZIO S.A.; 102 ; 29.313.462 ; 145 ; 5.308.753 ; 8.576 ; 136.933.159 ; 33.848 ; 538.620.674 ; 42.671 ; 710.176.049 ; 996 ; 705.278.474 ; 2.321 ; 319.675.819 ; 3.317 ; 1.024.954.293 ; 45.988 ; 1.735.130.342 ;
28;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 113 ; 3.945.974 ; 714 ; 29.550.081 ; 265 ; 32.675.941 ; 9.842 ; 23.043.064 ; 10.934 ; 89.215.060 ; 427 ; 795.179.095 ; 472 ; 775.452.778 ; 899 ; 1.570.631.873 ; 11.833 ; 1.659.846.933 ;
29;01.023.570;BANCO RABOBANK INTERNATIONAL BRASIL S.A.; 79 ; 454.282.005 ; 14 ; 13.105.702 ; 82 ; 221.665.083 ; 305 ; 174.528.302 ; 480 ; 863.581.092 ; 86 ; 251.281.909 ; 89 ; 486.376.413 ; 175 ; 737.658.322 ; 655 ; 1.601.239.413 ;
30;58.160.789;BANCO SAFRA S.A.; 516 ; 137.485.879 ; 811 ; 137.967.413 ; 1.137 ; 352.552.053 ; 1.720 ; 302.910.126 ; 4.184 ; 930.915.471 ; 262 ; 231.005.568 ; 281 ; 313.287.419 ; 543 ; 544.292.988 ; 4.727 ; 1.475.208.459 ;
31;60.518.222;BANCO SUMITOMO MITSUI BRASILEIRO S.A.; 123 ; 325.403.419 ; 699 ; 78.780.765 ; 374 ; 198.097.118 ; 505 ; 211.117.927 ; 1.701 ; 813.399.229 ; 63 ; 116.927.373 ; 75 ; 462.006.889 ; 138 ; 578.934.262 ; 1.839 ; 1.392.333.491 ;
32;68.900.810;BANCO RENDIMENTO S.A.; 49 ; 5.698.197 ; 191 ; 56.694.666 ; 119.073 ; 337.565.159 ; 2.125 ; 107.453.590 ; 121.438 ; 507.411.613 ; 1.659 ; 219.715.382 ; 7.413 ; 384.197.877 ; 9.072 ; 603.913.259 ; 130.510 ; 1.111.324.871 ;
33;58.616.418;BANCO FIBRA S.A.; 101 ; 92.420.928 ; 711 ; 119.950.489 ; 40 ; 64.916.620 ; 258 ; 73.685.919 ; 1.110 ; 350.973.956 ; 65 ; 379.871.267 ; 74 ; 327.050.129 ; 139 ; 706.921.396 ; 1.249 ; 1.057.895.352 ;
34;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 118 ; 88.693.011 ; 170 ; 53.283.114 ; 70 ; 66.658.913 ; 153 ; 49.903.275 ; 511 ; 258.538.313 ; 82 ; 350.948.225 ; 97 ; 431.576.466 ; 179 ; 782.524.691 ; 690 ; 1.041.063.004 ;
35;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO; 10 ; 20.742.921 ; 9 ; 7.251.478 ; 9 ; 60.808.875 ; 124 ; 100.749.177 ; 152 ; 189.552.451 ; 41 ; 447.750.000 ; 17 ; 140.750.000 ; 58 ; 588.500.000 ; 210 ; 778.052.451 ;
36;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 2 ; 43.112.805 ; 4 ; 1.280.206 ; 1 ; 773 ; 393 ; 262.595.450 ; 400 ; 306.989.234 ; 27 ; 282.998.570 ; 3 ; 68.060.060 ; 30 ; 351.058.630 ; 430 ; 658.047.864 ;
37;71.027.866;BANCO BS2 S.A.; 455 ; 109.617.372 ; 1.050 ; 101.152.435 ; 9.702 ; 193.777.368 ; 11.774 ; 104.553.020 ; 22.981 ; 509.100.194 ; 14 ; 22.977.511 ; 30 ; 105.611.504 ; 44 ; 128.589.014 ; 23.025 ; 637.689.209 ;
38;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 90 ; 96.512.242 ; 350 ; 42.207.195 ; 25 ; 162.418.546 ; 318 ; 191.971.202 ; 783 ; 493.109.185 ; 40 ; 54.267.902 ; 28 ; 75.639.453 ; 68 ; 129.907.355 ; 851 ; 623.016.540 ;
39;36.588.217;WISE BRASIL CORRETORA DE CÂMBIO LTDA;;;;; 39.822 ; 212.947.155 ; 309.896 ; 170.631.224 ; 349.718 ; 383.578.380 ; 930 ; 80.879.108 ; 953 ; 123.180.461 ; 1.883 ; 204.059.569 ; 351.601 ; 587.637.948 ;
40;33.923.798;BANCO MASTER S/A; 117 ; 84.765.759 ; 191 ; 15.574.174 ; 16.574 ; 80.337.155 ; 18.716 ; 44.658.309 ; 35.598 ; 225.335.398 ; 30 ; 93.484.164 ; 52 ; 183.739.991 ; 82 ; 277.224.154 ; 35.680 ; 502.559.552 ;
41;03.609.817;BANCO CARGILL S.A.; 40 ; 124.034.497 ;;; 12 ; 38.563.272 ; 11 ; 595.764 ; 63 ; 163.193.533 ;;; 8 ; 279.500.000 ; 8 ; 279.500.000 ; 71 ; 442.693.533 ;
42;15.114.366;BANCO BOCOM BBM S.A.; 12 ; 17.533.622 ; 48 ; 6.248.632 ; 42 ; 94.886.329 ; 188 ; 58.976.962 ; 290 ; 177.645.545 ; 8 ; 70.721.963 ; 9 ; 102.626.604 ; 17 ; 173.348.566 ; 307 ; 350.994.111 ;
43;13.059.145;BEXS BANCO DE CÂMBIO S/A; 55 ; 76.810.937 ; 135 ; 13.632.039 ; 17.057 ; 29.291.047 ; 63.848 ; 68.169.456 ; 81.095 ; 187.903.479 ; 203 ; 59.771.145 ; 63 ; 85.008.843 ; 266 ; 144.779.988 ; 81.361 ; 332.683.467 ;
