Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em MAIO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
32;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 9 ; 1.878.195 ; 6 ; 756.134 ; 4 ; 10.930 ; 8 ; 103.009 ; 27 ; 2.748.268 ; 60 ; 280.000.000 ; 58 ; 277.000.000 ; 118 ; 557.000.000 ; 145 ; 559.748.268 ;;;;
33;28.195.667;BANCO ABC BRASIL S.A.; 49 ; 72.262.902 ; 92 ; 20.331.252 ; 29 ; 88.803.279 ; 235 ; 41.078.541 ; 405 ; 222.475.974 ; 23 ; 169.305.286 ; 23 ; 122.137.727 ; 46 ; 291.443.013 ; 451 ; 513.918.987 ;;;;
34;49.336.860;ING BANK N.V.; 34 ; 128.342.400 ; 6 ; 979.998 ; 20 ; 73.641.532 ; 51 ; 889.676 ; 111 ; 203.853.606 ; 11 ; 102.466.920 ; 12 ; 126.463.355 ; 23 ; 228.930.275 ; 134 ; 432.783.881 ;;;;
35;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;; 6 ; 121.911 ; 13 ; 2.563.066 ; 39 ; 16.961.034 ; 58 ; 19.646.011 ; 23 ; 205.810.962 ; 62 ; 205.562.241 ; 85 ; 411.373.203 ; 143 ; 431.019.214 ;;;;
36;13.059.145;BEXS BANCO DE C∂MBIO S/A; 13 ; 56.324.702 ; 128 ; 5.411.185 ; 108 ; 21.171.390 ; 339 ; 8.997.048 ; 588 ; 91.904.326 ; 275 ; 130.116.756 ; 273 ; 193.756.214 ; 548 ; 323.872.970 ; 1.136 ; 415.777.296 ;;;;
37;52.937.216;BEXS CORRETORA DE C∂MBIO S/A;;;;; 213 ; 1.920.859 ; 3.425 ; 29.456.696 ; 3.638 ; 31.377.555 ; 687 ; 188.618.000 ; 171 ; 161.083.346 ; 858 ; 349.701.346 ; 4.496 ; 381.078.901 ;;;;
38;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 892 ; 128.230.079 ; 1.255 ; 66.681.452 ; 330 ; 26.443.012 ; 1.428 ; 19.603.514 ; 3.905 ; 240.958.057 ; 26 ; 33.292.048 ; 45 ; 102.040.029 ; 71 ; 135.332.077 ; 3.976 ; 376.290.134 ;;;;
39;73.622.748;B & T ASSOCIADOS CORRETORA DE C∂MBIO LTDA.; 59 ; 2.059.335 ; 481 ; 11.073.155 ; 517 ; 5.733.530 ; 1.665 ; 98.432.811 ; 2.722 ; 117.298.831 ; 3.293 ; 158.268.775 ; 115 ; 56.570.241 ; 3.408 ; 214.839.017 ; 6.130 ; 332.137.848 ;;;;
40;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 25 ; 16.197.709 ;;; 41 ; 110.532.112 ; 73 ; 93.558.382 ; 139 ; 220.288.203 ;;; 2 ; 100.000.000 ; 2 ; 100.000.000 ; 141 ; 320.288.203 ;;;;
41;71.027.866;BANCO BONSUCESSO S.A.;;; 1 ; 14.700 ; 43 ; 280.488 ; 216 ; 4.763.417 ; 260 ; 5.058.606 ; 152 ; 148.748.565 ; 433 ; 144.464.886 ; 585 ; 293.213.452 ; 845 ; 298.272.057 ;;;;
